"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Braun__Kidney__PD-(L)1",0.118,0.182,142,0.517422815980248,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","RGPD5","Braun__Kidney__PD-(L)1",0.246,0.191,142,0.199399029156196,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","HERPUD1","Braun__Kidney__PD-(L)1",0.087,0.2,142,0.662571466824164,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","USP36","Braun__Kidney__PD-(L)1",0.099,0.196,142,0.6122780195893,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","SLC2A3","Braun__Kidney__PD-(L)1",-0.051,0.193,142,0.793374171735339,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","DDX3Y","Braun__Kidney__PD-(L)1",0.213,0.178,142,0.230242578008708,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","PTPRC","Braun__Kidney__PD-(L)1",0.047,0.189,142,0.802793300665848,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","DNAJA1","Braun__Kidney__PD-(L)1",0.012,0.193,142,0.95070278270562,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","LAG3","Braun__Kidney__PD-(L)1",0.184,0.185,142,0.319349614077343,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","EZR","Braun__Kidney__PD-(L)1",0.16,0.193,142,0.408305242042677,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CREM","Braun__Kidney__PD-(L)1",0.081,0.194,142,0.677275919395535,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","GZMB","Braun__Kidney__PD-(L)1",0.148,0.172,142,0.390800092122324,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","SMCHD1","Braun__Kidney__PD-(L)1",-0.008,0.196,142,0.968627081085602,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","ALG13","Braun__Kidney__PD-(L)1",0.162,0.185,142,0.378963983021404,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CD276","Braun__Kidney__PD-(L)1",0.21,0.191,142,0.272049710619292,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","NKG7","Braun__Kidney__PD-(L)1",-0.164,0.193,142,0.393679033654583,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","ARRDC2","Braun__Kidney__PD-(L)1",-0.095,0.192,142,0.620517850154603,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","AREG","Braun__Kidney__PD-(L)1",-0.717,0.264,142,0.00648380239989218,"Kidney","PD-(L)1",0.596509820790081
"R vs NR","CD69","Braun__Kidney__PD-(L)1",-0.319,0.223,142,0.153137900564803,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","CD83","Braun__Kidney__PD-(L)1",-0.213,0.218,142,0.329566149092908,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","STAT1","Braun__Kidney__PD-(L)1",0.183,0.195,142,0.34788180627499,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","PRDM2","Braun__Kidney__PD-(L)1",0.251,0.184,142,0.173186658162667,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","NR4A3","Braun__Kidney__PD-(L)1",-0.226,0.198,142,0.253870157376669,"Kidney","PD-(L)1",0.990152127331948
"R vs NR","YPEL5","Braun__Kidney__PD-(L)1",0.272,0.197,142,0.166625490912742,"Kidney","PD-(L)1",0.990152127331948
