"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Gide__Melanoma__PD-(L)1",-1.463,0.535,38,0.00624807459592398,"Melanoma","PD-(L)1",0.036523883966419
"R vs NR","RGPD5","Gide__Melanoma__PD-(L)1",-0.39,0.416,38,0.347890191249199,"Melanoma","PD-(L)1",0.459021780120471
"R vs NR","HERPUD1","Gide__Melanoma__PD-(L)1",-2.268,0.773,38,0.00336562639142446,"Melanoma","PD-(L)1",0.036523883966419
"R vs NR","USP36","Gide__Melanoma__PD-(L)1",-0.403,0.38,38,0.288253586914399,"Melanoma","PD-(L)1",0.408717772490565
"R vs NR","SLC2A3","Gide__Melanoma__PD-(L)1",-0.614,0.366,38,0.0931065824102132,"Melanoma","PD-(L)1",0.18355167970466
"R vs NR","PTPRC","Gide__Melanoma__PD-(L)1",-1.066,0.478,38,0.0257381925797379,"Melanoma","PD-(L)1",0.0711993137165577
"R vs NR","DNAJA1","Gide__Melanoma__PD-(L)1",-1.17,0.528,38,0.0266961410148788,"Melanoma","PD-(L)1",0.0711993137165577
"R vs NR","LAG3","Gide__Melanoma__PD-(L)1",-1.598,0.545,38,0.00338247765011703,"Melanoma","PD-(L)1",0.036523883966419
"R vs NR","EZR","Gide__Melanoma__PD-(L)1",-0.425,0.365,38,0.2449144547931,"Melanoma","PD-(L)1",0.375272148473299
"R vs NR","CREM","Gide__Melanoma__PD-(L)1",0.06,0.34,38,0.860075545584245,"Melanoma","PD-(L)1",0.897881064071465
"R vs NR","GZMB","Gide__Melanoma__PD-(L)1",-0.987,0.474,38,0.0374294803116823,"Melanoma","PD-(L)1",0.0935737007792057
"R vs NR","SMCHD1","Gide__Melanoma__PD-(L)1",-0.678,0.451,38,0.133021319059978,"Melanoma","PD-(L)1",0.247784810013685
"R vs NR","ALG13","Gide__Melanoma__PD-(L)1",-0.704,0.407,38,0.0836696887255698,"Melanoma","PD-(L)1",0.170314047228507
"R vs NR","RUBCNL","Gide__Melanoma__PD-(L)1",0.07,0.332,38,0.832822569975625,"Melanoma","PD-(L)1",0.879090490529827
"R vs NR","CD276","Gide__Melanoma__PD-(L)1",-0.123,0.324,38,0.705121213983816,"Melanoma","PD-(L)1",0.785905692178869
"R vs NR","ARRDC2","Gide__Melanoma__PD-(L)1",-0.982,0.444,38,0.0269807925662745,"Melanoma","PD-(L)1",0.0711993137165577
"R vs NR","AREG","Gide__Melanoma__PD-(L)1",0.378,0.352,38,0.283428284887692,"Melanoma","PD-(L)1",0.408717772490565
