"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Hugo__Melanoma__PD-(L)1",-0.086,0.394,27,0.828099966708066,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","RGPD5","Hugo__Melanoma__PD-(L)1",0.751,0.458,27,0.100819991509516,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","HERPUD1","Hugo__Melanoma__PD-(L)1",0.373,0.41,27,0.362762638051727,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","USP36","Hugo__Melanoma__PD-(L)1",0.17,0.395,27,0.667292807742794,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","SLC2A3","Hugo__Melanoma__PD-(L)1",0.592,0.428,27,0.166380324093876,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","PTPRC","Hugo__Melanoma__PD-(L)1",0.155,0.395,27,0.69483527870253,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","DNAJA1","Hugo__Melanoma__PD-(L)1",0.406,0.447,27,0.36285944435242,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","LAG3","Hugo__Melanoma__PD-(L)1",0.278,0.409,27,0.495966142838378,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","EZR","Hugo__Melanoma__PD-(L)1",-0.014,0.392,27,0.971660443655827,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","CREM","Hugo__Melanoma__PD-(L)1",0.275,0.402,27,0.494109556072849,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","GZMB","Hugo__Melanoma__PD-(L)1",0.289,0.408,27,0.478997744396669,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","SMCHD1","Hugo__Melanoma__PD-(L)1",0.427,0.435,27,0.325264892774328,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","ALG13","Hugo__Melanoma__PD-(L)1",0.14,0.397,27,0.724448675856937,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","RUBCNL","Hugo__Melanoma__PD-(L)1",0.212,0.397,27,0.59442658611916,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CD276","Hugo__Melanoma__PD-(L)1",0.452,0.419,27,0.280229836623467,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","NKG7","Hugo__Melanoma__PD-(L)1",0.041,0.393,27,0.917381541096561,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","ARRDC2","Hugo__Melanoma__PD-(L)1",0.695,0.465,27,0.134480887980642,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CD69","Hugo__Melanoma__PD-(L)1",-0.033,0.393,27,0.933625259805109,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","CD83","Hugo__Melanoma__PD-(L)1",-0.268,0.408,27,0.511362661331302,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","STAT1","Hugo__Melanoma__PD-(L)1",0.206,0.397,27,0.603606704462418,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","PRDM2","Hugo__Melanoma__PD-(L)1",0.505,0.446,27,0.257314889457476,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","NR4A3","Hugo__Melanoma__PD-(L)1",0.294,0.399,27,0.461187981566941,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","YPEL5","Hugo__Melanoma__PD-(L)1",-0.004,0.392,27,0.992420592065791,"Melanoma","PD-(L)1",0.998149240496595
"R vs NR","BCL11A","Hugo__Melanoma__PD-(L)1",0.385,0.416,27,0.355188426055876,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","CD274","Hugo__Melanoma__PD-(L)1",-0.265,0.404,27,0.512167056707235,"Melanoma","PD-(L)1",0.962972011142442
"R vs NR","HSPH1","Hugo__Melanoma__PD-(L)1",0.291,0.406,27,0.473251736028497,"Melanoma","PD-(L)1",0.962972011142442
