"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Jung__Lung__PD-(L)1",-0.236,0.433,27,0.586210447800513,"Lung","PD-(L)1",0.776332755195274
"R vs NR","RGPD5","Jung__Lung__PD-(L)1",0.167,0.456,27,0.713842187273215,"Lung","PD-(L)1",0.885525751300951
"R vs NR","HERPUD1","Jung__Lung__PD-(L)1",0.052,0.431,27,0.903493369619299,"Lung","PD-(L)1",0.941259448580812
"R vs NR","USP36","Jung__Lung__PD-(L)1",0.902,0.572,27,0.114547147188876,"Lung","PD-(L)1",0.40494700246459
"R vs NR","SLC2A3","Jung__Lung__PD-(L)1",-0.879,0.502,27,0.0800882838332363,"Lung","PD-(L)1",0.40494700246459
"R vs NR","PTPRC","Jung__Lung__PD-(L)1",-0.666,0.496,27,0.179762339074493,"Lung","PD-(L)1",0.471153758066967
"R vs NR","DNAJA1","Jung__Lung__PD-(L)1",-0.195,0.441,27,0.658521998700316,"Lung","PD-(L)1",0.838118907436766
"R vs NR","LAG3","Jung__Lung__PD-(L)1",-0.816,0.524,27,0.119831255831358,"Lung","PD-(L)1",0.40494700246459
"R vs NR","EZR","Jung__Lung__PD-(L)1",0.471,0.451,27,0.296270329347839,"Lung","PD-(L)1",0.557843436223289
"R vs NR","CREM","Jung__Lung__PD-(L)1",-0.654,0.491,27,0.182692273536171,"Lung","PD-(L)1",0.471153758066967
"R vs NR","GZMB","Jung__Lung__PD-(L)1",-1.097,0.672,27,0.102518015613486,"Lung","PD-(L)1",0.40494700246459
"R vs NR","SMCHD1","Jung__Lung__PD-(L)1",-0.321,0.46,27,0.485271082136368,"Lung","PD-(L)1",0.689225594918319
"R vs NR","ALG13","Jung__Lung__PD-(L)1",-0.116,0.436,27,0.790926334404351,"Lung","PD-(L)1",0.92611054128519
"R vs NR","RUBCNL","Jung__Lung__PD-(L)1",0.1,0.432,27,0.817345845781287,"Lung","PD-(L)1",0.931394103332164
"R vs NR","CD276","Jung__Lung__PD-(L)1",0.395,0.43,27,0.358719544519978,"Lung","PD-(L)1",0.595839243439963
"R vs NR","NKG7","Jung__Lung__PD-(L)1",-1.055,0.629,27,0.0936015866256047,"Lung","PD-(L)1",0.40494700246459
"R vs NR","ARRDC2","Jung__Lung__PD-(L)1",0.054,0.423,27,0.898764150770835,"Lung","PD-(L)1",0.941259448580812
"R vs NR","AREG","Jung__Lung__PD-(L)1",0.068,0.431,27,0.875464763514481,"Lung","PD-(L)1",0.941259448580812
"R vs NR","CD69","Jung__Lung__PD-(L)1",-0.852,0.518,27,0.0999297331928628,"Lung","PD-(L)1",0.40494700246459
"R vs NR","CD83","Jung__Lung__PD-(L)1",-0.508,0.453,27,0.261751452650091,"Lung","PD-(L)1",0.534409215827269
"R vs NR","STAT1","Jung__Lung__PD-(L)1",-0.667,0.477,27,0.162140843011059,"Lung","PD-(L)1",0.467347135737759
"R vs NR","PRDM2","Jung__Lung__PD-(L)1",0.333,0.436,27,0.444758483883087,"Lung","PD-(L)1",0.650542260008097
"R vs NR","NR4A3","Jung__Lung__PD-(L)1",0.196,0.442,27,0.657024555471829,"Lung","PD-(L)1",0.838118907436766
"R vs NR","YPEL5","Jung__Lung__PD-(L)1",-0.117,0.447,27,0.793809035387305,"Lung","PD-(L)1",0.92611054128519
"R vs NR","BCL11A","Jung__Lung__PD-(L)1",0.96,0.504,27,0.0566135131528395,"Lung","PD-(L)1",0.40494700246459
"R vs NR","CD274","Jung__Lung__PD-(L)1",-0.974,0.547,27,0.0750650890354032,"Lung","PD-(L)1",0.40494700246459
"R vs NR","HSPH1","Jung__Lung__PD-(L)1",0.486,0.445,27,0.275049317405583,"Lung","PD-(L)1",0.539096662114942
"R vs NR","CXCR4","Jung__Lung__PD-(L)1",-1.023,0.54,27,0.058116090387205,"Lung","PD-(L)1",0.40494700246459
"R vs NR","LY9","Jung__Lung__PD-(L)1",-1.092,0.686,27,0.111208142555781,"Lung","PD-(L)1",0.40494700246459
"R vs NR","NR4A1","Jung__Lung__PD-(L)1",1.443,0.82,27,0.0785906019286148,"Lung","PD-(L)1",0.40494700246459
"R vs NR","CKS2","Jung__Lung__PD-(L)1",-0.474,0.468,27,0.310607339219728,"Lung","PD-(L)1",0.557843436223289
"R vs NR","DDX27","Jung__Lung__PD-(L)1",0.477,0.446,27,0.284708768844747,"Lung","PD-(L)1",0.547087438172258
"R vs NR","CCR7","Jung__Lung__PD-(L)1",-0.472,0.47,27,0.315078373416884,"Lung","PD-(L)1",0.557843436223289
"R vs NR","IQCN","Jung__Lung__PD-(L)1",1.092,0.519,27,0.0355136883434537,"Lung","PD-(L)1",0.40494700246459
"R vs NR","JUND","Jung__Lung__PD-(L)1",1.126,0.608,27,0.0639783666811129,"Lung","PD-(L)1",0.40494700246459
"R vs NR","ZNF331","Jung__Lung__PD-(L)1",-0.017,0.431,27,0.969398276314465,"Lung","PD-(L)1",0.978706541696186
"R vs NR","ZNF141","Jung__Lung__PD-(L)1",0.126,0.444,27,0.775978910298647,"Lung","PD-(L)1",0.92611054128519
"R vs NR","IDO1","Jung__Lung__PD-(L)1",-0.574,0.49,27,0.241374528254016,"Lung","PD-(L)1",0.523764117183079
"R vs NR","DNAJB1","Jung__Lung__PD-(L)1",0.047,0.425,27,0.912445383828338,"Lung","PD-(L)1",0.941259448580812
"R vs NR","KDM6B","Jung__Lung__PD-(L)1",0.367,0.42,27,0.381764312645774,"Lung","PD-(L)1",0.603433913536869
"R vs NR","WDR74","Jung__Lung__PD-(L)1",0.061,0.425,27,0.88519983219714,"Lung","PD-(L)1",0.941259448580812
"R vs NR","BTG1","Jung__Lung__PD-(L)1",0.28,0.426,27,0.512150552662626,"Lung","PD-(L)1",0.717010773727677
"R vs NR","CEMIP2","Jung__Lung__PD-(L)1",-0.077,0.437,27,0.859753848011555,"Lung","PD-(L)1",0.941259448580812
"R vs NR","SKIL","Jung__Lung__PD-(L)1",-0.066,0.435,27,0.879361201578146,"Lung","PD-(L)1",0.941259448580812
"R vs NR","SDCBP","Jung__Lung__PD-(L)1",-0.724,0.581,27,0.212918656164994,"Lung","PD-(L)1",0.508927519613888
"R vs NR","ARHGAP24","Jung__Lung__PD-(L)1",0.467,0.457,27,0.30617699624753,"Lung","PD-(L)1",0.557843436223289
"R vs NR","CXCL9","Jung__Lung__PD-(L)1",-1.343,0.696,27,0.0537746317177678,"Lung","PD-(L)1",0.40494700246459
"R vs NR","CD27","Jung__Lung__PD-(L)1",-0.41,0.463,27,0.375195756684595,"Lung","PD-(L)1",0.602828863709625
"R vs NR","VPS37B","Jung__Lung__PD-(L)1",0.579,0.472,27,0.220723473650142,"Lung","PD-(L)1",0.514764398434609
"R vs NR","WDR45B","Jung__Lung__PD-(L)1",-0.092,0.433,27,0.831680553984414,"Lung","PD-(L)1",0.934578101990613
"R vs NR","CALM2","Jung__Lung__PD-(L)1",-0.362,0.488,27,0.45765754933865,"Lung","PD-(L)1",0.659565291693937
"R vs NR","GZMA","Jung__Lung__PD-(L)1",-1.288,0.708,27,0.0688572373363165,"Lung","PD-(L)1",0.40494700246459
"R vs NR","IL2RG","Jung__Lung__PD-(L)1",-0.532,0.482,27,0.269797982971353,"Lung","PD-(L)1",0.539096662114942
"R vs NR","C9orf72","Jung__Lung__PD-(L)1",-0.79,0.526,27,0.133143227301277,"Lung","PD-(L)1",0.434934542517505
"R vs NR","RILPL2","Jung__Lung__PD-(L)1",0.215,0.43,27,0.616683352962642,"Lung","PD-(L)1",0.805799581204519
"R vs NR","ZFP36L2","Jung__Lung__PD-(L)1",0.343,0.418,27,0.412419228739825,"Lung","PD-(L)1",0.631516944007857
"R vs NR","BANK1","Jung__Lung__PD-(L)1",-0.115,0.434,27,0.791391823887438,"Lung","PD-(L)1",0.92611054128519
"R vs NR","RANBP2","Jung__Lung__PD-(L)1",0.297,0.465,27,0.523350873732002,"Lung","PD-(L)1",0.722371628531496
"R vs NR","NR4A2","Jung__Lung__PD-(L)1",0.85,0.624,27,0.172927305016401,"Lung","PD-(L)1",0.471153758066967
"R vs NR","CD8A","Jung__Lung__PD-(L)1",-1.019,0.589,27,0.0834571326602944,"Lung","PD-(L)1",0.40494700246459
"R vs NR","CHD1","Jung__Lung__PD-(L)1",0.087,0.43,27,0.839212989542591,"Lung","PD-(L)1",0.934578101990613
"R vs NR","CXCL13","Jung__Lung__PD-(L)1",-0.602,0.52,27,0.24714618316506,"Lung","PD-(L)1",0.523764117183079
"R vs NR","MS4A1","Jung__Lung__PD-(L)1",-0.24,0.431,27,0.578315576176667,"Lung","PD-(L)1",0.776332755195274
"R vs NR","CCR5","Jung__Lung__PD-(L)1",-0.712,0.5,27,0.154620172331014,"Lung","PD-(L)1",0.459175057225436
"R vs NR","FCMR","Jung__Lung__PD-(L)1",-0.383,0.447,27,0.391436072049617,"Lung","PD-(L)1",0.608900556521626
"R vs NR","REL","Jung__Lung__PD-(L)1",-0.169,0.443,27,0.702760547640664,"Lung","PD-(L)1",0.882955559856219
"R vs NR","CTLA4","Jung__Lung__PD-(L)1",-0.957,0.526,27,0.0691482528956086,"Lung","PD-(L)1",0.40494700246459
"R vs NR","DNAJB14","Jung__Lung__PD-(L)1",-0.549,0.463,27,0.235089528438563,"Lung","PD-(L)1",0.523608495158618
"R vs NR","PRMT9","Jung__Lung__PD-(L)1",-0.101,0.425,27,0.812081856030433,"Lung","PD-(L)1",0.931394103332164
"R vs NR","TRA2A","Jung__Lung__PD-(L)1",0.571,0.453,27,0.207538048529774,"Lung","PD-(L)1",0.508468218897946
"R vs NR","TAGAP","Jung__Lung__PD-(L)1",-0.844,0.527,27,0.109538514498103,"Lung","PD-(L)1",0.40494700246459
"R vs NR","BORCS5","Jung__Lung__PD-(L)1",-0.011,0.43,27,0.978706541696186,"Lung","PD-(L)1",0.978706541696186
"R vs NR","CD3D","Jung__Lung__PD-(L)1",-0.781,0.533,27,0.142595829476077,"Lung","PD-(L)1",0.444858941166334
"R vs NR","TUBA1A","Jung__Lung__PD-(L)1",0.35,0.457,27,0.443862489476673,"Lung","PD-(L)1",0.650542260008097
"R vs NR","TUBA1C","Jung__Lung__PD-(L)1",-0.456,0.514,27,0.375230211084562,"Lung","PD-(L)1",0.602828863709625
"R vs NR","NFKBID","Jung__Lung__PD-(L)1",-0.117,0.43,27,0.786357597759368,"Lung","PD-(L)1",0.92611054128519
"R vs NR","CXCL10","Jung__Lung__PD-(L)1",-1.398,0.694,27,0.0439965604938594,"Lung","PD-(L)1",0.40494700246459
"R vs NR","CXCL11","Jung__Lung__PD-(L)1",-1.107,0.601,27,0.0652761297447434,"Lung","PD-(L)1",0.40494700246459
"R vs NR","GPR183","Jung__Lung__PD-(L)1",-1.268,0.599,27,0.0342599598135327,"Lung","PD-(L)1",0.40494700246459
"R vs NR","CXCR6","Jung__Lung__PD-(L)1",-1.646,0.791,27,0.0374288945824169,"Lung","PD-(L)1",0.40494700246459
"R vs NR","CMKLR1","Jung__Lung__PD-(L)1",-0.691,0.533,27,0.194977638406177,"Lung","PD-(L)1",0.489943809328343
"R vs NR","TGIF1","Jung__Lung__PD-(L)1",-0.377,0.472,27,0.423868481881914,"Lung","PD-(L)1",0.639063249606578
"R vs NR","PER1","Jung__Lung__PD-(L)1",0.599,0.444,27,0.177189593103303,"Lung","PD-(L)1",0.471153758066967
"R vs NR","CIITA","Jung__Lung__PD-(L)1",0.026,0.431,27,0.951022213024874,"Lung","PD-(L)1",0.970835175796226
"R vs NR","PRF1","Jung__Lung__PD-(L)1",-0.602,0.525,27,0.251192994975559,"Lung","PD-(L)1",0.523764117183079
"R vs NR","TIGIT","Jung__Lung__PD-(L)1",-1.263,0.748,27,0.0911013162126211,"Lung","PD-(L)1",0.40494700246459
"R vs NR","TENT5C","Jung__Lung__PD-(L)1",0.448,0.455,27,0.324459957803342,"Lung","PD-(L)1",0.557843436223289
"R vs NR","PDCD1","Jung__Lung__PD-(L)1",-1.379,0.68,27,0.0426624793895434,"Lung","PD-(L)1",0.40494700246459
"R vs NR","HLA.DRB1","Jung__Lung__PD-(L)1",-0.511,0.517,27,0.323546407002755,"Lung","PD-(L)1",0.557843436223289
"R vs NR","TSC22D2","Jung__Lung__PD-(L)1",-0.246,0.44,27,0.576182289828762,"Lung","PD-(L)1",0.776332755195274
"R vs NR","HLA.DQA1","Jung__Lung__PD-(L)1",-1.968,0.857,27,0.0216608058860975,"Lung","PD-(L)1",0.40494700246459
"R vs NR","ZNF165","Jung__Lung__PD-(L)1",-0.83,0.57,27,0.14526006242166,"Lung","PD-(L)1",0.444858941166334
