"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Kim__Gastric__PD-(L)1",-0.298,0.39,31,0.444158974555373,"Gastric","PD-(L)1",0.682011839085522
"R vs NR","RGPD5","Kim__Gastric__PD-(L)1",0.175,0.409,31,0.668301383864224,"Gastric","PD-(L)1",0.851812403747726
"R vs NR","HERPUD1","Kim__Gastric__PD-(L)1",0.553,0.377,31,0.142101549241816,"Gastric","PD-(L)1",0.393824293613033
"R vs NR","USP36","Kim__Gastric__PD-(L)1",0.406,0.412,31,0.32464828815361,"Gastric","PD-(L)1",0.576058038776157
"R vs NR","SLC2A3","Kim__Gastric__PD-(L)1",-0.098,0.396,31,0.803890873644178,"Gastric","PD-(L)1",0.896292123488336
"R vs NR","PTPRC","Kim__Gastric__PD-(L)1",-0.341,0.395,31,0.389156277488617,"Gastric","PD-(L)1",0.639799303667726
"R vs NR","DNAJA1","Kim__Gastric__PD-(L)1",-0.407,0.376,31,0.27977916910103,"Gastric","PD-(L)1",0.549281539804293
"R vs NR","LAG3","Kim__Gastric__PD-(L)1",-1.057,0.481,31,0.0279632915584776,"Gastric","PD-(L)1",0.282383451513822
"R vs NR","EZR","Kim__Gastric__PD-(L)1",-0.273,0.401,31,0.496481687434463,"Gastric","PD-(L)1",0.70821652472269
"R vs NR","CREM","Kim__Gastric__PD-(L)1",-0.139,0.427,31,0.744234279638347,"Gastric","PD-(L)1",0.869767772589394
"R vs NR","GZMB","Kim__Gastric__PD-(L)1",-0.693,0.414,31,0.0942758225809213,"Gastric","PD-(L)1",0.304825159678312
"R vs NR","SMCHD1","Kim__Gastric__PD-(L)1",0.01,0.353,31,0.976431249451076,"Gastric","PD-(L)1",0.986602408299525
"R vs NR","ALG13","Kim__Gastric__PD-(L)1",0.526,0.38,31,0.165782154521334,"Gastric","PD-(L)1",0.419377974378444
"R vs NR","RUBCNL","Kim__Gastric__PD-(L)1",0.069,0.399,31,0.863143937082612,"Gastric","PD-(L)1",0.935649616040724
"R vs NR","CD276","Kim__Gastric__PD-(L)1",0.108,0.388,31,0.780432116427527,"Gastric","PD-(L)1",0.890610768158471
"R vs NR","NKG7","Kim__Gastric__PD-(L)1",-1.147,0.566,31,0.0427092731361402,"Gastric","PD-(L)1",0.283643777980824
"R vs NR","ARRDC2","Kim__Gastric__PD-(L)1",0.334,0.408,31,0.413435894770496,"Gastric","PD-(L)1",0.662039513738069
"R vs NR","AREG","Kim__Gastric__PD-(L)1",-0.278,0.376,31,0.459817650130923,"Gastric","PD-(L)1",0.686189416349224
"R vs NR","CD69","Kim__Gastric__PD-(L)1",-0.691,0.453,31,0.126969052463184,"Gastric","PD-(L)1",0.373212063300875
"R vs NR","CD83","Kim__Gastric__PD-(L)1",-0.574,0.454,31,0.206212294669523,"Gastric","PD-(L)1",0.476252204355803
"R vs NR","STAT1","Kim__Gastric__PD-(L)1",-0.782,0.456,31,0.0862517607561853,"Gastric","PD-(L)1",0.302150269238691
"R vs NR","PRDM2","Kim__Gastric__PD-(L)1",1.157,0.574,31,0.0438624398939419,"Gastric","PD-(L)1",0.283643777980824
"R vs NR","NR4A3","Kim__Gastric__PD-(L)1",-0.06,0.388,31,0.877774382058824,"Gastric","PD-(L)1",0.935649616040724
"R vs NR","YPEL5","Kim__Gastric__PD-(L)1",0.461,0.37,31,0.212966581366139,"Gastric","PD-(L)1",0.480412985872452
"R vs NR","BCL11A","Kim__Gastric__PD-(L)1",0.177,0.36,31,0.621863660612853,"Gastric","PD-(L)1",0.826311987389681
"R vs NR","CD274","Kim__Gastric__PD-(L)1",-1.186,0.491,31,0.0157370578569765,"Gastric","PD-(L)1",0.282383451513822
"R vs NR","HSPH1","Kim__Gastric__PD-(L)1",0.106,0.372,31,0.77668056284367,"Gastric","PD-(L)1",0.890610768158471
"R vs NR","CXCR4","Kim__Gastric__PD-(L)1",-0.695,0.436,31,0.110754775746055,"Gastric","PD-(L)1",0.346555266044106
"R vs NR","LY9","Kim__Gastric__PD-(L)1",-0.466,0.434,31,0.28313481433211,"Gastric","PD-(L)1",0.549281539804293
"R vs NR","NR4A1","Kim__Gastric__PD-(L)1",0.605,0.429,31,0.158232965819156,"Gastric","PD-(L)1",0.414826964444815
"R vs NR","CKS2","Kim__Gastric__PD-(L)1",0.127,0.354,31,0.7191237284274,"Gastric","PD-(L)1",0.851812403747726
"R vs NR","DDX27","Kim__Gastric__PD-(L)1",0.718,0.394,31,0.0685486472259233,"Gastric","PD-(L)1",0.292722397717176
"R vs NR","CCR7","Kim__Gastric__PD-(L)1",-0.365,0.449,31,0.416334127196105,"Gastric","PD-(L)1",0.662039513738069
"R vs NR","IQCN","Kim__Gastric__PD-(L)1",0.039,0.327,31,0.904044393440929,"Gastric","PD-(L)1",0.953177240910545
"R vs NR","JUND","Kim__Gastric__PD-(L)1",0.002,0.343,31,0.996133752481608,"Gastric","PD-(L)1",0.996133752481608
