"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Limagne2__Lung__PD-(L)1",-0.257,0.571,22,0.652531727188883,"Lung","PD-(L)1",0.979458029846734
"R vs NR","RGPD5","Limagne2__Lung__PD-(L)1",0.149,0.461,22,0.745871400397733,"Lung","PD-(L)1",0.979458029846734
"R vs NR","HERPUD1","Limagne2__Lung__PD-(L)1",-0.474,0.497,22,0.340474491405282,"Lung","PD-(L)1",0.979458029846734
"R vs NR","USP36","Limagne2__Lung__PD-(L)1",0.149,0.51,22,0.769691742420904,"Lung","PD-(L)1",0.979458029846734
"R vs NR","SLC2A3","Limagne2__Lung__PD-(L)1",0.175,0.464,22,0.706286845845844,"Lung","PD-(L)1",0.979458029846734
"R vs NR","PTPRC","Limagne2__Lung__PD-(L)1",-0.412,0.535,22,0.441259990279304,"Lung","PD-(L)1",0.979458029846734
"R vs NR","DNAJA1","Limagne2__Lung__PD-(L)1",-0.063,0.471,22,0.894145404854944,"Lung","PD-(L)1",0.979458029846734
"R vs NR","EZR","Limagne2__Lung__PD-(L)1",0.221,0.47,22,0.638981315207095,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CREM","Limagne2__Lung__PD-(L)1",0.043,0.468,22,0.926067904377555,"Lung","PD-(L)1",0.979458029846734
"R vs NR","SMCHD1","Limagne2__Lung__PD-(L)1",0.077,0.49,22,0.875104127427472,"Lung","PD-(L)1",0.979458029846734
"R vs NR","ALG13","Limagne2__Lung__PD-(L)1",0.202,0.506,22,0.689938908151587,"Lung","PD-(L)1",0.979458029846734
"R vs NR","RUBCNL","Limagne2__Lung__PD-(L)1",0.035,0.555,22,0.949690494655517,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CD276","Limagne2__Lung__PD-(L)1",0.741,0.523,22,0.156793138854203,"Lung","PD-(L)1",0.979458029846734
"R vs NR","ARRDC2","Limagne2__Lung__PD-(L)1",0.337,0.521,22,0.517228035266686,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CD83","Limagne2__Lung__PD-(L)1",0.264,0.568,22,0.642361673896273,"Lung","PD-(L)1",0.979458029846734
"R vs NR","STAT1","Limagne2__Lung__PD-(L)1",-0.199,0.471,22,0.672303854193703,"Lung","PD-(L)1",0.979458029846734
"R vs NR","PRDM2","Limagne2__Lung__PD-(L)1",0.977,0.629,22,0.120179738514078,"Lung","PD-(L)1",0.979458029846734
"R vs NR","NR4A3","Limagne2__Lung__PD-(L)1",-0.168,0.474,22,0.723521491537591,"Lung","PD-(L)1",0.979458029846734
"R vs NR","YPEL5","Limagne2__Lung__PD-(L)1",0.538,0.531,22,0.310428142227137,"Lung","PD-(L)1",0.979458029846734
"R vs NR","BCL11A","Limagne2__Lung__PD-(L)1",0.131,0.479,22,0.783642876167932,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CD274","Limagne2__Lung__PD-(L)1",-1.056,0.638,22,0.0978388387297668,"Lung","PD-(L)1",0.979458029846734
"R vs NR","HSPH1","Limagne2__Lung__PD-(L)1",0.598,0.523,22,0.252095513536036,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CXCR4","Limagne2__Lung__PD-(L)1",-0.126,0.503,22,0.801972092576245,"Lung","PD-(L)1",0.979458029846734
"R vs NR","LY9","Limagne2__Lung__PD-(L)1",-0.936,0.666,22,0.159979430992526,"Lung","PD-(L)1",0.979458029846734
"R vs NR","NR4A1","Limagne2__Lung__PD-(L)1",0.101,0.464,22,0.827659509352554,"Lung","PD-(L)1",0.979458029846734
"R vs NR","DDX27","Limagne2__Lung__PD-(L)1",0.198,0.498,22,0.690230514247745,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CCR7","Limagne2__Lung__PD-(L)1",-0.599,0.639,22,0.34840543258678,"Lung","PD-(L)1",0.979458029846734
"R vs NR","IQCN","Limagne2__Lung__PD-(L)1",0.352,0.501,22,0.48259765603797,"Lung","PD-(L)1",0.979458029846734
"R vs NR","JUND","Limagne2__Lung__PD-(L)1",0.296,0.464,22,0.524171630781053,"Lung","PD-(L)1",0.979458029846734
"R vs NR","ZNF331","Limagne2__Lung__PD-(L)1",-0.827,0.587,22,0.158913191761751,"Lung","PD-(L)1",0.979458029846734
"R vs NR","ZNF141","Limagne2__Lung__PD-(L)1",0.684,0.573,22,0.232316644169311,"Lung","PD-(L)1",0.979458029846734
"R vs NR","IDO1","Limagne2__Lung__PD-(L)1",-0.133,0.492,22,0.787058952831817,"Lung","PD-(L)1",0.979458029846734
"R vs NR","DNAJB1","Limagne2__Lung__PD-(L)1",-0.387,0.542,22,0.475559366920622,"Lung","PD-(L)1",0.979458029846734
"R vs NR","KDM6B","Limagne2__Lung__PD-(L)1",0.157,0.474,22,0.740247246738206,"Lung","PD-(L)1",0.979458029846734
"R vs NR","WDR74","Limagne2__Lung__PD-(L)1",0.516,0.582,22,0.375547792019118,"Lung","PD-(L)1",0.979458029846734
"R vs NR","BTG1","Limagne2__Lung__PD-(L)1",0.525,0.523,22,0.314878696523953,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CEMIP2","Limagne2__Lung__PD-(L)1",-0.023,0.473,22,0.96133354780253,"Lung","PD-(L)1",0.979458029846734
"R vs NR","SKIL","Limagne2__Lung__PD-(L)1",0.583,0.528,22,0.269408954388182,"Lung","PD-(L)1",0.979458029846734
"R vs NR","SDCBP","Limagne2__Lung__PD-(L)1",0.139,0.46,22,0.762662050233194,"Lung","PD-(L)1",0.979458029846734
"R vs NR","ARHGAP24","Limagne2__Lung__PD-(L)1",0.254,0.474,22,0.592196550847034,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CXCL9","Limagne2__Lung__PD-(L)1",-0.358,0.52,22,0.490807724472942,"Lung","PD-(L)1",0.979458029846734
"R vs NR","VPS37B","Limagne2__Lung__PD-(L)1",0.337,0.531,22,0.525928295170687,"Lung","PD-(L)1",0.979458029846734
"R vs NR","WDR45B","Limagne2__Lung__PD-(L)1",0.827,0.553,22,0.13458328491134,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CALM2","Limagne2__Lung__PD-(L)1",-0.394,0.472,22,0.404114176391983,"Lung","PD-(L)1",0.979458029846734
"R vs NR","IL2RG","Limagne2__Lung__PD-(L)1",-0.651,0.572,22,0.254805276924659,"Lung","PD-(L)1",0.979458029846734
"R vs NR","C9orf72","Limagne2__Lung__PD-(L)1",0.158,0.509,22,0.755867133891303,"Lung","PD-(L)1",0.979458029846734
"R vs NR","RILPL2","Limagne2__Lung__PD-(L)1",-0.495,0.587,22,0.39968013321239,"Lung","PD-(L)1",0.979458029846734
"R vs NR","ZFP36L2","Limagne2__Lung__PD-(L)1",-0.3,0.556,22,0.589891126761366,"Lung","PD-(L)1",0.979458029846734
"R vs NR","RANBP2","Limagne2__Lung__PD-(L)1",0.012,0.465,22,0.979458029846734,"Lung","PD-(L)1",0.979458029846734
"R vs NR","NR4A2","Limagne2__Lung__PD-(L)1",0.916,0.582,22,0.115823150486089,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CHD1","Limagne2__Lung__PD-(L)1",0.608,0.559,22,0.277425468611265,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CCR5","Limagne2__Lung__PD-(L)1",-0.706,0.591,22,0.231804363780473,"Lung","PD-(L)1",0.979458029846734
"R vs NR","REL","Limagne2__Lung__PD-(L)1",0.409,0.55,22,0.457183943572992,"Lung","PD-(L)1",0.979458029846734
"R vs NR","DNAJB14","Limagne2__Lung__PD-(L)1",-0.186,0.539,22,0.730503683299581,"Lung","PD-(L)1",0.979458029846734
"R vs NR","PRMT9","Limagne2__Lung__PD-(L)1",-1.139,0.7,22,0.103745312208201,"Lung","PD-(L)1",0.979458029846734
"R vs NR","TRA2A","Limagne2__Lung__PD-(L)1",0.423,0.551,22,0.442913772274643,"Lung","PD-(L)1",0.979458029846734
"R vs NR","TAGAP","Limagne2__Lung__PD-(L)1",-0.09,0.514,22,0.860574814988434,"Lung","PD-(L)1",0.979458029846734
"R vs NR","BORCS5","Limagne2__Lung__PD-(L)1",0.511,0.547,22,0.350121774334426,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CD3D","Limagne2__Lung__PD-(L)1",-1.028,0.782,22,0.189109401480874,"Lung","PD-(L)1",0.979458029846734
"R vs NR","TUBA1A","Limagne2__Lung__PD-(L)1",-0.053,0.471,22,0.909977519487843,"Lung","PD-(L)1",0.979458029846734
"R vs NR","TUBA1C","Limagne2__Lung__PD-(L)1",-0.089,0.477,22,0.851723552290088,"Lung","PD-(L)1",0.979458029846734
"R vs NR","NFKBID","Limagne2__Lung__PD-(L)1",0.173,0.474,22,0.71494308144723,"Lung","PD-(L)1",0.979458029846734
"R vs NR","GPR183","Limagne2__Lung__PD-(L)1",0.056,0.498,22,0.910522692047035,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CXCR6","Limagne2__Lung__PD-(L)1",-0.69,0.544,22,0.204857730600587,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CMKLR1","Limagne2__Lung__PD-(L)1",-0.507,0.614,22,0.408929413328667,"Lung","PD-(L)1",0.979458029846734
"R vs NR","TGIF1","Limagne2__Lung__PD-(L)1",0.977,0.602,22,0.104788458171004,"Lung","PD-(L)1",0.979458029846734
"R vs NR","PER1","Limagne2__Lung__PD-(L)1",0.072,0.536,22,0.893565905394687,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CIITA","Limagne2__Lung__PD-(L)1",0.444,0.585,22,0.447686811411722,"Lung","PD-(L)1",0.979458029846734
"R vs NR","TIGIT","Limagne2__Lung__PD-(L)1",-0.19,0.488,22,0.697260761823397,"Lung","PD-(L)1",0.979458029846734
"R vs NR","TENT5C","Limagne2__Lung__PD-(L)1",-0.699,0.561,22,0.212698347600953,"Lung","PD-(L)1",0.979458029846734
"R vs NR","HLA.DRB1","Limagne2__Lung__PD-(L)1",0.038,0.501,22,0.938781171809897,"Lung","PD-(L)1",0.979458029846734
"R vs NR","TSC22D2","Limagne2__Lung__PD-(L)1",-0.048,0.449,22,0.913963325093152,"Lung","PD-(L)1",0.979458029846734
"R vs NR","HLA.DQA1","Limagne2__Lung__PD-(L)1",-0.567,0.578,22,0.326782461241677,"Lung","PD-(L)1",0.979458029846734
"R vs NR","ZNF165","Limagne2__Lung__PD-(L)1",0.654,0.646,22,0.311458931185116,"Lung","PD-(L)1",0.979458029846734
"R vs NR","PDCD1LG2","Limagne2__Lung__PD-(L)1",-0.175,0.505,22,0.729335232514475,"Lung","PD-(L)1",0.979458029846734
"R vs NR","HLA.DRA","Limagne2__Lung__PD-(L)1",-0.14,0.482,22,0.771100004785879,"Lung","PD-(L)1",0.979458029846734
"R vs NR","HLA.E","Limagne2__Lung__PD-(L)1",0.023,0.572,22,0.967273711734198,"Lung","PD-(L)1",0.979458029846734
"R vs NR","PSMB10","Limagne2__Lung__PD-(L)1",0.25,0.468,22,0.592915474821272,"Lung","PD-(L)1",0.979458029846734
"R vs NR","SIGLEC14","Limagne2__Lung__PD-(L)1",0.764,0.63,22,0.225189825103808,"Lung","PD-(L)1",0.979458029846734
"R vs NR","CCL5","Limagne2__Lung__PD-(L)1",-0.999,0.625,22,0.109865456235893,"Lung","PD-(L)1",0.979458029846734
