"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Liu__Melanoma__IO+combo",-1.098,0.439,43,0.0123989460592761,"Melanoma","IO+combo",0.124413609476281
"R vs NR","RGPD5","Liu__Melanoma__IO+combo",-0.446,0.33,43,0.17737326466611,"Melanoma","IO+combo",0.309371973254843
"R vs NR","HERPUD1","Liu__Melanoma__IO+combo",-1.233,0.459,43,0.007230847660257,"Melanoma","IO+combo",0.124413609476281
"R vs NR","USP36","Liu__Melanoma__IO+combo",-0.472,0.339,43,0.164035098245815,"Melanoma","IO+combo",0.300064204108199
"R vs NR","SLC2A3","Liu__Melanoma__IO+combo",-0.764,0.385,43,0.0470094158624869,"Melanoma","IO+combo",0.176285309484326
"R vs NR","PTPRC","Liu__Melanoma__IO+combo",-0.843,0.374,43,0.0242920447088612,"Melanoma","IO+combo",0.143294757051129
"R vs NR","DNAJA1","Liu__Melanoma__IO+combo",0.561,0.352,43,0.110998320551074,"Melanoma","IO+combo",0.287064622114846
"R vs NR","EZR","Liu__Melanoma__IO+combo",-0.605,0.342,43,0.0772508696291469,"Melanoma","IO+combo",0.241408967591084
"R vs NR","CREM","Liu__Melanoma__IO+combo",-0.01,0.305,43,0.975060591903122,"Melanoma","IO+combo",0.980836332426383
"R vs NR","SMCHD1","Liu__Melanoma__IO+combo",-0.07,0.308,43,0.819312862464757,"Melanoma","IO+combo",0.890557459200823
"R vs NR","ALG13","Liu__Melanoma__IO+combo",0.267,0.314,43,0.395484355005907,"Melanoma","IO+combo",0.55964767217817
"R vs NR","RUBCNL","Liu__Melanoma__IO+combo",-0.115,0.32,43,0.718895125747881,"Melanoma","IO+combo",0.804733349717777
"R vs NR","CD276","Liu__Melanoma__IO+combo",-0.285,0.326,43,0.382444298838996,"Melanoma","IO+combo",0.551602354094706
"R vs NR","ARRDC2","Liu__Melanoma__IO+combo",-0.488,0.333,43,0.14258100481426,"Melanoma","IO+combo",0.290939656257011
