"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Mariathasan__Bladder__PD-(L)1",-0.225,0.196,133,0.249776395887642,"Bladder","PD-(L)1",0.677103384649126
"R vs NR","HERPUD1","Mariathasan__Bladder__PD-(L)1",-0.03,0.18,133,0.868643099172757,"Bladder","PD-(L)1",0.949350533995368
"R vs NR","USP36","Mariathasan__Bladder__PD-(L)1",0.336,0.195,133,0.0847684869016646,"Bladder","PD-(L)1",0.474226796235332
"R vs NR","SLC2A3","Mariathasan__Bladder__PD-(L)1",0.016,0.183,133,0.930098045177055,"Bladder","PD-(L)1",0.954876634994677
"R vs NR","PTPRC","Mariathasan__Bladder__PD-(L)1",-0.165,0.192,133,0.39126920916595,"Bladder","PD-(L)1",0.759221591362149
"R vs NR","DNAJA1","Mariathasan__Bladder__PD-(L)1",-0.312,0.203,133,0.124629393189369,"Bladder","PD-(L)1",0.596052516446614
"R vs NR","LAG3","Mariathasan__Bladder__PD-(L)1",-0.464,0.209,133,0.0265102511312662,"Bladder","PD-(L)1",0.370104854092283
"R vs NR","EZR","Mariathasan__Bladder__PD-(L)1",0.063,0.193,133,0.744484828824368,"Bladder","PD-(L)1",0.850839804370706
"R vs NR","CREM","Mariathasan__Bladder__PD-(L)1",0.073,0.182,133,0.687853837440605,"Bladder","PD-(L)1",0.836086019638836
"R vs NR","GZMB","Mariathasan__Bladder__PD-(L)1",-0.373,0.208,133,0.0732422482681695,"Bladder","PD-(L)1",0.474226796235332
"R vs NR","SMCHD1","Mariathasan__Bladder__PD-(L)1",-0.262,0.191,133,0.17057791377761,"Bladder","PD-(L)1",0.6091444741454
"R vs NR","ALG13","Mariathasan__Bladder__PD-(L)1",0.156,0.185,133,0.398723839321968,"Bladder","PD-(L)1",0.759221591362149
"R vs NR","CD276","Mariathasan__Bladder__PD-(L)1",0.318,0.181,133,0.0785433730995648,"Bladder","PD-(L)1",0.474226796235332
"R vs NR","ARRDC2","Mariathasan__Bladder__PD-(L)1",-0.013,0.185,133,0.942940677057243,"Bladder","PD-(L)1",0.954876634994677
"R vs NR","AREG","Mariathasan__Bladder__PD-(L)1",0.351,0.188,133,0.0616119406314411,"Bladder","PD-(L)1",0.474226796235332
"R vs NR","CD69","Mariathasan__Bladder__PD-(L)1",0.174,0.189,133,0.357522668604396,"Bladder","PD-(L)1",0.752679302325045
"R vs NR","CD83","Mariathasan__Bladder__PD-(L)1",-0.262,0.184,133,0.154228617132897,"Bladder","PD-(L)1",0.6091444741454
"R vs NR","STAT1","Mariathasan__Bladder__PD-(L)1",-0.491,0.201,133,0.014511652187316,"Bladder","PD-(L)1",0.370104854092283
"R vs NR","PRDM2","Mariathasan__Bladder__PD-(L)1",-0.081,0.189,133,0.667537406349514,"Bladder","PD-(L)1",0.834421757936892
"R vs NR","NR4A3","Mariathasan__Bladder__PD-(L)1",0.131,0.188,133,0.486429564586189,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","YPEL5","Mariathasan__Bladder__PD-(L)1",-0.071,0.191,133,0.710673116693011,"Bladder","PD-(L)1",0.836086019638836
"R vs NR","BCL11A","Mariathasan__Bladder__PD-(L)1",0.109,0.183,133,0.552016191515087,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","CD274","Mariathasan__Bladder__PD-(L)1",-0.259,0.191,133,0.175129036316802,"Bladder","PD-(L)1",0.6091444741454
"R vs NR","HSPH1","Mariathasan__Bladder__PD-(L)1",-0.186,0.199,133,0.350051890392727,"Bladder","PD-(L)1",0.752679302325045
"R vs NR","CXCR4","Mariathasan__Bladder__PD-(L)1",0.045,0.186,133,0.809428684697666,"Bladder","PD-(L)1",0.899365205219629
"R vs NR","LY9","Mariathasan__Bladder__PD-(L)1",-0.17,0.194,133,0.381026400344115,"Bladder","PD-(L)1",0.759221591362149
"R vs NR","NR4A1","Mariathasan__Bladder__PD-(L)1",0.202,0.19,133,0.288234205198571,"Bladder","PD-(L)1",0.698749588360171
"R vs NR","CKS2","Mariathasan__Bladder__PD-(L)1",-0.119,0.188,133,0.526314102634772,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","DDX27","Mariathasan__Bladder__PD-(L)1",-0.087,0.182,133,0.632697528296532,"Bladder","PD-(L)1",0.816383907479396
"R vs NR","CCR7","Mariathasan__Bladder__PD-(L)1",0.104,0.189,133,0.580655421978344,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","JUND","Mariathasan__Bladder__PD-(L)1",0.152,0.182,133,0.401913591713422,"Bladder","PD-(L)1",0.759221591362149
"R vs NR","ZNF331","Mariathasan__Bladder__PD-(L)1",0.003,0.199,133,0.988442971566945,"Bladder","PD-(L)1",0.988442971566945
"R vs NR","ZNF141","Mariathasan__Bladder__PD-(L)1",-0.225,0.183,133,0.218820947541429,"Bladder","PD-(L)1",0.677103384649126
"R vs NR","IDO1","Mariathasan__Bladder__PD-(L)1",-0.353,0.193,133,0.0665019204811174,"Bladder","PD-(L)1",0.474226796235332
"R vs NR","DNAJB1","Mariathasan__Bladder__PD-(L)1",0.026,0.191,133,0.893557251703407,"Bladder","PD-(L)1",0.949350533995368
"R vs NR","KDM6B","Mariathasan__Bladder__PD-(L)1",0.209,0.188,133,0.265790413827621,"Bladder","PD-(L)1",0.677103384649126
"R vs NR","WDR74","Mariathasan__Bladder__PD-(L)1",-0.121,0.186,133,0.513700498295298,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","BTG1","Mariathasan__Bladder__PD-(L)1",0.148,0.187,133,0.428421925317174,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","SKIL","Mariathasan__Bladder__PD-(L)1",-0.275,0.187,133,0.141562472656071,"Bladder","PD-(L)1",0.596052516446614
"R vs NR","SDCBP","Mariathasan__Bladder__PD-(L)1",-0.135,0.187,133,0.47246387797549,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","ARHGAP24","Mariathasan__Bladder__PD-(L)1",0.18,0.185,133,0.331246480998184,"Bladder","PD-(L)1",0.736103291107075
"R vs NR","VPS37B","Mariathasan__Bladder__PD-(L)1",0.094,0.19,133,0.61992883456729,"Bladder","PD-(L)1",0.813021422383331
"R vs NR","WDR45B","Mariathasan__Bladder__PD-(L)1",-0.023,0.186,133,0.9018830072956,"Bladder","PD-(L)1",0.949350533995368
"R vs NR","CALM2","Mariathasan__Bladder__PD-(L)1",-0.108,0.192,133,0.575097047257934,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","GZMA","Mariathasan__Bladder__PD-(L)1",-0.456,0.213,133,0.0323841747330747,"Bladder","PD-(L)1",0.370104854092283
"R vs NR","IL2RG","Mariathasan__Bladder__PD-(L)1",-0.162,0.196,133,0.408081605357155,"Bladder","PD-(L)1",0.759221591362149
"R vs NR","C9orf72","Mariathasan__Bladder__PD-(L)1",-0.189,0.194,133,0.328991639390019,"Bladder","PD-(L)1",0.736103291107075
"R vs NR","RILPL2","Mariathasan__Bladder__PD-(L)1",-0.061,0.178,133,0.731708872588381,"Bladder","PD-(L)1",0.848358113145949
"R vs NR","ZFP36L2","Mariathasan__Bladder__PD-(L)1",0.374,0.189,133,0.0481407596975382,"Bladder","PD-(L)1",0.474226796235332
"R vs NR","BANK1","Mariathasan__Bladder__PD-(L)1",-0.321,0.189,133,0.0889175242941248,"Bladder","PD-(L)1",0.474226796235332
"R vs NR","RANBP2","Mariathasan__Bladder__PD-(L)1",0.112,0.186,133,0.5472398051307,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","NR4A2","Mariathasan__Bladder__PD-(L)1",0.069,0.184,133,0.708563067586516,"Bladder","PD-(L)1",0.836086019638836
"R vs NR","CD8A","Mariathasan__Bladder__PD-(L)1",-0.542,0.219,133,0.0134337534180372,"Bladder","PD-(L)1",0.370104854092283
"R vs NR","CHD1","Mariathasan__Bladder__PD-(L)1",-0.1,0.182,133,0.582533617083524,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","CCR5","Mariathasan__Bladder__PD-(L)1",-0.371,0.215,133,0.0845227865037748,"Bladder","PD-(L)1",0.474226796235332
"R vs NR","REL","Mariathasan__Bladder__PD-(L)1",0.106,0.179,133,0.554074428419295,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","DNAJB14","Mariathasan__Bladder__PD-(L)1",-0.234,0.194,133,0.228018837346278,"Bladder","PD-(L)1",0.677103384649126
"R vs NR","PRMT9","Mariathasan__Bladder__PD-(L)1",-0.137,0.186,133,0.460931803183423,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","TRA2A","Mariathasan__Bladder__PD-(L)1",-0.138,0.188,133,0.460620428462674,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","TAGAP","Mariathasan__Bladder__PD-(L)1",-0.128,0.189,133,0.49629077336445,"Bladder","PD-(L)1",0.776711489444699
"R vs NR","CD3D","Mariathasan__Bladder__PD-(L)1",-0.291,0.197,133,0.140169331018478,"Bladder","PD-(L)1",0.596052516446614
"R vs NR","TUBA1A","Mariathasan__Bladder__PD-(L)1",-0.029,0.194,133,0.882228172515372,"Bladder","PD-(L)1",0.949350533995368
"R vs NR","TUBA1C","Mariathasan__Bladder__PD-(L)1",0.056,0.188,133,0.764917070765679,"Bladder","PD-(L)1",0.861878389595131
"R vs NR","NFKBID","Mariathasan__Bladder__PD-(L)1",0.081,0.178,133,0.64937549898497,"Bladder","PD-(L)1",0.824603808234883
"R vs NR","CXCL10","Mariathasan__Bladder__PD-(L)1",-0.568,0.212,133,0.00732417479104718,"Bladder","PD-(L)1",0.370104854092283
"R vs NR","GPR183","Mariathasan__Bladder__PD-(L)1",0.014,0.185,133,0.940029558008126,"Bladder","PD-(L)1",0.954876634994677
"R vs NR","CMKLR1","Mariathasan__Bladder__PD-(L)1",-0.192,0.197,133,0.329560994146769,"Bladder","PD-(L)1",0.736103291107075
"R vs NR","TGIF1","Mariathasan__Bladder__PD-(L)1",-0.122,0.189,133,0.517410267152083,"Bladder","PD-(L)1",0.776711489444699
