"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Mariathasan__Kidney__PD-(L)1",-0.041,0.362,46,0.90955460083874,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","HERPUD1","Mariathasan__Kidney__PD-(L)1",-0.07,0.391,46,0.858464776645357,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","USP36","Mariathasan__Kidney__PD-(L)1",-0.411,0.373,46,0.270830807691572,"Kidney","PD-(L)1",0.854460092703956
"R vs NR","SLC2A3","Mariathasan__Kidney__PD-(L)1",-0.09,0.375,46,0.810933923976197,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","DDX3Y","Mariathasan__Kidney__PD-(L)1",-0.673,0.531,46,0.204667772245231,"Kidney","PD-(L)1",0.854460092703956
"R vs NR","PTPRC","Mariathasan__Kidney__PD-(L)1",0.117,0.354,46,0.742094101776898,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","DNAJA1","Mariathasan__Kidney__PD-(L)1",-0.489,0.434,46,0.260433285860314,"Kidney","PD-(L)1",0.854460092703956
"R vs NR","LAG3","Mariathasan__Kidney__PD-(L)1",0.06,0.344,46,0.861250679812802,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","EZR","Mariathasan__Kidney__PD-(L)1",-0.331,0.382,46,0.385968432967848,"Kidney","PD-(L)1",0.915749634319289
"R vs NR","CREM","Mariathasan__Kidney__PD-(L)1",0.061,0.426,46,0.886965813083054,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","GZMB","Mariathasan__Kidney__PD-(L)1",-0.296,0.408,46,0.468763956237678,"Kidney","PD-(L)1",0.971011052206619
"R vs NR","SMCHD1","Mariathasan__Kidney__PD-(L)1",0.187,0.408,46,0.647108312906724,"Kidney","PD-(L)1",0.984808295127061
"R vs NR","ALG13","Mariathasan__Kidney__PD-(L)1",0.621,0.408,46,0.128312394902125,"Kidney","PD-(L)1",0.854460092703956
"R vs NR","CD276","Mariathasan__Kidney__PD-(L)1",0.832,0.383,46,0.0296755230220021,"Kidney","PD-(L)1",0.854460092703956
