"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Mariathasan__Ureteral__PD-(L)1",0.858,0.589,18,0.145336930324107,"Ureteral","PD-(L)1",0.484353725351971
"R vs NR","RGPD5","Mariathasan__Ureteral__PD-(L)1",-1.012,0.712,18,0.155299524352147,"Ureteral","PD-(L)1",0.484353725351971
"R vs NR","HERPUD1","Mariathasan__Ureteral__PD-(L)1",1.677,0.963,18,0.0817734145165478,"Ureteral","PD-(L)1",0.484353725351971
"R vs NR","USP36","Mariathasan__Ureteral__PD-(L)1",-0.639,0.573,18,0.264174758898112,"Ureteral","PD-(L)1",0.532748059753721
"R vs NR","SLC2A3","Mariathasan__Ureteral__PD-(L)1",0.494,0.552,18,0.370894004485034,"Ureteral","PD-(L)1",0.585622112344791
"R vs NR","DDX3Y","Mariathasan__Ureteral__PD-(L)1",0.595,0.567,18,0.293586598737162,"Ureteral","PD-(L)1",0.532748059753721
"R vs NR","PTPRC","Mariathasan__Ureteral__PD-(L)1",0.985,0.62,18,0.111932338757398,"Ureteral","PD-(L)1",0.484353725351971
"R vs NR","DNAJA1","Mariathasan__Ureteral__PD-(L)1",-0.401,0.544,18,0.460732704177784,"Ureteral","PD-(L)1",0.650373959492916
"R vs NR","LAG3","Mariathasan__Ureteral__PD-(L)1",-1.247,0.777,18,0.108512854049367,"Ureteral","PD-(L)1",0.484353725351971
"R vs NR","EZR","Mariathasan__Ureteral__PD-(L)1",0.576,0.615,18,0.348610852737301,"Ureteral","PD-(L)1",0.570224978490631
"R vs NR","CREM","Mariathasan__Ureteral__PD-(L)1",0.325,0.484,18,0.502756663725395,"Ureteral","PD-(L)1",0.685577268716448
"R vs NR","GZMB","Mariathasan__Ureteral__PD-(L)1",0.41,0.499,18,0.411023779486494,"Ureteral","PD-(L)1",0.61653566922974
"R vs NR","SMCHD1","Mariathasan__Ureteral__PD-(L)1",-0.208,0.616,18,0.735293994411941,"Ureteral","PD-(L)1",0.837676702494617
"R vs NR","ALG13","Mariathasan__Ureteral__PD-(L)1",-0.335,0.634,18,0.597021273902478,"Ureteral","PD-(L)1",0.746276592378098
"R vs NR","CD276","Mariathasan__Ureteral__PD-(L)1",0.04,0.527,18,0.938874828719536,"Ureteral","PD-(L)1",0.977615610687763
"R vs NR","NKG7","Mariathasan__Ureteral__PD-(L)1",0.295,0.508,18,0.561340685367344,"Ureteral","PD-(L)1",0.721723738329442
"R vs NR","ARRDC2","Mariathasan__Ureteral__PD-(L)1",1.666,1.099,18,0.129533149482769,"Ureteral","PD-(L)1",0.484353725351971
"R vs NR","AREG","Mariathasan__Ureteral__PD-(L)1",0.425,0.525,18,0.417965860859856,"Ureteral","PD-(L)1",0.616670942252247
"R vs NR","CD69","Mariathasan__Ureteral__PD-(L)1",0.606,0.498,18,0.223453710946326,"Ureteral","PD-(L)1",0.52923247329393
"R vs NR","CD83","Mariathasan__Ureteral__PD-(L)1",0.425,0.516,18,0.410592976627341,"Ureteral","PD-(L)1",0.61653566922974
"R vs NR","STAT1","Mariathasan__Ureteral__PD-(L)1",0.036,0.654,18,0.955890819339146,"Ureteral","PD-(L)1",0.977615610687763
"R vs NR","PRDM2","Mariathasan__Ureteral__PD-(L)1",0.579,0.519,18,0.264999284208214,"Ureteral","PD-(L)1",0.532748059753721
"R vs NR","NR4A3","Mariathasan__Ureteral__PD-(L)1",2.704,1.531,18,0.0772535772131483,"Ureteral","PD-(L)1",0.484353725351971
