"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Miao1__Kidney__PD-(L)1",-0.351,0.431,28,0.414686523179297,"Kidney","PD-(L)1",0.889702329298495
"R vs NR","HERPUD1","Miao1__Kidney__PD-(L)1",0.419,0.397,28,0.291775849924177,"Kidney","PD-(L)1",0.889702329298495
"R vs NR","USP36","Miao1__Kidney__PD-(L)1",-0.175,0.426,28,0.680892054925691,"Kidney","PD-(L)1",0.911941285505961
"R vs NR","SLC2A3","Miao1__Kidney__PD-(L)1",-0.546,0.496,28,0.271108109198514,"Kidney","PD-(L)1",0.889702329298495
"R vs NR","PTPRC","Miao1__Kidney__PD-(L)1",-0.56,0.47,28,0.23338903057065,"Kidney","PD-(L)1",0.889702329298495
"R vs NR","DNAJA1","Miao1__Kidney__PD-(L)1",0.474,0.42,28,0.258870858416524,"Kidney","PD-(L)1",0.889702329298495
"R vs NR","LAG3","Miao1__Kidney__PD-(L)1",0.076,0.413,28,0.853486347550961,"Kidney","PD-(L)1",0.965900689317869
"R vs NR","EZR","Miao1__Kidney__PD-(L)1",0.342,0.401,28,0.394097483330168,"Kidney","PD-(L)1",0.889702329298495
"R vs NR","CREM","Miao1__Kidney__PD-(L)1",0.293,0.388,28,0.450716461390613,"Kidney","PD-(L)1",0.889702329298495
"R vs NR","GZMB","Miao1__Kidney__PD-(L)1",0.612,0.474,28,0.196356162763783,"Kidney","PD-(L)1",0.889702329298495
"R vs NR","SMCHD1","Miao1__Kidney__PD-(L)1",-0.927,0.543,28,0.0874895936044876,"Kidney","PD-(L)1",0.889702329298495
"R vs NR","ALG13","Miao1__Kidney__PD-(L)1",-0.181,0.406,28,0.656150714526422,"Kidney","PD-(L)1",0.911941285505961
"R vs NR","CD276","Miao1__Kidney__PD-(L)1",-0.26,0.422,28,0.537508689566584,"Kidney","PD-(L)1",0.900014549971956
"R vs NR","NKG7","Miao1__Kidney__PD-(L)1",0.723,0.522,28,0.166048445432613,"Kidney","PD-(L)1",0.889702329298495
"R vs NR","ARRDC2","Miao1__Kidney__PD-(L)1",0.029,0.378,28,0.939070114614595,"Kidney","PD-(L)1",0.965900689317869
"R vs NR","CD83","Miao1__Kidney__PD-(L)1",0.054,0.386,28,0.888365285484483,"Kidney","PD-(L)1",0.965900689317869
"R vs NR","STAT1","Miao1__Kidney__PD-(L)1",0.042,0.385,28,0.912596049698316,"Kidney","PD-(L)1",0.965900689317869
"R vs NR","PRDM2","Miao1__Kidney__PD-(L)1",-0.272,0.441,28,0.537099789040248,"Kidney","PD-(L)1",0.900014549971956
