"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","RGPD5","Puch__Melanoma__PD-(L)1",0.357,0.307,49,0.244881453106998,"Melanoma","PD-(L)1",0.533958127341963
"R vs NR","HERPUD1","Puch__Melanoma__PD-(L)1",-0.505,0.343,49,0.140739617228714,"Melanoma","PD-(L)1",0.433044976088349
"R vs NR","SLC2A3","Puch__Melanoma__PD-(L)1",0.043,0.31,49,0.888720328807835,"Melanoma","PD-(L)1",0.945105844029046
"R vs NR","PTPRC","Puch__Melanoma__PD-(L)1",-0.655,0.367,49,0.0745401480136644,"Melanoma","PD-(L)1",0.331289546727398
"R vs NR","DNAJA1","Puch__Melanoma__PD-(L)1",-0.8,0.376,49,0.0331048895884063,"Melanoma","PD-(L)1",0.309278359463112
"R vs NR","EZR","Puch__Melanoma__PD-(L)1",-0.322,0.333,49,0.333218902232764,"Melanoma","PD-(L)1",0.605852549514116
"R vs NR","SMCHD1","Puch__Melanoma__PD-(L)1",-0.428,0.342,49,0.21052645179608,"Melanoma","PD-(L)1",0.533958127341963
"R vs NR","ALG13","Puch__Melanoma__PD-(L)1",0.398,0.355,49,0.262485557678348,"Melanoma","PD-(L)1",0.533958127341963
"R vs NR","CD276","Puch__Melanoma__PD-(L)1",0.069,0.314,49,0.826297644749463,"Melanoma","PD-(L)1",0.944340165427958
"R vs NR","ARRDC2","Puch__Melanoma__PD-(L)1",0.21,0.302,49,0.486615891725562,"Melanoma","PD-(L)1",0.748639833423941
"R vs NR","STAT1","Puch__Melanoma__PD-(L)1",-1.389,0.493,49,0.00482861991631994,"Melanoma","PD-(L)1",0.106189841552557
"R vs NR","PRDM2","Puch__Melanoma__PD-(L)1",-0.127,0.314,49,0.686378664184456,"Melanoma","PD-(L)1",0.923817689637035
"R vs NR","HSPH1","Puch__Melanoma__PD-(L)1",-0.528,0.342,49,0.122693570780796,"Melanoma","PD-(L)1",0.40897856926932
"R vs NR","DDX27","Puch__Melanoma__PD-(L)1",-0.723,0.397,49,0.0685102197632958,"Melanoma","PD-(L)1",0.331289546727398
"R vs NR","JUND","Puch__Melanoma__PD-(L)1",-0.28,0.373,49,0.45265800308525,"Melanoma","PD-(L)1",0.7242528049364
"R vs NR","ZNF331","Puch__Melanoma__PD-(L)1",0.337,0.304,49,0.266979063670982,"Melanoma","PD-(L)1",0.533958127341963
"R vs NR","DNAJB1","Puch__Melanoma__PD-(L)1",-0.362,0.357,49,0.310976995290969,"Melanoma","PD-(L)1",0.592337133887559
"R vs NR","KDM6B","Puch__Melanoma__PD-(L)1",-0.129,0.326,49,0.692863267227776,"Melanoma","PD-(L)1",0.923817689637035
"R vs NR","BTG1","Puch__Melanoma__PD-(L)1",0.096,0.329,49,0.771879160395157,"Melanoma","PD-(L)1",0.935611103509281
"R vs NR","SKIL","Puch__Melanoma__PD-(L)1",0.041,0.321,49,0.897850551827594,"Melanoma","PD-(L)1",0.945105844029046
"R vs NR","SDCBP","Puch__Melanoma__PD-(L)1",0.07,0.309,49,0.819542384481605,"Melanoma","PD-(L)1",0.944340165427958
"R vs NR","WDR45B","Puch__Melanoma__PD-(L)1",-0.742,0.359,49,0.038659794932889,"Melanoma","PD-(L)1",0.309278359463112
"R vs NR","CALM2","Puch__Melanoma__PD-(L)1",-0.675,0.374,49,0.0712435020638592,"Melanoma","PD-(L)1",0.331289546727398
"R vs NR","ZFP36L2","Puch__Melanoma__PD-(L)1",-0.198,0.335,49,0.555477345473019,"Melanoma","PD-(L)1",0.822929400700769
"R vs NR","RANBP2","Puch__Melanoma__PD-(L)1",0.029,0.324,49,0.929434294259202,"Melanoma","PD-(L)1",0.953265942829951
"R vs NR","CHD1","Puch__Melanoma__PD-(L)1",0.383,0.328,49,0.243045636311,"Melanoma","PD-(L)1",0.533958127341963
"R vs NR","REL","Puch__Melanoma__PD-(L)1",0.013,0.342,49,0.969778488855327,"Melanoma","PD-(L)1",0.969778488855327
"R vs NR","DNAJB14","Puch__Melanoma__PD-(L)1",-0.105,0.321,49,0.744419052955033,"Melanoma","PD-(L)1",0.935611103509281
"R vs NR","TRA2A","Puch__Melanoma__PD-(L)1",0.336,0.296,49,0.256777474539855,"Melanoma","PD-(L)1",0.533958127341963
"R vs NR","TUBA1A","Puch__Melanoma__PD-(L)1",-0.432,0.333,49,0.194740813176451,"Melanoma","PD-(L)1",0.533958127341963
"R vs NR","TUBA1C","Puch__Melanoma__PD-(L)1",-0.179,0.362,49,0.621432003422666,"Melanoma","PD-(L)1",0.887760004889523
"R vs NR","CXCR6","Puch__Melanoma__PD-(L)1",-0.906,0.417,49,0.0299292759129949,"Melanoma","PD-(L)1",0.309278359463112
"R vs NR","TGIF1","Puch__Melanoma__PD-(L)1",0.518,0.334,49,0.121020232387373,"Melanoma","PD-(L)1",0.40897856926932
"R vs NR","PER1","Puch__Melanoma__PD-(L)1",0.249,0.322,49,0.439230414738582,"Melanoma","PD-(L)1",0.7242528049364
"R vs NR","CIITA","Puch__Melanoma__PD-(L)1",-0.278,0.334,49,0.404461780746042,"Melanoma","PD-(L)1",0.703411792601812
"R vs NR","HLA.DRB1","Puch__Melanoma__PD-(L)1",-0.098,0.314,49,0.755139187174893,"Melanoma","PD-(L)1",0.935611103509281
"R vs NR","TSC22D2","Puch__Melanoma__PD-(L)1",-0.052,0.324,49,0.871781670608443,"Melanoma","PD-(L)1",0.945105844029046
"R vs NR","HLA.DRA","Puch__Melanoma__PD-(L)1",-0.821,0.413,49,0.0469187628641665,"Melanoma","PD-(L)1",0.312791752427777
"R vs NR","HLA.E","Puch__Melanoma__PD-(L)1",-0.59,0.374,49,0.115074643579386,"Melanoma","PD-(L)1",0.40897856926932
"R vs NR","PSMB10","Puch__Melanoma__PD-(L)1",-1.634,0.586,49,0.00530949207762784,"Melanoma","PD-(L)1",0.106189841552557
