"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Riaz__Melanoma__IO+combo",-2.595,1.667,14,0.119583549595148,"Melanoma","IO+combo",0.422991447100277
"R vs NR","RGPD5","Riaz__Melanoma__IO+combo",-0.718,0.632,14,0.255654171324344,"Melanoma","IO+combo",0.422991447100277
"R vs NR","HERPUD1","Riaz__Melanoma__IO+combo",-2.366,1.72,14,0.168820942294853,"Melanoma","IO+combo",0.422991447100277
"R vs NR","USP36","Riaz__Melanoma__IO+combo",1.765,1.341,14,0.188151326723202,"Melanoma","IO+combo",0.422991447100277
"R vs NR","SLC2A3","Riaz__Melanoma__IO+combo",-0.233,0.721,14,0.746656478023455,"Melanoma","IO+combo",0.849321743751681
"R vs NR","PTPRC","Riaz__Melanoma__IO+combo",-2.303,1.476,14,0.118723213271526,"Melanoma","IO+combo",0.422991447100277
"R vs NR","DNAJA1","Riaz__Melanoma__IO+combo",0.451,0.54,14,0.403680967956452,"Melanoma","IO+combo",0.548283105731898
"R vs NR","EZR","Riaz__Melanoma__IO+combo",-0.565,0.57,14,0.321206783563323,"Melanoma","IO+combo",0.4713748247796
"R vs NR","CREM","Riaz__Melanoma__IO+combo",1.546,1.24,14,0.212318478520453,"Melanoma","IO+combo",0.422991447100277
"R vs NR","GZMB","Riaz__Melanoma__IO+combo",-0.656,0.668,14,0.326336417155108,"Melanoma","IO+combo",0.4713748247796
"R vs NR","SMCHD1","Riaz__Melanoma__IO+combo",-0.116,0.56,14,0.83534436979193,"Melanoma","IO+combo",0.89335025092737
"R vs NR","ALG13","Riaz__Melanoma__IO+combo",-0.104,0.672,14,0.876399567014507,"Melanoma","IO+combo",0.899594786496021
"R vs NR","RUBCNL","Riaz__Melanoma__IO+combo",-1.049,0.919,14,0.253571998872174,"Melanoma","IO+combo",0.422991447100277
"R vs NR","CD276","Riaz__Melanoma__IO+combo",1.687,0.929,14,0.0693396519587537,"Melanoma","IO+combo",0.422991447100277
"R vs NR","NKG7","Riaz__Melanoma__IO+combo",-1.269,0.984,14,0.197280108923039,"Melanoma","IO+combo",0.422991447100277
"R vs NR","ARRDC2","Riaz__Melanoma__IO+combo",-0.725,0.605,14,0.231023502144568,"Melanoma","IO+combo",0.422991447100277
