"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Riaz__Melanoma__PD-(L)1",-0.249,0.588,16,0.672240615257394,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","RGPD5","Riaz__Melanoma__PD-(L)1",-0.613,0.598,16,0.30486864794655,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","HERPUD1","Riaz__Melanoma__PD-(L)1",0.301,0.587,16,0.607884665064846,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","USP36","Riaz__Melanoma__PD-(L)1",-0.621,0.53,16,0.240976763573634,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","SLC2A3","Riaz__Melanoma__PD-(L)1",-0.21,0.561,16,0.707954805237066,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","PTPRC","Riaz__Melanoma__PD-(L)1",-0.276,0.549,16,0.615191859856526,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","DNAJA1","Riaz__Melanoma__PD-(L)1",-0.121,0.567,16,0.831467049682153,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","LAG3","Riaz__Melanoma__PD-(L)1",-0.089,0.542,16,0.869264743923803,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","EZR","Riaz__Melanoma__PD-(L)1",-0.518,0.663,16,0.434572921265003,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CREM","Riaz__Melanoma__PD-(L)1",-1.29,0.917,16,0.159507566039314,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","SMCHD1","Riaz__Melanoma__PD-(L)1",-1.148,0.812,16,0.157179714080052,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","ALG13","Riaz__Melanoma__PD-(L)1",-0.2,0.513,16,0.696617319736646,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","RUBCNL","Riaz__Melanoma__PD-(L)1",0.036,0.49,16,0.940857915188401,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CD276","Riaz__Melanoma__PD-(L)1",-0.145,0.527,16,0.782644849453574,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","NKG7","Riaz__Melanoma__PD-(L)1",-0.338,0.656,16,0.606466527561634,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","ARRDC2","Riaz__Melanoma__PD-(L)1",0.255,0.501,16,0.61092576628447,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CD69","Riaz__Melanoma__PD-(L)1",-0.151,0.494,16,0.759540915147955,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CD83","Riaz__Melanoma__PD-(L)1",-0.347,0.556,16,0.532850435009369,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","STAT1","Riaz__Melanoma__PD-(L)1",0.017,0.504,16,0.973493828824717,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","PRDM2","Riaz__Melanoma__PD-(L)1",0.133,0.49,16,0.78534450063008,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","NR4A3","Riaz__Melanoma__PD-(L)1",-0.212,0.52,16,0.684169973030757,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","YPEL5","Riaz__Melanoma__PD-(L)1",0.667,0.554,16,0.228549143973151,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","BCL11A","Riaz__Melanoma__PD-(L)1",-0.569,0.636,16,0.370620496354496,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CD274","Riaz__Melanoma__PD-(L)1",0.298,0.692,16,0.66640820091537,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","HSPH1","Riaz__Melanoma__PD-(L)1",0.182,0.618,16,0.768037085781961,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CXCR4","Riaz__Melanoma__PD-(L)1",0.214,0.523,16,0.682527456272104,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","LY9","Riaz__Melanoma__PD-(L)1",-0.104,0.541,16,0.848146689143672,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","NR4A1","Riaz__Melanoma__PD-(L)1",0.273,0.573,16,0.633885926591013,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CKS2","Riaz__Melanoma__PD-(L)1",-1.938,1.149,16,0.0915783592412504,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","DDX27","Riaz__Melanoma__PD-(L)1",0.172,0.534,16,0.746968417791498,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CCR7","Riaz__Melanoma__PD-(L)1",-0.662,0.689,16,0.336336695500357,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","IQCN","Riaz__Melanoma__PD-(L)1",0.837,0.624,16,0.18030001096129,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","JUND","Riaz__Melanoma__PD-(L)1",1.272,0.89,16,0.153118131374825,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","ZNF331","Riaz__Melanoma__PD-(L)1",1.646,1.038,16,0.112711764366856,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","ZNF141","Riaz__Melanoma__PD-(L)1",0.48,0.576,16,0.405074040990914,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","IDO1","Riaz__Melanoma__PD-(L)1",-0.497,0.58,16,0.391224074498124,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","DNAJB1","Riaz__Melanoma__PD-(L)1",0.205,0.601,16,0.732403212353171,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","KDM6B","Riaz__Melanoma__PD-(L)1",-0.181,0.505,16,0.720679786603729,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","WDR74","Riaz__Melanoma__PD-(L)1",0.099,0.486,16,0.839039938238992,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","BTG1","Riaz__Melanoma__PD-(L)1",0.269,0.557,16,0.628473119934814,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CEMIP2","Riaz__Melanoma__PD-(L)1",-0.313,0.524,16,0.550392838629491,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","SKIL","Riaz__Melanoma__PD-(L)1",0.168,0.536,16,0.754271530179111,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","SDCBP","Riaz__Melanoma__PD-(L)1",0.369,0.57,16,0.517379563052073,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","ARHGAP24","Riaz__Melanoma__PD-(L)1",0.223,0.523,16,0.669836508410209,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CXCL9","Riaz__Melanoma__PD-(L)1",-0.39,0.583,16,0.50426829665182,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CD27","Riaz__Melanoma__PD-(L)1",-0.477,0.641,16,0.45710435715177,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","VPS37B","Riaz__Melanoma__PD-(L)1",-0.505,0.609,16,0.407583232854205,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","WDR45B","Riaz__Melanoma__PD-(L)1",-0.123,0.498,16,0.804687778755015,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CALM2","Riaz__Melanoma__PD-(L)1",0.467,0.531,16,0.37937881582086,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","GZMA","Riaz__Melanoma__PD-(L)1",0.004,0.519,16,0.99444103781123,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","IL2RG","Riaz__Melanoma__PD-(L)1",-0.3,0.551,16,0.585335656405844,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","C9orf72","Riaz__Melanoma__PD-(L)1",-0.527,0.517,16,0.307962200102718,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","RILPL2","Riaz__Melanoma__PD-(L)1",0.065,0.567,16,0.909093748867492,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","ZFP36L2","Riaz__Melanoma__PD-(L)1",0.242,0.543,16,0.655355495084358,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","BANK1","Riaz__Melanoma__PD-(L)1",-0.259,0.62,16,0.675873755667205,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","RANBP2","Riaz__Melanoma__PD-(L)1",-0.244,0.566,16,0.665975714333594,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","NR4A2","Riaz__Melanoma__PD-(L)1",-0.284,0.516,16,0.581263668391844,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CD8A","Riaz__Melanoma__PD-(L)1",-0.069,0.559,16,0.901910955028092,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CHD1","Riaz__Melanoma__PD-(L)1",-0.024,0.49,16,0.961041204653745,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","MS4A1","Riaz__Melanoma__PD-(L)1",-1.233,0.849,16,0.146603359801437,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CCR5","Riaz__Melanoma__PD-(L)1",-0.295,0.603,16,0.625296879889655,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","FCMR","Riaz__Melanoma__PD-(L)1",-0.004,0.518,16,0.993344038589162,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","REL","Riaz__Melanoma__PD-(L)1",-0.29,0.547,16,0.59614265686229,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","DNAJB14","Riaz__Melanoma__PD-(L)1",0.008,0.467,16,0.987108101509872,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","PRMT9","Riaz__Melanoma__PD-(L)1",-0.259,0.55,16,0.637762541165972,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","TRA2A","Riaz__Melanoma__PD-(L)1",0.263,0.498,16,0.596705631199701,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","TAGAP","Riaz__Melanoma__PD-(L)1",-0.454,0.571,16,0.426919132493472,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","BORCS5","Riaz__Melanoma__PD-(L)1",-0.666,0.565,16,0.238751934983352,"Melanoma","PD-(L)1",0.99444103781123
"R vs NR","CD3D","Riaz__Melanoma__PD-(L)1",-0.495,0.639,16,0.43896519218552,"Melanoma","PD-(L)1",0.99444103781123
