"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Shiuan__Kidney__PD-(L)1",-0.227,0.864,13,0.792808956210105,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","HERPUD1","Shiuan__Kidney__PD-(L)1",-3.087,2.086,13,0.139025057934228,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","USP36","Shiuan__Kidney__PD-(L)1",-0.207,0.817,13,0.799916172003059,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","SLC2A3","Shiuan__Kidney__PD-(L)1",0.463,0.622,13,0.456036849596374,"Kidney","PD-(L)1",0.909522780402927
"R vs NR","PTPRC","Shiuan__Kidney__PD-(L)1",0.03,0.629,13,0.962280501799958,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","DNAJA1","Shiuan__Kidney__PD-(L)1",0.012,0.538,13,0.982066796147237,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","EZR","Shiuan__Kidney__PD-(L)1",-1.02,0.799,13,0.201745035461432,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","CREM","Shiuan__Kidney__PD-(L)1",0.713,0.682,13,0.296247670447621,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","SMCHD1","Shiuan__Kidney__PD-(L)1",1.125,0.772,13,0.145171021247123,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","ALG13","Shiuan__Kidney__PD-(L)1",0.626,0.798,13,0.432590609795621,"Kidney","PD-(L)1",0.909522780402927
"R vs NR","RUBCNL","Shiuan__Kidney__PD-(L)1",0.133,0.558,13,0.812333977729681,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","CD276","Shiuan__Kidney__PD-(L)1",1.27,0.852,13,0.135961761959489,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","ARRDC2","Shiuan__Kidney__PD-(L)1",-0.544,0.727,13,0.454648074342958,"Kidney","PD-(L)1",0.909522780402927
"R vs NR","AREG","Shiuan__Kidney__PD-(L)1",-0.516,0.708,13,0.466227058327037,"Kidney","PD-(L)1",0.909522780402927
"R vs NR","CD69","Shiuan__Kidney__PD-(L)1",0.385,0.568,13,0.498071998792079,"Kidney","PD-(L)1",0.909522780402927
"R vs NR","CD83","Shiuan__Kidney__PD-(L)1",-0.223,0.639,13,0.727492260107335,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","STAT1","Shiuan__Kidney__PD-(L)1",-1.233,0.969,13,0.203490940571779,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","PRDM2","Shiuan__Kidney__PD-(L)1",0.926,0.869,13,0.286576564958999,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","NR4A3","Shiuan__Kidney__PD-(L)1",-0.153,0.582,13,0.7932995937387,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","YPEL5","Shiuan__Kidney__PD-(L)1",-0.035,0.949,13,0.970989017527193,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","CD274","Shiuan__Kidney__PD-(L)1",-1.989,1.32,13,0.131795717011128,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","HSPH1","Shiuan__Kidney__PD-(L)1",0.902,0.683,13,0.186681598097478,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","CXCR4","Shiuan__Kidney__PD-(L)1",-0.122,0.591,13,0.836891508064148,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","LY9","Shiuan__Kidney__PD-(L)1",-0.089,0.741,13,0.904552581469338,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","NR4A1","Shiuan__Kidney__PD-(L)1",0.2,0.572,13,0.725889086452811,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","DDX27","Shiuan__Kidney__PD-(L)1",-0.123,0.546,13,0.822169385813791,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","CCR7","Shiuan__Kidney__PD-(L)1",-0.405,0.593,13,0.495071154091134,"Kidney","PD-(L)1",0.909522780402927
"R vs NR","IQCN","Shiuan__Kidney__PD-(L)1",-0.543,0.582,13,0.351201547463033,"Kidney","PD-(L)1",0.909522780402927
"R vs NR","JUND","Shiuan__Kidney__PD-(L)1",0.345,0.563,13,0.540642316317444,"Kidney","PD-(L)1",0.926815399401333
"R vs NR","ZNF331","Shiuan__Kidney__PD-(L)1",-0.656,0.739,13,0.375138009894548,"Kidney","PD-(L)1",0.909522780402927
"R vs NR","ZNF141","Shiuan__Kidney__PD-(L)1",-0.925,0.818,13,0.258170538407385,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","DNAJB1","Shiuan__Kidney__PD-(L)1",0.825,0.732,13,0.259757245868274,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","KDM6B","Shiuan__Kidney__PD-(L)1",-0.115,0.578,13,0.842564795049161,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","WDR74","Shiuan__Kidney__PD-(L)1",-1.091,0.766,13,0.15452788201161,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","BTG1","Shiuan__Kidney__PD-(L)1",-0.79,0.698,13,0.257476936219505,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","CEMIP2","Shiuan__Kidney__PD-(L)1",-0.524,0.607,13,0.387575972748889,"Kidney","PD-(L)1",0.909522780402927
"R vs NR","SKIL","Shiuan__Kidney__PD-(L)1",0.849,0.684,13,0.214619427276047,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","SDCBP","Shiuan__Kidney__PD-(L)1",0.09,0.621,13,0.884904870607285,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","ARHGAP24","Shiuan__Kidney__PD-(L)1",0.055,0.656,13,0.933403154340604,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","CXCL9","Shiuan__Kidney__PD-(L)1",-0.499,1.07,13,0.640850322377733,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","VPS37B","Shiuan__Kidney__PD-(L)1",-0.325,0.576,13,0.572172769841884,"Kidney","PD-(L)1",0.945545540724428
"R vs NR","WDR45B","Shiuan__Kidney__PD-(L)1",0.054,0.555,13,0.923073226642707,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","CALM2","Shiuan__Kidney__PD-(L)1",0.748,0.68,13,0.27146186713876,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","GZMA","Shiuan__Kidney__PD-(L)1",-0.038,0.7,13,0.956779926678831,"Kidney","PD-(L)1",0.9938989262213
"R vs NR","IL2RG","Shiuan__Kidney__PD-(L)1",-0.969,0.752,13,0.197774226260202,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","C9orf72","Shiuan__Kidney__PD-(L)1",-1.558,0.872,13,0.0740746570978693,"Kidney","PD-(L)1",0.888743011342864
"R vs NR","RILPL2","Shiuan__Kidney__PD-(L)1",0.377,0.705,13,0.592529577931693,"Kidney","PD-(L)1",0.945545540724428
"R vs NR","ZFP36L2","Shiuan__Kidney__PD-(L)1",0.386,0.555,13,0.487146761744331,"Kidney","PD-(L)1",0.909522780402927
