"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Snyder__Ureteral__PD-(L)1",-0.023,0.458,18,0.960468352082979,"Ureteral","PD-(L)1",0.994830668687221
"R vs NR","RGPD5","Snyder__Ureteral__PD-(L)1",0.431,0.474,18,0.36324380167276,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","HERPUD1","Snyder__Ureteral__PD-(L)1",-0.142,0.439,18,0.745750787157061,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","USP36","Snyder__Ureteral__PD-(L)1",0.012,0.443,18,0.978261796126225,"Ureteral","PD-(L)1",0.994830668687221
"R vs NR","SLC2A3","Snyder__Ureteral__PD-(L)1",0.439,0.472,18,0.352145982491904,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","DDX3Y","Snyder__Ureteral__PD-(L)1",-1.188,0.983,18,0.22667021515422,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","PTPRC","Snyder__Ureteral__PD-(L)1",-0.03,0.467,18,0.949011154727504,"Ureteral","PD-(L)1",0.994830668687221
"R vs NR","DNAJA1","Snyder__Ureteral__PD-(L)1",-0.749,0.536,18,0.161864906090882,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","LAG3","Snyder__Ureteral__PD-(L)1",-0.027,0.487,18,0.956372810468432,"Ureteral","PD-(L)1",0.994830668687221
"R vs NR","EZR","Snyder__Ureteral__PD-(L)1",-1.022,0.662,18,0.12286136399553,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CREM","Snyder__Ureteral__PD-(L)1",0.999,0.711,18,0.159747508150937,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","SMCHD1","Snyder__Ureteral__PD-(L)1",-0.421,0.521,18,0.419200959723295,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","ALG13","Snyder__Ureteral__PD-(L)1",-0.013,0.457,18,0.978146413469953,"Ureteral","PD-(L)1",0.994830668687221
"R vs NR","CD276","Snyder__Ureteral__PD-(L)1",0.065,0.436,18,0.882060877536854,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","NKG7","Snyder__Ureteral__PD-(L)1",-0.652,0.549,18,0.235034545347565,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","ARRDC2","Snyder__Ureteral__PD-(L)1",-0.243,0.459,18,0.596187561675977,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","AREG","Snyder__Ureteral__PD-(L)1",0.7,0.6,18,0.242971951432403,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CD69","Snyder__Ureteral__PD-(L)1",0.518,0.508,18,0.307872136946735,"Ureteral","PD-(L)1",0.994149946122005
"R vs NR","CD83","Snyder__Ureteral__PD-(L)1",-0.157,0.445,18,0.724452105885164,"Ureteral","PD-(L)1",0.994149946122005
