"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"R vs NR","ITGAL","Van__Allen__Melanoma",-0.643,0.468,39,0.169361486552011,"Allen","Melanoma",0.726881249626486
"R vs NR","RGPD5","Van__Allen__Melanoma",0.825,0.454,39,0.0693102727269708,"Allen","Melanoma",0.726881249626486
"R vs NR","HERPUD1","Van__Allen__Melanoma",-0.515,0.402,39,0.199602380496967,"Allen","Melanoma",0.726881249626486
"R vs NR","USP36","Van__Allen__Melanoma",-0.111,0.433,39,0.798285555650244,"Allen","Melanoma",0.888657505346498
"R vs NR","SLC2A3","Van__Allen__Melanoma",-0.348,0.463,39,0.452137230004171,"Allen","Melanoma",0.762174187721316
"R vs NR","PTPRC","Van__Allen__Melanoma",-0.503,0.458,39,0.27240162166034,"Allen","Melanoma",0.726881249626486
"R vs NR","DNAJA1","Van__Allen__Melanoma",-0.35,0.39,39,0.369302115300246,"Allen","Melanoma",0.762174187721316
"R vs NR","EZR","Van__Allen__Melanoma",-0.171,0.462,39,0.710897650032432,"Allen","Melanoma",0.846752809416991
"R vs NR","CREM","Van__Allen__Melanoma",-0.245,0.365,39,0.502291340870248,"Allen","Melanoma",0.792151940520011
"R vs NR","SMCHD1","Van__Allen__Melanoma",-0.062,0.417,39,0.881610173705649,"Allen","Melanoma",0.912543864011111
"R vs NR","ALG13","Van__Allen__Melanoma",-0.592,0.451,39,0.188895960918588,"Allen","Melanoma",0.726881249626486
"R vs NR","CD276","Van__Allen__Melanoma",-0.27,0.439,39,0.538496756989754,"Allen","Melanoma",0.792151940520011
"R vs NR","ARRDC2","Van__Allen__Melanoma",-0.351,0.443,39,0.428517311454666,"Allen","Melanoma",0.762174187721316
"R vs NR","STAT1","Van__Allen__Melanoma",-0.58,0.427,39,0.17421928552689,"Allen","Melanoma",0.726881249626486
"R vs NR","PRDM2","Van__Allen__Melanoma",-0.31,0.409,39,0.448250776718073,"Allen","Melanoma",0.762174187721316
"R vs NR","NR4A3","Van__Allen__Melanoma",-0.637,0.413,39,0.123647238704804,"Allen","Melanoma",0.726881249626486
"R vs NR","YPEL5","Van__Allen__Melanoma",-0.011,0.381,39,0.976449314916014,"Allen","Melanoma",0.976449314916014
"R vs NR","HSPH1","Van__Allen__Melanoma",-0.436,0.411,39,0.289421477762101,"Allen","Melanoma",0.726881249626486
"R vs NR","CXCR4","Van__Allen__Melanoma",-0.439,0.492,39,0.372311693713271,"Allen","Melanoma",0.762174187721316
