Gene,coef.FL,se.FL,Pval.FL,Coef.fixed,SE.fixed,CI_lower.fixed,CI_upper.fixed,Pval.fixed,Coef,SE,CI_lower,CI_upper,Pval,I2,Q_Pval,FDR,FDR.fixed
ITGAL,-0.2303866739395032,0.07542061615980336,0.002252925431747158,-0.185919715724703,0.0896432114532986,-0.361617181631677,-0.0102222498177297,0.0380796266710639,-0.211953527829872,0.101612894060648,-0.411111140553626,-0.0127959151061181,0.0369884026529325,0.153019014984288,0.27059922002306,0.173803993431469,0.166417665307983
PTPRC,-0.23821801928175404,0.07498022746512403,0.0014876710013548896,-0.221135875993231,0.0866228909121202,-0.390913622417729,-0.0513581295687338,0.0106843272534418,-0.235624007968182,0.0932296263919986,-0.418350717988624,-0.0528972979477398,0.0114926513765733,0.0657209796579239,0.375606508013578,0.111087333171149,0.0971302477585622
LAG3,-0.2769147942889717,0.07629331019198708,0.0002838521645797485,-0.173068624177384,0.0993324282062542,-0.367756605958553,0.0216193576037846,0.0814529096009598,-0.24116311398421,0.149676314520815,-0.534523299783697,0.0521970718152779,0.107129389194428,0.474510098013858,0.0291524371229444,0.290893159994209,0.228725742548437
GZMB,-0.3024099217795205,0.07845695883652778,0.00011598104046900998,-0.157659509603661,0.100494935612144,-0.354625964032134,0.0393069448248124,0.116687463850472,-0.228626229287182,0.146552915565872,-0.51586466562563,0.058612207051266,0.11875394573613,0.394802088105935,0.0775884474673594,0.312510383516131,0.291718659626181
STAT1,-0.2964488666051472,0.07391169680402951,6.05000636809549e-05,-0.255536585701112,0.0830399302712716,-0.418291858311521,-0.0927813130907021,0.0020890345661349,-0.320105466983724,0.114631027203768,-0.544778151813939,-0.095432782153508,0.0052304831994202,0.385951981415647,0.040966212050458,0.0937881853942561,0.0395288861484481
CD274,-0.22910402737887642,0.07532924234094647,0.0023550496818371862,-0.295415946609263,0.101066210148744,-0.493502078554757,-0.0973298146637685,0.0034668296832845,-0.295418672159908,0.101068242893201,-0.493508788211328,-0.0973285561084882,0.0034671840056248,0.274911635220554,0.147126832393002,0.0937881853942561,0.0495261383326359
IDO1,-0.3285873148350409,0.07739395699380902,2.1796489107423738e-05,-0.212216268399832,0.0981829164388714,-0.404651248517125,-0.019781288282538,0.030661535654746,-0.209972327262627,0.102408466999864,-0.410689234294319,-0.0092554202309361,0.0403311199810047,0.297264154726917,0.132615430656489,0.173803993431469,0.148622017005193
CXCL9,-0.3286615470787138,0.07645487278226731,1.7175229937500522e-05,-0.227143474821543,0.113993512276993,-0.450566653355673,-0.0037202962874121,0.04630526302558,-0.33407660848465,0.163083649165562,-0.653714687316518,-0.0144385296527826,0.0405111802468723,0.424243479684433,0.0419537936321034,0.173803993431469,0.166417665307983
GZMA,-0.2767175670659352,0.07598893335874739,0.0002710005516580361,-0.226177259667586,0.0955660009409299,-0.413483179658329,-0.0388713396768419,0.0179468627294848,-0.242008077907979,0.115663850514131,-0.4687050592289,-0.0153110965870585,0.0364081297627884,0.232262695830709,0.190383497038274,0.173803993431469,0.11216789205928
IL2RG,-0.22700941360467247,0.0753400789096114,0.0025856856183447963,-0.187426214012888,0.0907022469615865,-0.365199351374455,-0.009653076651321,0.0387916715737366,-0.187431917477166,0.0907058857478475,-0.365212186728753,-0.0096516482255802,0.0387935601865525,0.148963911133628,0.279138259477072,0.173803993431469,0.166417665307983
CD8A,-0.30649068196379226,0.07604831034883242,5.572697792899762e-05,-0.294515719617968,0.0950417144745998,-0.480794057017123,-0.108237382218814,0.0019430300097112,-0.320083406504853,0.113516909935209,-0.54257246161414,-0.0975943513955667,0.0048068861860963,0.240665631604217,0.175794245862574,0.0937881853942561,0.0395288861484481
CCR5,-0.28512682908546166,0.07774899547203873,0.0002451505599562372,-0.228128647081444,0.0995915072171928,-0.423324414393202,-0.0329328797696848,0.0219840359716649,-0.261370158316972,0.121305215026965,-0.499124010906711,-0.0236163057272329,0.0311893127783564,0.209324543314048,0.215045509336201,0.173803993431469,0.129317858656852
