Gene,coef.FL,se.FL,Pval.FL,Cancer_type,Coef.fixed,SE.fixed,CI_lower.fixed,CI_upper.fixed,Pval.fixed,Coef,SE,CI_lower,CI_upper,Pval,I2,Q_Pval,FDR,FDR.fixed
ITGAL,0.013426467420034114,0.14847195743253955,0.927944724038071,Kidney,0.0237046561987204,0.149833175594279,-0.269962971655331,0.317372284052772,0.874293693345305,0.0237046561987204,0.149833175594279,-0.269962971655331,0.317372284052772,0.874293693345305,0.0,0.767329179053223,0.988412804302764,0.988412804302764
HERPUD1,0.008048382076414723,0.14851562444879,0.9567820691002774,Kidney,0.0961855962435658,0.161975103996598,-0.221279773981896,0.413650966469028,0.552626151031133,0.0961855962505779,0.161975120787689,-0.221279806884817,0.413650999385973,0.552626192179588,0.0543876554693395,0.3657791863895,0.988412804302764,0.988412804302764
USP36,-0.03937620899104943,0.14876084725996974,0.7912446547263954,Kidney,-0.0410539549796103,0.157667297781102,-0.350076180170321,0.267968270211101,0.794568007619045,-0.0410539549796103,0.157667297781102,-0.350076180170321,0.267968270211101,0.794568007619045,0.0,0.651612959905078,0.988412804302764,0.988412804302764
SLC2A3,-0.07969101933390106,0.15067927314497562,0.5968897771899118,Kidney,-0.0746617823145294,0.156927677934958,-0.382234379244548,0.232910814615489,0.634236878267469,-0.0746617823145294,0.156927677934958,-0.382234379244548,0.232910814615489,0.634236878267469,0.0,0.644309868139884,0.988412804302764,0.988412804302764
PTPRC,-0.017119125541584068,0.14870931754278988,0.9083515591061723,Kidney,-0.0048772879524329,0.152447095934401,-0.303668105531581,0.293913529626715,0.9744773820724,-0.0048772879524329,0.152447095934401,-0.303668105531581,0.293913529626715,0.9744773820724,0.0,0.66121094995313,0.988412804302764,0.988412804302764
DNAJA1,0.004225187046238859,0.14852274989860978,0.9773047775391808,Kidney,0.0110113868262148,0.155644544232588,-0.294046314259809,0.316069087912238,0.943599102399976,0.0110113868262148,0.155644544232588,-0.294046314259809,0.316069087912238,0.943599102399976,0.0,0.467650765950615,0.988412804302764,0.988412804302764
LAG3,0.1419823131695958,0.14568857417865586,0.3297783714212,Kidney,0.145383533608078,0.151564478144771,-0.151677384891282,0.442444452107438,0.337448409322278,0.145383533608078,0.151564478144771,-0.151677384891282,0.442444452107438,0.337448409322278,0.0,0.935474766230974,0.988412804302764,0.988412804302764
EZR,0.04232337268732677,0.14837378274810645,0.7754539011397088,Kidney,0.0616187388262911,0.155259062724735,-0.242683432387635,0.365920910040217,0.691458223645112,0.061615727388265,0.155262179944003,-0.242692553463157,0.365924008239687,0.691478403519688,0.175290460329171,0.303343972968186,0.988412804302764,0.988412804302764
CREM,0.14101160843607388,0.14996105137421345,0.3470526483394638,Kidney,0.146000908984469,0.156415790628437,-0.160568407260625,0.452570225229562,0.350605528164591,0.146000908984469,0.156415790628437,-0.160568407260625,0.452570225229562,0.350605528164591,0.0,0.804445615940314,0.988412804302764,0.988412804302764
GZMB,0.07962926530638656,0.14601856774764027,0.5855220548506842,Kidney,0.134397551825849,0.150311859217779,-0.160208278690253,0.429003382341951,0.371255154464155,0.134396408830942,0.150322729957607,-0.160230727943708,0.429023545605591,0.371293815241949,0.0629323971975168,0.343984436418064,0.988412804302764,0.988412804302764
SMCHD1,-0.0177338462528061,0.14869801057682458,0.9050687252605084,Kidney,-0.0091956433675633,0.164160486079764,-0.33094428376849,0.312552997033364,0.95532891747543,-0.0091957170520073,0.164168853218569,-0.330960756743645,0.31256932263963,0.955330834275563,0.428207438282206,0.154601365312723,0.988412804302764,0.988412804302764
ALG13,0.20299331441053767,0.15054040784208336,0.17751988067093566,Kidney,0.194782250642047,0.152742637950017,-0.104587818643627,0.494152319927722,0.202227251680766,0.194782250642047,0.152742637950017,-0.104587818643627,0.494152319927722,0.202227251680766,0.0,0.518025229456119,0.988412804302764,0.988412804302764
CD276,0.297971915882411,0.14959051883031096,0.04638015191218577,Kidney,0.284264660522005,0.155753427711961,-0.0210064482621016,0.589535769306111,0.0679868317897531,0.338996476166521,0.245339815881442,-0.141860726934792,0.819853679267834,0.167050747787542,0.422897779073694,0.157833554357225,0.988412804302764,0.929153367793292
ARRDC2,-0.0703634378381539,0.14892986548892018,0.6365983254348349,Kidney,-0.0627717999773103,0.150124824725616,-0.357011049624906,0.231467449670285,0.67585155074157,-0.0627717999773103,0.150124824725616,-0.357011049624906,0.231467449670285,0.67585155074157,0.0,0.877537835970197,0.988412804302764,0.988412804302764
AREG,-0.47810314835835593,0.17538668225166942,0.006410804757639991,Kidney,-0.403712047188427,0.202387078282767,-0.800383431558938,-0.0070406628179154,0.046069925166077,-0.346709969077103,0.333386516452905,-1.00013553425607,0.30671559610186,0.298356634887368,0.522980624548011,0.122904099547562,0.988412804302764,0.888864578368125
CD69,-0.12278045396021253,0.15620265791248492,0.4318481162174902,Kidney,-0.0777651523579077,0.178270567440671,-0.427169044045142,0.271638739329326,0.662677259158103,0.0178224190598214,0.265545543377257,-0.502637282214722,0.538282120334365,0.946489163478812,0.38417627040104,0.197139970805124,0.988412804302764,0.988412804302764
CD83,-0.11083800673764582,0.1552739096327937,0.47533695919597585,Kidney,-0.10302878456821,0.161048041823181,-0.418677146322345,0.212619577185925,0.522342008021212,-0.10302878456821,0.161048041823181,-0.418677146322345,0.212619577185925,0.522342008021212,0.0,0.862739715441055,0.988412804302764,0.988412804302764
STAT1,0.05710612353918415,0.14870337703644662,0.7009583772498122,Kidney,0.0876619527672886,0.15589670806393,-0.217889980346368,0.393213885880945,0.573906246987945,0.0876603157408505,0.155898478326045,-0.217895087022796,0.393215718504497,0.573917749746618,0.0,0.531960883837862,0.988412804302764,0.988412804302764
