Gene,coef.FL,se.FL,Pval.FL,Treatment,Coef.fixed,SE.fixed,CI_lower.fixed,CI_upper.fixed,Pval.fixed,Coef,SE,CI_lower,CI_upper,Pval,I2,Q_Pval,FDR,FDR.fixed
ITGAL,-0.16417240197572094,0.08018821436011687,0.040624880460401934,PD-(L)1,-0.120999746459302,0.0971160846948119,-0.311343774780675,0.069344281862071,0.212790461654807,-0.123950173857056,0.0992371545847232,-0.318451422771348,0.0705510750572351,0.211654135809095,0.0,0.458303384301729,0.542702912331013,0.54561656834566
PTPRC,-0.17780214185859836,0.08000333310703608,0.026253977706012243,PD-(L)1,-0.159909005108413,0.0941393687827318,-0.344418777449901,0.0246007672330759,0.0893868191472077,-0.159911903142728,0.0941413284717484,-0.34442551640411,0.0246017101186542,0.0893876818442428,0.0497784822885156,0.396685386160178,0.325484088007549,0.343795458258491
LAG3,-0.23997539342676663,0.08120545255949345,0.0031250334071594357,PD-(L)1,-0.193898184768118,0.103689214764007,-0.39712531129081,0.0093289417545734,0.0614846841504775,-0.301441912564412,0.171199127849664,-0.636986037334422,0.0341022122055979,0.0782777110781602,0.532808440649698,0.018443040725095,0.325484088007549,0.297034234641495
GZMB,-0.23885930543387787,0.08239992039504984,0.003746167192733925,PD-(L)1,-0.112971479988742,0.105469510262421,-0.319687921570165,0.0937449615926805,0.284111306992676,-0.164850341705235,0.167659427095972,-0.493456780481959,0.16375609707149,0.325486730318711,0.499431781565688,0.0426408099690628,0.635742314326831,0.604492142537609
CD276,0.14660922897601164,0.07678437669785701,0.05621531205125427,PD-(L)1,0.176507133425958,0.0838137201166047,0.0122352605870926,0.340779006264823,0.0352090797662177,0.176507133425958,0.0838137201166047,0.0122352605870926,0.340779006264823,0.0352090797662177,0.0,0.568382921644228,0.325484088007549,0.270839075124751
NKG7,-0.3129951488242498,0.08462818254782646,0.00021689940111494288,PD-(L)1,-0.182842847647893,0.138466691873685,-0.454232576778722,0.088546881482935,0.186673964926918,-0.182842888559794,0.138466801041952,-0.454232831656493,0.088547054536906,0.186674213709942,0.288669069505233,0.197781560244082,0.504524901918761,0.50452422953221
CD69,-0.15352911515037226,0.07930273455841554,0.05286921289539443,PD-(L)1,-0.0057787575823952,0.107495702025128,-0.216466462044495,0.204908946879705,0.957127945321193,-0.0097193406216618,0.130877011513445,-0.266233569592248,0.246794888348924,0.940800989051693,0.245965074889254,0.216953607320175,0.985014115444418,0.969626149415927
CD83,-0.19890284896489777,0.08132939643530168,0.01445932085113336,PD-(L)1,-0.221397483397691,0.0987803273200434,-0.415003367326054,-0.0277915994693285,0.0250059046924064,-0.221397483397691,0.0987803273200434,-0.415003367326054,-0.0277915994693285,0.0250059046924064,0.0,0.712717787599972,0.325484088007549,0.252211741554173
STAT1,-0.2729107931088116,0.07974040387431602,0.0006205021348153002,PD-(L)1,-0.21774959712696,0.0906111391443397,-0.395344166448014,-0.0401550278059071,0.0162557753515286,-0.302409120160258,0.137650464722395,-0.572199073471353,-0.0326191668491632,0.0280250905980605,0.46994050437912,0.0229321278016414,0.325484088007549,0.203197191894108
CD274,-0.24748866257881316,0.08133138439557744,0.002342585587680377,PD-(L)1,-0.300225928561261,0.106659295272812,-0.509274305912396,-0.0911775512101255,0.0048805684637898,-0.300226902173695,0.106660013386979,-0.509276687002734,-0.0911771173446569,0.0048807176419565,0.389016589971233,0.0742001467236448,0.292980725508517,0.146490362754259
LY9,-0.20796980672733203,0.07988875822164909,0.009234662237803752,PD-(L)1,-0.185624173779413,0.100230387386003,-0.382072123212477,0.0108237756536518,0.0640294099117038,-0.185625174190546,0.10023197080944,-0.382076227076518,0.0108258786954254,0.0640321780367002,0.0,0.49709754211562,0.325484088007549,0.297034234641495
IDO1,-0.30012509668722764,0.0828480542305557,0.00029166025345041187,PD-(L)1,-0.219855299611004,0.101848696786118,-0.419475077184136,-0.0202355220378722,0.0308776276453509,-0.214825252052397,0.126791531650852,-0.463332087632738,0.0336815835279435,0.0902047555267041,0.371038786521997,0.0942162227488116,0.325484088007549,0.262208752147424
CXCL9,-0.3035535422983472,0.08206050992630194,0.00021632888867765504,PD-(L)1,-0.182417228573437,0.126305724252772,-0.429971899150118,0.0651374420032441,0.148668250044589,-0.328825010977907,0.19208985928771,-0.705314216977186,0.0476641950213718,0.086928167608021,0.446304418858646,0.0539521982173919,0.325484088007549,0.424766428698827
