"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"OS","TSPAN6","__NA__NA",0.0452507956472319,0.124299051170413,125,0.715822318404252,NA,NA
"OS","TNMD","__NA__NA",0.00397270688179734,0.11831467963072,125,0.973214093351206,NA,NA
"OS","DPM1","__NA__NA",0.0241738742165448,0.11577267120535,125,0.834600726840048,NA,NA
"OS","SCYL3","__NA__NA",-0.0365742340399063,0.110135802756109,125,0.739826543589867,NA,NA
"OS","C1orf112","__NA__NA",0.0569042422897498,0.125427593745746,125,0.650057720229966,NA,NA
"OS","FGR","__NA__NA",-0.0986600241541616,0.124761214287601,125,0.429066062125832,NA,NA
"OS","CFH","__NA__NA",0.0695788798750037,0.13582677725659,125,0.608467742434946,NA,NA
"OS","FUCA2","__NA__NA",0.0388118706167363,0.120543997400268,125,0.747473412181679,NA,NA
"OS","GCLC","__NA__NA",0.0867688927136573,0.118848863565369,125,0.465342754427204,NA,NA
"OS","NFYA","__NA__NA",0.00511141480218286,0.110450388607227,125,0.963088733738501,NA,NA
"OS","STPG1","__NA__NA",0.0561988993600942,0.128271910133256,125,0.661296979559123,NA,NA
"OS","NIPAL3","__NA__NA",-0.0436918344440826,0.0984340446902269,125,0.657137199527452,NA,NA
"OS","LAS1L","__NA__NA",0.0492757395903124,0.126396224475273,125,0.69664646521808,NA,NA
"OS","ENPP4","__NA__NA",-0.0480790858918524,0.099778529427096,125,0.629906800666701,NA,NA
"OS","SEMA3F","__NA__NA",0.156440063051159,0.140950832428977,125,0.267045990963815,NA,NA
"OS","CFTR","__NA__NA",0.223346321890981,0.133377252303665,125,0.0940233748823635,NA,NA
"OS","ANKIB1","__NA__NA",-0.1436023898665,0.116788397811065,125,0.218848932086325,NA,NA
"OS","CYP51A1","__NA__NA",0.078421711288393,0.125579754572428,125,0.532314146319317,NA,NA
"OS","KRIT1","__NA__NA",-0.172365537183636,0.108486797774265,125,0.112101987596126,NA,NA
"OS","RAD52","__NA__NA",0.0812919720123891,0.127018139733684,125,0.522170743558066,NA,NA
"OS","BAD","__NA__NA",-0.0590565236224142,0.105774592233665,125,0.576622964435991,NA,NA
"OS","LAP3","__NA__NA",-0.0226148785326607,0.0899686546514028,125,0.801532718575466,NA,NA
"OS","CD99","__NA__NA",0.0404706254751609,0.105193566894591,125,0.700440956416529,NA,NA
"OS","HS3ST1","__NA__NA",-0.0502575344420284,0.12046617461249,125,0.67653791480284,NA,NA
"OS","AOC1","__NA__NA",0.0575129581347313,0.1206259086377,125,0.63351325451757,NA,NA
"OS","WNT16","__NA__NA",-0.104937286358737,0.117475267827116,125,0.371711898280987,NA,NA
"OS","HECW1","__NA__NA",-0.141344053251915,0.118079360913966,125,0.231296459894349,NA,NA
"OS","MAD1L1","__NA__NA",-0.0809721276968744,0.0997181865923863,125,0.416786106348502,NA,NA
"OS","LASP1","__NA__NA",0.0875835561025386,0.137362255381626,125,0.523727544429732,NA,NA
"OS","SNX11","__NA__NA",0.0850235477883341,0.130538275236701,125,0.51483322470275,NA,NA
"OS","TMEM176A","__NA__NA",-0.10320479687468,0.105473175807859,125,0.327830398683863,NA,NA
"OS","M6PR","__NA__NA",-0.0727251226019225,0.11179141318351,125,0.515341528055668,NA,NA
"OS","KLHL13","__NA__NA",-0.101891547438513,0.123517791181213,125,0.409420453125467,NA,NA
"OS","CYP26B1","__NA__NA",-0.0937037629283471,0.115903244179029,125,0.418822715112362,NA,NA
"OS","ICA1","__NA__NA",-0.0759236796361721,0.104600739055874,125,0.467935225726366,NA,NA
"OS","DBNDD1","__NA__NA",0.0987012750327004,0.126033750217967,125,0.433548613067024,NA,NA
"OS","ALS2","__NA__NA",-0.00488964304547293,0.11673885102047,125,0.96659012648695,NA,NA
"OS","CASP10","__NA__NA",-0.0266604922932983,0.112998297695136,125,0.813481467955918,NA,NA
"OS","CFLAR","__NA__NA",-0.243908937383535,0.102578600452874,125,0.0174174014560926,NA,NA
"OS","TFPI","__NA__NA",0.00880528439715213,0.116689465612943,125,0.939849422218098,NA,NA
"OS","NDUFAF7","__NA__NA",-0.0900749366141551,0.0974580621046874,125,0.355359786038413,NA,NA
"OS","RBM5","__NA__NA",-0.137630239420312,0.105184304806069,125,0.190714806839161,NA,NA
"OS","MTMR7","__NA__NA",-0.0722116843576449,0.10657625923678,125,0.498051464119575,NA,NA
"OS","SLC7A2","__NA__NA",0.200964957633729,0.136241183014202,125,0.140194364615229,NA,NA
"OS","ARF5","__NA__NA",0.00794554745876614,0.119578416660299,125,0.947022482178773,NA,NA
"OS","SARM1","__NA__NA",-0.0648178043165396,0.0953907483709273,125,0.496822496741809,NA,NA
"OS","POLDIP2","__NA__NA",0.0274260488605992,0.131111994701359,125,0.83430747582619,NA,NA
"OS","PLXND1","__NA__NA",-0.149776810162053,0.137470611350985,125,0.275925186152937,NA,NA
"OS","AK2","__NA__NA",0.269090690159694,0.193862886399853,125,0.165122902968467,NA,NA
"OS","CD38","__NA__NA",-0.0182384949603471,0.117080542423099,125,0.876208536006811,NA,NA
"OS","FKBP4","__NA__NA",0.290137284845936,0.199155499661976,125,0.145161124447444,NA,NA
"OS","KDM1A","__NA__NA",-0.0536574906892205,0.0960199122036708,125,0.576287106739541,NA,NA
"OS","RBM6","__NA__NA",-0.126567127567568,0.0999319583668205,125,0.205322306269787,NA,NA
"OS","CAMKK1","__NA__NA",0.0102518596961541,0.108564247085866,125,0.924766577153932,NA,NA
"OS","RECQL","__NA__NA",-0.0216650559812108,0.115164248017577,125,0.850780148875182,NA,NA
"OS","CCDC132","__NA__NA",-0.0191862847234982,0.105374612995637,125,0.855522363049861,NA,NA
"OS","HSPB6","__NA__NA",0.0967765770769514,0.123337955817463,125,0.432661420896678,NA,NA
"OS","ARHGAP33","__NA__NA",0.00544357239249748,0.10560225520207,125,0.958888949712583,NA,NA
"OS","NDUFAB1","__NA__NA",0.0385252405865467,0.117593241811741,125,0.743203224827835,NA,NA
"OS","PDK4","__NA__NA",-0.0538663832277852,0.108527915018232,125,0.619656903064212,NA,NA
"OS","SLC22A16","__NA__NA",-0.0203364604743573,0.116697298281017,125,0.861655818467528,NA,NA
"OS","ZMYND10","__NA__NA",0.0611634339501436,0.130200907741628,125,0.638525093068131,NA,NA
"OS","ABCB5","__NA__NA",0.130501872506592,0.124863943679351,125,0.295952457333917,NA,NA
"OS","ARX","__NA__NA",-0.0464132404224413,0.124912787378833,125,0.710216629490914,NA,NA
"OS","SLC25A13","__NA__NA",0.0192040197553695,0.126553817064543,125,0.879387372786717,NA,NA
"OS","ST7","__NA__NA",0.0183850451732222,0.116788415622387,125,0.874912416417683,NA,NA
"OS","CDC27","__NA__NA",0.131870266604601,0.115548138254154,125,0.253762468512789,NA,NA
"OS","SLC4A1","__NA__NA",0.0824339059180978,0.134405277716054,125,0.539662504178648,NA,NA
"OS","CALCR","__NA__NA",-0.0935101322150928,0.112462838188626,125,0.405704874360202,NA,NA
"OS","HCCS","__NA__NA",0.00675934893171267,0.122407166699906,125,0.955963031625263,NA,NA
"OS","DVL2","__NA__NA",0.0646403666061234,0.126811836417741,125,0.610237487244005,NA,NA
"OS","PRSS22","__NA__NA",0.0911131154454049,0.125994447413635,125,0.469586608218353,NA,NA
"OS","UPF1","__NA__NA",0.0762612210200539,0.126597027308411,125,0.546912263817063,NA,NA
"OS","SKAP2","__NA__NA",-0.00848785601199191,0.107849975373535,125,0.937270781210763,NA,NA
"OS","SLC25A5","__NA__NA",-0.0524112548015216,0.114489371911499,125,0.647108559688564,NA,NA
"OS","CCDC109B","__NA__NA",-0.109502575267454,0.0991578990437731,125,0.269452057659046,NA,NA
"OS","HOXA11","__NA__NA",-0.00756802286883973,0.122344584066613,125,0.950675708946511,NA,NA
"OS","POLR2J","__NA__NA",0.117765354107176,0.144159946216568,125,0.413981240495689,NA,NA
"OS","DHX33","__NA__NA",-0.00373527842378491,0.121716640944088,125,0.975518111326676,NA,NA
"OS","MEOX1","__NA__NA",-0.203726381532419,0.11909224502503,125,0.087143831234986,NA,NA
"OS","THSD7A","__NA__NA",0.0309996773993761,0.121502557454015,125,0.798618054297344,NA,NA
"OS","LIG3","__NA__NA",-0.0929922264307176,0.109969041221599,125,0.397763720402224,NA,NA
"OS","RPAP3","__NA__NA",0.0110673102723375,0.106846861202115,125,0.917501825184251,NA,NA
"OS","ACSM3","__NA__NA",-0.0550263705995713,0.110871725336795,125,0.619678100527799,NA,NA
"OS","AC004381.6","__NA__NA",-0.0201026967713414,0.118848720850869,125,0.865682392183722,NA,NA
"OS","CIAPIN1","__NA__NA",-0.0895334468227245,0.104241911967669,125,0.390395326142175,NA,NA
"OS","FAM214B","__NA__NA",-0.0143363030372036,0.10061074646507,125,0.886690797014746,NA,NA
"OS","COPZ2","__NA__NA",0.0419012841331434,0.118775297966307,125,0.724255054496235,NA,NA
"OS","PRKAR2B","__NA__NA",0.111318853005593,0.135470741618553,125,0.411236966225652,NA,NA
"OS","MSL3","__NA__NA",-0.0588964664902116,0.102240979358118,125,0.564577747880925,NA,NA
"OS","CREBBP","__NA__NA",0.0128534011417328,0.103244280225733,125,0.900923324688807,NA,NA
"OS","BZRAP1","__NA__NA",-0.212484097657314,0.0934919286166356,125,0.0230410453113588,NA,NA
"OS","MPO","__NA__NA",-0.0341510344963049,0.123225460944548,125,0.781670550885365,NA,NA
"OS","PON1","__NA__NA",0.0862045578270065,0.130360620851287,125,0.508434307207425,NA,NA
"OS","GCFC2","__NA__NA",0.0316956106465731,0.108962420441472,125,0.771138733460091,NA,NA
"OS","WDR54","__NA__NA",0.195302881281632,0.151341163879523,125,0.19688373944836,NA,NA
"OS","CROT","__NA__NA",0.00628523793811328,0.110651818815152,125,0.954702968791507,NA,NA
"OS","ABCB4","__NA__NA",-0.00825956266380365,0.115337679010994,125,0.942910684495459,NA,NA
"OS","KMT2E","__NA__NA",0.0191738317216516,0.107425988811148,125,0.858342801280921,NA,NA
"OS","RHBDD2","__NA__NA",0.0196093442321541,0.111960209636665,125,0.860965185298649,NA,NA
