"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"R vs NR","TSPAN6","ICB_Ravi__Lung__PD-L1",0.004,0.184,107,0.981607756401884,"Lung","PD-L1"
"R vs NR","TNMD","ICB_Ravi__Lung__PD-L1",-0.004,0.197,107,0.982013337549506,"Lung","PD-L1"
"R vs NR","DPM1","ICB_Ravi__Lung__PD-L1",-0.091,0.235,107,0.698719091314495,"Lung","PD-L1"
"R vs NR","SCYL3","ICB_Ravi__Lung__PD-L1",-0.226,0.249,107,0.364244461035418,"Lung","PD-L1"
"R vs NR","C1orf112","ICB_Ravi__Lung__PD-L1",-0.126,0.235,107,0.591752120907678,"Lung","PD-L1"
"R vs NR","FGR","ICB_Ravi__Lung__PD-L1",0.067,0.207,107,0.746076694527194,"Lung","PD-L1"
"R vs NR","CFH","ICB_Ravi__Lung__PD-L1",-0.015,0.22,107,0.945427251801121,"Lung","PD-L1"
"R vs NR","FUCA2","ICB_Ravi__Lung__PD-L1",-0.083,0.229,107,0.717138668425582,"Lung","PD-L1"
"R vs NR","GCLC","ICB_Ravi__Lung__PD-L1",0.054,0.246,107,0.8267077354615,"Lung","PD-L1"
"R vs NR","NFYA","ICB_Ravi__Lung__PD-L1",-0.095,0.225,107,0.673515836957952,"Lung","PD-L1"
"R vs NR","STPG1","ICB_Ravi__Lung__PD-L1",0.028,0.204,107,0.890457319386676,"Lung","PD-L1"
"R vs NR","NIPAL3","ICB_Ravi__Lung__PD-L1",-0.36,0.36,107,0.317129414127531,"Lung","PD-L1"
"R vs NR","LAS1L","ICB_Ravi__Lung__PD-L1",-0.099,0.237,107,0.675926521986724,"Lung","PD-L1"
"R vs NR","ENPP4","ICB_Ravi__Lung__PD-L1",-0.048,0.2,107,0.811703568806521,"Lung","PD-L1"
"R vs NR","SEMA3F","ICB_Ravi__Lung__PD-L1",0.282,0.251,107,0.261143667178881,"Lung","PD-L1"
"R vs NR","CFTR","ICB_Ravi__Lung__PD-L1",0.254,0.198,107,0.197866355107759,"Lung","PD-L1"
"R vs NR","ANKIB1","ICB_Ravi__Lung__PD-L1",-0.327,0.217,107,0.131141062254308,"Lung","PD-L1"
"R vs NR","CYP51A1","ICB_Ravi__Lung__PD-L1",-0.145,0.25,107,0.562658653905882,"Lung","PD-L1"
"R vs NR","KRIT1","ICB_Ravi__Lung__PD-L1",-0.586,0.395,107,0.138031811834446,"Lung","PD-L1"
"R vs NR","RAD52","ICB_Ravi__Lung__PD-L1",0.062,0.207,107,0.764358609978013,"Lung","PD-L1"
"R vs NR","BAD","ICB_Ravi__Lung__PD-L1",-0.556,0.455,107,0.221928130039068,"Lung","PD-L1"
"R vs NR","LAP3","ICB_Ravi__Lung__PD-L1",-0.615,0.387,107,0.112353216381139,"Lung","PD-L1"
"R vs NR","CD99","ICB_Ravi__Lung__PD-L1",0.168,0.217,107,0.438646338159238,"Lung","PD-L1"
"R vs NR","HS3ST1","ICB_Ravi__Lung__PD-L1",-0.093,0.203,107,0.645402941319228,"Lung","PD-L1"
"R vs NR","AOC1","ICB_Ravi__Lung__PD-L1",0.233,0.203,107,0.250962603444974,"Lung","PD-L1"
"R vs NR","WNT16","ICB_Ravi__Lung__PD-L1",-0.081,0.216,107,0.706879259545762,"Lung","PD-L1"
"R vs NR","HECW1","ICB_Ravi__Lung__PD-L1",-0.049,0.195,107,0.799712618824929,"Lung","PD-L1"
"R vs NR","MAD1L1","ICB_Ravi__Lung__PD-L1",-0.291,0.3,107,0.33127241843662,"Lung","PD-L1"
"R vs NR","LASP1","ICB_Ravi__Lung__PD-L1",0.007,0.357,107,0.983505300156542,"Lung","PD-L1"
"R vs NR","SNX11","ICB_Ravi__Lung__PD-L1",0.04,0.212,107,0.851399154883801,"Lung","PD-L1"
"R vs NR","TMEM176A","ICB_Ravi__Lung__PD-L1",0.058,0.182,107,0.751367270117489,"Lung","PD-L1"
"R vs NR","M6PR","ICB_Ravi__Lung__PD-L1",0.061,0.204,107,0.765908361463291,"Lung","PD-L1"
"R vs NR","KLHL13","ICB_Ravi__Lung__PD-L1",0.104,0.201,107,0.604255596194763,"Lung","PD-L1"
"R vs NR","CYP26B1","ICB_Ravi__Lung__PD-L1",0.02,0.208,107,0.925290699159774,"Lung","PD-L1"
"R vs NR","ICA1","ICB_Ravi__Lung__PD-L1",-0.62,0.352,107,0.0782117236847884,"Lung","PD-L1"
"R vs NR","DBNDD1","ICB_Ravi__Lung__PD-L1",0.219,0.198,107,0.268716078900774,"Lung","PD-L1"
"R vs NR","ALS2","ICB_Ravi__Lung__PD-L1",-0.135,0.223,107,0.544741996401572,"Lung","PD-L1"
"R vs NR","CASP10","ICB_Ravi__Lung__PD-L1",-0.184,0.262,107,0.483747932244783,"Lung","PD-L1"
"R vs NR","CFLAR","ICB_Ravi__Lung__PD-L1",-0.602,0.236,107,0.0108213222827643,"Lung","PD-L1"
"R vs NR","TFPI","ICB_Ravi__Lung__PD-L1",-0.129,0.217,107,0.551566816113435,"Lung","PD-L1"
"R vs NR","NDUFAF7","ICB_Ravi__Lung__PD-L1",-0.433,0.39,107,0.267739154304905,"Lung","PD-L1"
"R vs NR","RBM5","ICB_Ravi__Lung__PD-L1",-0.161,0.206,107,0.435423313575138,"Lung","PD-L1"
"R vs NR","MTMR7","ICB_Ravi__Lung__PD-L1",-0.233,0.233,107,0.317002364567523,"Lung","PD-L1"
"R vs NR","SLC7A2","ICB_Ravi__Lung__PD-L1",0.253,0.215,107,0.238979554588529,"Lung","PD-L1"
"R vs NR","ARF5","ICB_Ravi__Lung__PD-L1",-0.001,0.182,107,0.994581223656501,"Lung","PD-L1"
"R vs NR","SARM1","ICB_Ravi__Lung__PD-L1",-0.767,0.425,107,0.0715940624532942,"Lung","PD-L1"
"R vs NR","POLDIP2","ICB_Ravi__Lung__PD-L1",-0.056,0.254,107,0.826970050052509,"Lung","PD-L1"
"R vs NR","PLXND1","ICB_Ravi__Lung__PD-L1",0.048,0.201,107,0.810396895719815,"Lung","PD-L1"
"R vs NR","AK2","ICB_Ravi__Lung__PD-L1",0.132,0.211,107,0.530137197434,"Lung","PD-L1"
"R vs NR","CD38","ICB_Ravi__Lung__PD-L1",0.08,0.183,107,0.6623778159864,"Lung","PD-L1"
"R vs NR","FKBP4","ICB_Ravi__Lung__PD-L1",-0.01,0.189,107,0.95890056413948,"Lung","PD-L1"
"R vs NR","KDM1A","ICB_Ravi__Lung__PD-L1",-0.171,0.255,107,0.503290760033202,"Lung","PD-L1"
"R vs NR","RBM6","ICB_Ravi__Lung__PD-L1",-0.349,0.24,107,0.144854129992674,"Lung","PD-L1"
"R vs NR","CAMKK1","ICB_Ravi__Lung__PD-L1",0.03,0.209,107,0.88711272799982,"Lung","PD-L1"
"R vs NR","RECQL","ICB_Ravi__Lung__PD-L1",-0.338,0.391,107,0.387182371676055,"Lung","PD-L1"
"R vs NR","CCDC132","ICB_Ravi__Lung__PD-L1",-0.248,0.262,107,0.342486691667613,"Lung","PD-L1"
"R vs NR","HSPB6","ICB_Ravi__Lung__PD-L1",0.198,0.203,107,0.329647530331007,"Lung","PD-L1"
"R vs NR","ARHGAP33","ICB_Ravi__Lung__PD-L1",-0.003,0.277,107,0.992204842822243,"Lung","PD-L1"
"R vs NR","NDUFAB1","ICB_Ravi__Lung__PD-L1",-0.083,0.223,107,0.708909485473271,"Lung","PD-L1"
"R vs NR","PDK4","ICB_Ravi__Lung__PD-L1",-0.074,0.232,107,0.751753822112155,"Lung","PD-L1"
"R vs NR","SLC22A16","ICB_Ravi__Lung__PD-L1",0.242,0.206,107,0.24056256742967,"Lung","PD-L1"
"R vs NR","ZMYND10","ICB_Ravi__Lung__PD-L1",0.067,0.196,107,0.731395768348506,"Lung","PD-L1"
"R vs NR","ABCB5","ICB_Ravi__Lung__PD-L1",0.464,0.201,107,0.020929616323216,"Lung","PD-L1"
"R vs NR","ARX","ICB_Ravi__Lung__PD-L1",-0.14,0.197,107,0.476345911252118,"Lung","PD-L1"
"R vs NR","SLC25A13","ICB_Ravi__Lung__PD-L1",-0.104,0.258,107,0.684968319679826,"Lung","PD-L1"
"R vs NR","ST7","ICB_Ravi__Lung__PD-L1",-0.231,0.282,107,0.41137097294563,"Lung","PD-L1"
"R vs NR","CDC27","ICB_Ravi__Lung__PD-L1",0.094,0.203,107,0.641200470335175,"Lung","PD-L1"
"R vs NR","SLC4A1","ICB_Ravi__Lung__PD-L1",0.209,0.196,107,0.28594600719915,"Lung","PD-L1"
"R vs NR","CALCR","ICB_Ravi__Lung__PD-L1",-0.087,0.197,107,0.660939344292022,"Lung","PD-L1"
"R vs NR","HCCS","ICB_Ravi__Lung__PD-L1",-0.007,0.207,107,0.974536542797904,"Lung","PD-L1"
"R vs NR","DVL2","ICB_Ravi__Lung__PD-L1",-0.112,0.26,107,0.668308719430086,"Lung","PD-L1"
"R vs NR","PRSS22","ICB_Ravi__Lung__PD-L1",0.05,0.195,107,0.799794062184578,"Lung","PD-L1"
"R vs NR","UPF1","ICB_Ravi__Lung__PD-L1",0.093,0.242,107,0.70135911187387,"Lung","PD-L1"
"R vs NR","SKAP2","ICB_Ravi__Lung__PD-L1",-0.038,0.221,107,0.862943559739189,"Lung","PD-L1"
"R vs NR","SLC25A5","ICB_Ravi__Lung__PD-L1",-0.103,0.2,107,0.607127085521649,"Lung","PD-L1"
