"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"R vs NR","TSPAN6","__NA__NA",0.004,0.184,107,0.981607756401884,NA,NA
"R vs NR","TNMD","__NA__NA",-0.004,0.197,107,0.982013337549506,NA,NA
"R vs NR","DPM1","__NA__NA",-0.091,0.235,107,0.698719091314495,NA,NA
"R vs NR","SCYL3","__NA__NA",-0.226,0.249,107,0.364244461035418,NA,NA
"R vs NR","C1orf112","__NA__NA",-0.126,0.235,107,0.591752120907678,NA,NA
"R vs NR","FGR","__NA__NA",0.067,0.207,107,0.746076694527194,NA,NA
"R vs NR","CFH","__NA__NA",-0.015,0.22,107,0.945427251801121,NA,NA
"R vs NR","FUCA2","__NA__NA",-0.083,0.229,107,0.717138668425582,NA,NA
"R vs NR","GCLC","__NA__NA",0.054,0.246,107,0.8267077354615,NA,NA
"R vs NR","NFYA","__NA__NA",-0.095,0.225,107,0.673515836957952,NA,NA
"R vs NR","STPG1","__NA__NA",0.028,0.204,107,0.890457319386676,NA,NA
"R vs NR","NIPAL3","__NA__NA",-0.36,0.36,107,0.317129414127531,NA,NA
"R vs NR","LAS1L","__NA__NA",-0.099,0.237,107,0.675926521986724,NA,NA
"R vs NR","ENPP4","__NA__NA",-0.048,0.2,107,0.811703568806521,NA,NA
"R vs NR","SEMA3F","__NA__NA",0.282,0.251,107,0.261143667178881,NA,NA
"R vs NR","CFTR","__NA__NA",0.254,0.198,107,0.197866355107759,NA,NA
"R vs NR","ANKIB1","__NA__NA",-0.327,0.217,107,0.131141062254308,NA,NA
"R vs NR","CYP51A1","__NA__NA",-0.145,0.25,107,0.562658653905882,NA,NA
"R vs NR","KRIT1","__NA__NA",-0.586,0.395,107,0.138031811834446,NA,NA
"R vs NR","RAD52","__NA__NA",0.062,0.207,107,0.764358609978013,NA,NA
"R vs NR","BAD","__NA__NA",-0.556,0.455,107,0.221928130039068,NA,NA
"R vs NR","LAP3","__NA__NA",-0.615,0.387,107,0.112353216381139,NA,NA
"R vs NR","CD99","__NA__NA",0.168,0.217,107,0.438646338159238,NA,NA
"R vs NR","HS3ST1","__NA__NA",-0.093,0.203,107,0.645402941319228,NA,NA
"R vs NR","AOC1","__NA__NA",0.233,0.203,107,0.250962603444974,NA,NA
"R vs NR","WNT16","__NA__NA",-0.081,0.216,107,0.706879259545762,NA,NA
"R vs NR","HECW1","__NA__NA",-0.049,0.195,107,0.799712618824929,NA,NA
"R vs NR","MAD1L1","__NA__NA",-0.291,0.3,107,0.33127241843662,NA,NA
"R vs NR","LASP1","__NA__NA",0.007,0.357,107,0.983505300156542,NA,NA
"R vs NR","SNX11","__NA__NA",0.04,0.212,107,0.851399154883801,NA,NA
"R vs NR","TMEM176A","__NA__NA",0.058,0.182,107,0.751367270117489,NA,NA
"R vs NR","M6PR","__NA__NA",0.061,0.204,107,0.765908361463291,NA,NA
"R vs NR","KLHL13","__NA__NA",0.104,0.201,107,0.604255596194763,NA,NA
"R vs NR","CYP26B1","__NA__NA",0.02,0.208,107,0.925290699159774,NA,NA
"R vs NR","ICA1","__NA__NA",-0.62,0.352,107,0.0782117236847884,NA,NA
"R vs NR","DBNDD1","__NA__NA",0.219,0.198,107,0.268716078900774,NA,NA
"R vs NR","ALS2","__NA__NA",-0.135,0.223,107,0.544741996401572,NA,NA
"R vs NR","CASP10","__NA__NA",-0.184,0.262,107,0.483747932244783,NA,NA
"R vs NR","CFLAR","__NA__NA",-0.602,0.236,107,0.0108213222827643,NA,NA
"R vs NR","TFPI","__NA__NA",-0.129,0.217,107,0.551566816113435,NA,NA
"R vs NR","NDUFAF7","__NA__NA",-0.433,0.39,107,0.267739154304905,NA,NA
"R vs NR","RBM5","__NA__NA",-0.161,0.206,107,0.435423313575138,NA,NA
"R vs NR","MTMR7","__NA__NA",-0.233,0.233,107,0.317002364567523,NA,NA
"R vs NR","SLC7A2","__NA__NA",0.253,0.215,107,0.238979554588529,NA,NA
"R vs NR","ARF5","__NA__NA",-0.001,0.182,107,0.994581223656501,NA,NA
"R vs NR","SARM1","__NA__NA",-0.767,0.425,107,0.0715940624532942,NA,NA
"R vs NR","POLDIP2","__NA__NA",-0.056,0.254,107,0.826970050052509,NA,NA
"R vs NR","PLXND1","__NA__NA",0.048,0.201,107,0.810396895719815,NA,NA
"R vs NR","AK2","__NA__NA",0.132,0.211,107,0.530137197434,NA,NA
"R vs NR","CD38","__NA__NA",0.08,0.183,107,0.6623778159864,NA,NA
"R vs NR","FKBP4","__NA__NA",-0.01,0.189,107,0.95890056413948,NA,NA
"R vs NR","KDM1A","__NA__NA",-0.171,0.255,107,0.503290760033202,NA,NA
"R vs NR","RBM6","__NA__NA",-0.349,0.24,107,0.144854129992674,NA,NA
"R vs NR","CAMKK1","__NA__NA",0.03,0.209,107,0.88711272799982,NA,NA
"R vs NR","RECQL","__NA__NA",-0.338,0.391,107,0.387182371676055,NA,NA
"R vs NR","CCDC132","__NA__NA",-0.248,0.262,107,0.342486691667613,NA,NA
"R vs NR","HSPB6","__NA__NA",0.198,0.203,107,0.329647530331007,NA,NA
"R vs NR","ARHGAP33","__NA__NA",-0.003,0.277,107,0.992204842822243,NA,NA
"R vs NR","NDUFAB1","__NA__NA",-0.083,0.223,107,0.708909485473271,NA,NA
"R vs NR","PDK4","__NA__NA",-0.074,0.232,107,0.751753822112155,NA,NA
"R vs NR","SLC22A16","__NA__NA",0.242,0.206,107,0.24056256742967,NA,NA
"R vs NR","ZMYND10","__NA__NA",0.067,0.196,107,0.731395768348506,NA,NA
"R vs NR","ABCB5","__NA__NA",0.464,0.201,107,0.020929616323216,NA,NA
"R vs NR","ARX","__NA__NA",-0.14,0.197,107,0.476345911252118,NA,NA
"R vs NR","SLC25A13","__NA__NA",-0.104,0.258,107,0.684968319679826,NA,NA
"R vs NR","ST7","__NA__NA",-0.231,0.282,107,0.41137097294563,NA,NA
"R vs NR","CDC27","__NA__NA",0.094,0.203,107,0.641200470335175,NA,NA
"R vs NR","SLC4A1","__NA__NA",0.209,0.196,107,0.28594600719915,NA,NA
"R vs NR","CALCR","__NA__NA",-0.087,0.197,107,0.660939344292022,NA,NA
"R vs NR","HCCS","__NA__NA",-0.007,0.207,107,0.974536542797904,NA,NA
"R vs NR","DVL2","__NA__NA",-0.112,0.26,107,0.668308719430086,NA,NA
"R vs NR","PRSS22","__NA__NA",0.05,0.195,107,0.799794062184578,NA,NA
