"","Patient102","Patient105","Patient106","Patient107","Patient108","Patient112","Patient116","Patient125","Patient126","Patient127","Patient130","Patient131","Patient132","Patient133","Patient134","Patient135","Patient137","Patient140","Patient141","Patient142","Patient143","Patient144","Patient145","Patient146","Patient147","Patient148","Patient149","Patient14","Patient150","Patient154","Patient155","Patient156","Patient158","Patient165","Patient166","Patient167","Patient168","Patient169","Patient170","Patient172","Patient173","Patient179","Patient181","Patient183","Patient184","Patient185","Patient188","Patient18","Patient23","Patient36","Patient37","Patient40","Patient47","Patient48","Patient51","Patient67","Patient75","Patient77","Patient78","Patient79","Patient8","Patient96","Patient98","Patient99","Patient9","Patient191","Patient189","Patient200","Patient201","Patient193","Patient196","Patient197","Patient204","Patient205"
"COX-IS_Bonavita",0.865854759780347,0.174221101384572,-0.00489728655796978,-0.00180457568554037,-0.0225299940911362,-0.0349935423646783,0.229531894989904,-0.0490790707447025,-0.0297299245543037,0.252621491262909,-0.0269020986965046,-0.123760768040562,0.00394634875312142,0.0519937272336235,0.0177598914158918,0.0125699071525571,-0.025392835713377,-0.0843555692136882,-0.0643903295926593,0.493940423714822,0.034860505269598,-0.0993919001461043,0.0125454587507461,0.072033734072717,-0.211056001531329,-0.0537555820867437,0.0154020566148173,0.0720327969111654,4.13115325526282,-0.215092035142566,0.858291180761118,-0.129102004696028,-0.0285150139907653,0.12759070424575,-0.107360574797783,-0.0216320730466715,-0.148760860022423,-0.0285727286185585,0.00382775232518236,-0.0415148514619001,2.10696508036526,-0.0437156722263051,-0.0167342209954872,-0.126872492569578,-0.029949812430704,-0.0543633324065699,0.206292100965298,0.0279179373513512,-0.0941355677415164,-7.01066769313161,-0.00715747623612075,-0.00268475272406239,-0.133816931196717,-0.212740381158385,-0.102429975995708,-0.11620875023415,-0.047809361265986,-0.0134873833902855,0.00190857768858395,-0.00869675134751399,0.0362899556123151,-0.0426627885281176,-0.0175289747282487,0.0497217565319686,-0.105152509294219,0.0566666319801993,0.0322218940536023,-0.0401900043068202,-0.0710538162321666,-0.0325621748609662,-0.149107547457282,-0.0808760178723086,0.0119127493682368,0.153120335308345
"CYT_Davoli",-0.404306220095713,0.404298470858523,0.4954936770109,-0.439702740231633,0.276194996272668,0.65084564005367,-0.686004784689023,0.965311004784689,0.638755980861239,-0.163311433264296,0.622625259150211,-0.584810829892136,0.63576555023923,0.37879687553758,0.599706222255819,0.233600253528152,0.836722488038273,-0.599350237587423,-0.820685329060766,0.287652896529712,0.009569377990436,-0.172731403189098,0.0568395129595652,-0.412027394689955,-0.621378593821519,-0.417927323465607,0.532337742208588,0.33672248803827,-0.0451340256039838,-0.662081339712946,-0.496012194405691,-0.730313379879925,0.412713032720003,-0.209926350663755,-0.896531100478505,0.582318428219906,-0.483253588516764,0.60705741626794,0.132177033492821,0.536941486168987,-0.725478468899552,-0.481363612700508,0.604564305329659,0.610341611027854,-0.543167444424783,-0.185944693694055,-0.296388686173251,0.0424641148325376,-0.622009569378016,-0.0305023923444978,0.510708889448501,0.210130460225122,-0.555023923444999,0.491701541015907,-0.157543892614711,0.0845810556614635,0.692663597882827,0.707535885167462,-0.287293645652039,0.481442318895065,-0.172846889952162,0.0698466709580704,0.696936382070757,-0.120215311004787,-0.461722488038299,-0.101076555023926,0.091507177033488,0.745813397129184,-0.655291797405946,0.461946318401374,-0.583426034171786,-0.542736462535811,0.173552694205766,-0.461722488038298
"CYT_Rooney",-0.21392367322601,0.314251639833032,0.664245304975205,-0.122838401908182,0.0282673788308243,0.654646134887436,-0.683959451401299,0.971973762671437,0.706022659511028,0.0864639236732136,0.668455575432326,-0.887895050685717,0.677400119260583,0.251043530113292,0.603039084737967,-0.0405485986881379,0.824686940966009,-0.631484794275476,-0.824686940965988,-0.0852713178294756,0.187835420393553,-0.579539845657643,0.281454979129393,-0.306499701848548,-0.618962432915908,-0.48165521785584,0.438089354476822,0.224209898628496,-0.0363744782349469,-0.740608228980298,-0.220632081097205,-0.682170542635646,0.706618962432916,-0.176453286918418,-0.923076923076889,0.71735241502683,-0.334976141272242,0.588550983899819,0.067978533094799,0.589320837672105,-0.800238521168733,-0.689922480620137,0.677996422182471,0.651759093619554,-0.64758497316636,0.562313655336912,-0.167774086378756,-0.433512224209906,-0.563450783596535,0.398814847942754,0.356341856957455,0.365167045399606,-0.646392367322589,0.463923673225999,0.262419041546376,0.385225142025581,0.844364937388193,0.664877757901014,-0.270721526535493,0.442373377016522,-0.402504472271917,0.358378056052472,0.591532498509243,-0.0471079308288785,-0.542635658914727,-0.0727489564698964,0.0429338103756623,0.774597495527729,-0.532498509242692,0.402504472271911,-0.497912939773406,-0.694576956204844,0.164579606440062,-0.518053070960043
"EMT_Thompson",0.409109671647769,-0.32534000601619,-0.0969489612957887,-1.1158070668015,0.129175686760442,0.0056322871063565,0.216609492043892,0.20461563336799,0.00168548391932886,0.681933176392104,-0.229044770146577,0.0906957283074508,0.391511522658005,-0.051062429260621,0.0737857328495339,-0.117283659108457,0.0984225818708601,-0.318079148792469,-0.133928089307021,-0.239133872402157,-0.461878747027891,-0.1079174799411,-0.242253515058703,0.0794063311290001,-0.190654783842916,-0.332968822104152,-0.00176220539719296,0.159203849080892,0.494073257509408,0.319868496734384,0.189383647778885,-0.0553538965080202,0.448623164137085,-0.139475441916199,-0.186322735088097,0.392605512946448,-0.411527583967097,0.281012456313125,-0.119394560061403,0.270206725296005,0.200420478873287,0.0970966497318947,0.0606641710973195,-0.0864599073694018,-0.184780189893913,0.198566327613115,0.218556083123455,-0.477600660739252,-0.24389465471961,0.490565159605341,0.173696139267365,-0.104032951923745,0.281258488219966,0.364377184314789,-1.14655015572828,0.226793259120376,-0.384499841999339,-0.204371378675604,-0.0297454252820232,0.127857017091133,-0.19655955729699,-0.155814633539556,0.516606893518479,-0.111161413361299,-0.0821214638503728,-0.0107580768715532,0.245941277050866,0.129599075210138,-0.175089291479839,0.351626512423986,0.00632808667888557,-0.32238903214273,0.351916194167271,-0.187463026039571
"EMTstroma_Wang",-0.410709604185974,-0.604362362173757,-0.529185036040474,0.111240694218338,-0.292407304145843,-0.0175038228874542,-0.00692984347092196,-0.647883463655354,-0.181310999315304,-0.53500282086987,-0.545821031669574,-0.17247119533832,-0.558017044049014,0.157438563708394,-0.181449547141382,-0.151661802973572,-0.164884373620388,-0.349686318241706,0.584414787756311,0.241227640395519,0.554039759455951,0.332011619207608,0.335193015249556,0.0254042147043808,0.450216357509806,-0.207360387710873,0.0163427452539043,-0.365141273117672,-0.131462226412371,0.481948882360077,0.284282986250223,0.578017588229284,-0.568699158826892,0.0216634694013264,0.389691121048172,-0.504913868785347,0.0248977099724307,-0.45769440979836,0.332439017930703,0.140720228290145,-0.377638525756284,-0.0403571213182581,0.360117611928685,-0.0516350133629179,0.584812001848825,0.0496683549856911,-0.233872826928494,-0.15473878648818,0.460474714200476,-0.318851788399882,0.419608889960121,-0.119735122917873,-0.324631641709101,-0.692188498659358,0.623678509522989,-0.336610256850781,0.0787291665612954,-0.229328480707128,0.648278183968318,-0.237160981594483,-0.0755693508963404,-0.186944893392739,-0.551014278036791,0.124750426100617,0.169066821067339,0.39570056081178,0.308822255164307,-0.55956353397813,0.516224110030488,-0.234432384541172,-0.443234881084879,-0.255813205662201,-0.194033019336752,0.668869355839219
"IFN_Ayers",-0.457141571276655,-0.687418849448157,0.625368280970265,-2.40069311968361,-0.888116667971007,0.578758261359654,-0.171376020321595,1.3873075995574,1.08294202179146,-0.212403816421889,0.909546439874699,-0.591659413544087,0.692651442788552,0.81571843656161,0.740742212440935,0.351225917397772,1.20356267567407,-0.375418637306188,-1.24302540128682,-0.239811265610618,0.00584942416960049,-1.20517823020323,0.501995030694168,-0.0832795607773501,-0.499467368014892,-0.612561155855816,0.983577574309033,0.560774525454536,-0.16974592206683,-0.490305670271699,0.123291257869241,-0.948218259790827,0.290041815566094,0.107225060891036,-0.623452418420591,0.347120193288931,-1.09024543486499,0.543044567686118,0.229291209870505,0.658077901512216,-0.108322584132681,-2.03758810863474,0.889145080532279,0.710565013572382,-0.198222022016631,0.554364432485831,-0.361009881787196,0.343643838243906,-1.32960452896781,-0.419386915451813,0.504606840105607,-0.352397061322996,-0.78536070424453,-0.315519218938801,1.09618290159704,-0.812254031993454,1.07831860065536,0.926186580157692,0.78767363927629,0.89095900953075,-0.181840709646284,-0.902547224459364,1.39485563699563,0.369302101472482,-0.542494891573948,0.548620148421167,0.431345923153581,0.60255222429948,-1.91237762179744,0.737453500900819,-0.706306578996804,-1.20014582101453,0.436223447102912,0.114785919884769
"IMS_Cui",-0.141136996801756,-0.596671179584269,-0.0943136935171472,-0.291961760980201,-0.403301858692095,-0.254486091089633,-0.0534242662921797,0.433809452201854,0.335813472799811,-0.257782770659595,-0.369654102028163,0.159830104407386,-0.0370939569552,-0.180392233695583,-0.120904794363751,0.29615896116995,0.309528084096398,-0.405604923085211,0.0114688861128621,0.0927704022139648,0.652371148254913,-0.163984774170388,0.507958775728783,-0.0436534660908699,-0.0791531356290743,-0.154831993506188,0.46766890358044,0.0201463613601593,0.0585611437819429,0.132754647437598,0.0334369503305001,0.543029265060029,-0.00967440577795531,-0.0274699698076747,-0.293327301686577,-0.186415720234101,0.0167631533729821,0.0111754223974811,0.0871838926610906,0.418529122595654,-0.296895379785653,-0.585366540987332,0.154232378523531,-0.15797505696406,-0.0980545247917803,-0.15073507969121,0.227427412643008,-0.437970655864569,0.25640460421071,-0.398599610176642,0.582815227742013,-0.439704656726135,-0.250510422325777,-0.511168103333572,0.395338662626565,-0.0455073662912132,-0.321139592694,-0.39513183715471,0.661428356639755,0.451750262340009,-0.098074608904929,-0.354905287753053,-0.300914529448251,0.496188354864412,-0.118271267190758,0.400054968397185,0.20634390940492,-0.342403413398258,0.169257017339046,0.122084883604804,-0.328054941002406,-0.434729316389286,-0.179584954584817,0.616602937052348
"Inflammatory_Thompson",-0.610592634426856,0.180412160008835,0.509606847552554,-0.113564145675833,0.204860137438425,0.496190032181294,-0.55777547605319,0.831922611850067,0.732568664262967,-0.422756942403259,0.605777975153477,-0.409083858514421,0.670975285690793,0.537774098047774,0.534834126414788,0.131045790943104,0.789139418985173,-0.440748516034098,-0.728775993863649,-0.189222840375479,0.224483333290035,-0.604604312921279,0.135369816368661,-0.376450081432091,-0.518616612311725,-0.184029753340472,0.40722502366903,0.0758875799789467,-0.17605471115763,-0.633105291589956,-0.26512263807263,-0.663355221556415,0.314481119537652,-0.328078121887594,-0.706638343510569,0.516018620923086,-0.623748446872289,0.561621321662525,0.12091898428053,0.302507554178153,-0.546358106370662,-0.52819708476502,0.592525815504885,0.503687452883331,-0.361405605779888,0.0466239734774893,-0.432825161837668,0.163869638937648,-0.605674614462524,-0.331578258878897,0.460766266537474,-0.106210503889008,-0.472190453434348,0.350896334241033,0.343309526272568,-0.434261175891032,0.694498602340826,0.729664464876113,-0.0362756952841617,0.534331258118984,-0.421394124973557,-0.252720677146315,0.783678473858479,0.187175395919088,-0.572664418329567,0.353779360880198,0.044700206189593,0.615701884430562,-0.705411803638331,0.551393499621511,-0.494091041172116,-0.587911295697994,0.385477291301622,-0.21383606509313
"IPRES_Hugo",0.146700714376944,0.00328418750285075,0.0303523263350394,0.16741440684063,0.138622541519608,0.142973555847289,0.280774707409249,-0.0136507945615522,0.00675615307255493,0.201822047356924,0.0179251576718239,0.153463889444558,0.0658522839831332,-0.0110841060660916,0.113997379214298,0.11666261023822,0.123567969803992,-0.00432207093725682,0.331083540778937,0.158574493470582,0.235632101142746,0.144111832822072,0.173113420705631,0.238520660013471,0.18682766103966,-0.0919581168076096,0.231777293404074,0.098550915434144,0.0919293894327828,0.30299782546391,0.204521270743494,0.387372090904525,0.150459329141938,0.213766867741202,0.201566201048835,0.0144337388026459,0.15905636034931,-0.025254958033195,0.221119765274156,0.173264740817621,0.105896303176426,0.0375841965043524,0.173632163408215,0.0611961925220144,0.248819365842379,0.139496423517024,0.270104335084052,0.062649030674578,0.281593418101138,0.129282650518666,0.350375709086548,0.13398778325104,0.155519182423572,-0.0119902501369681,0.217826303421188,0.0942209363818522,0.0200452771085356,-0.0084186969946284,0.391097752364775,0.183076145856344,0.118282747160655,0.104491749306345,0.0234502167757295,0.200380567824479,0.186370984083891,0.0891402198058887,0.291459593152062,0.00837311588248904,0.342113180240716,0.0156122262778442,0.0550780112680282,0.0521444158516659,0.068942800417939,0.337226493901942
"IPS_Charoentong",-0.44807149392188,0.537024372006292,0.191803577713768,0.796565733464594,0.417520103853865,-0.0784110982008316,0.215299535935388,0.828564548743683,1.43984681918584,0.771972889544294,0.0349456656871063,-2.08927129358652,1.04360861796458,0.135268463817669,1.58142029406317,0.065854215940422,-0.892132100773272,-0.288881992580946,0.698565678775391,-1.32664127457836,0.133071210820353,0.763902993180345,-1.46555939860712,-1.24126571847792,0.352804038691594,-0.576145443900084,-1.91870251603977,0.242345769338678,0.106918229753308,-1.35793592818865,0.947014675011345,-0.185490201316101,-1.93598061600651,-1.38157686592828,-0.624336241483579,-0.90454795415988,-1.25404991594132,0.289756321504538,1.13787989527027,0.159611465232106,-0.0117193490658754,1.89442081376231,-0.475909889949713,1.32795639319529,0.587150735698796,-1.45140251479903,-0.403493750002833,-0.678998311770812,0.873295837686175,0.299683792400811,0.194600925169897,-1.00859621710704,-0.518702020716116,0.924609872038531,0.284933294794431,-1.36406397859506,-1.57287224934495,0.258156709229162,-0.315120186374999,0.19615703041622,0.742257177346424,-0.916368573502966,1.62369209434673,-1.35419176359485,0.0963618784672424,-0.507926027729218,1.48210945889881,1.02116644751968,1.03742626494322,2.04712503602137,-0.777645881287416,-0.613587238399681,2.02406626620177,0.132862862296084
