"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"1","R vs NR","1","ICB_small_Miao",0.04,0.838,28,0.961483714481473,"Kidney","PD-1/PD-L1",0.961483714481473
"2","R vs NR","2","ICB_small_Miao",0.707,0.797,28,0.374786585071781,"Kidney","PD-1/PD-L1",0.780805385566211
"3","R vs NR","3","ICB_small_Miao",-5.993,3.066,28,0.0506404073133631,"Kidney","PD-1/PD-L1",0.477674226879636
"4","R vs NR","4","ICB_small_Miao",0.31,0.726,28,0.669121704899093,"Kidney","PD-1/PD-L1",0.802010484181037
"5","R vs NR","5","ICB_small_Miao",0.331,0.704,28,0.638552540274651,"Kidney","PD-1/PD-L1",0.802010484181037
"6","R vs NR","6","ICB_small_Miao",1.659,1.362,28,0.223432232305759,"Kidney","PD-1/PD-L1",0.572765166089129
"7","R vs NR","7","ICB_small_Miao",-2.097,1.183,28,0.0764278763007417,"Kidney","PD-1/PD-L1",0.477674226879636
"8","R vs NR","8","ICB_small_Miao",0.361,0.569,28,0.52575659343715,"Kidney","PD-1/PD-L1",0.802010484181037
"9","R vs NR","9","ICB_small_Miao",-2.511,1.335,28,0.060022132736017,"Kidney","PD-1/PD-L1",0.477674226879636
"10","R vs NR","10","ICB_small_Miao",0.648,0.834,28,0.437219471974937,"Kidney","PD-1/PD-L1",0.802010484181037
"11","R vs NR","11","ICB_small_Miao",-4.621,3.023,28,0.126417155491919,"Kidney","PD-1/PD-L1",0.572765166089129
"12","R vs NR","12","ICB_small_Miao",-0.179,0.44,28,0.683133469992784,"Kidney","PD-1/PD-L1",0.802010484181037
"13","R vs NR","13","ICB_small_Miao",1.193,5.888,28,0.83948853468407,"Kidney","PD-1/PD-L1",0.874467223629239
"14","R vs NR","14","ICB_small_Miao",0.138,0.549,28,0.801143232216487,"Kidney","PD-1/PD-L1",0.870807861104877
"15","R vs NR","15","ICB_small_Miao",-0.52,1.238,28,0.67466721847796,"Kidney","PD-1/PD-L1",0.802010484181037
"16","R vs NR","16","ICB_small_Miao",2.189,1.599,28,0.170841506739642,"Kidney","PD-1/PD-L1",0.572765166089129
"17","R vs NR","17","ICB_small_Miao",2.071,1.653,28,0.210177457379033,"Kidney","PD-1/PD-L1",0.572765166089129
"18","R vs NR","18","ICB_small_Miao",4.657,2.464,28,0.0587704312524186,"Kidney","PD-1/PD-L1",0.477674226879636
"19","R vs NR","19","ICB_small_Miao",0.929,0.88,28,0.291152807612249,"Kidney","PD-1/PD-L1",0.661710926391475
"20","R vs NR","20","ICB_small_Miao",-0.272,0.72,28,0.705769226079312,"Kidney","PD-1/PD-L1",0.802010484181037
"21","R vs NR","21","ICB_small_Miao",0.546,0.804,28,0.497111406890976,"Kidney","PD-1/PD-L1",0.802010484181037
"22","R vs NR","22","ICB_small_Miao",0.407,0.729,28,0.57667917715196,"Kidney","PD-1/PD-L1",0.802010484181037
"23","R vs NR","23","ICB_small_Miao",1.132,0.941,28,0.229106066435652,"Kidney","PD-1/PD-L1",0.572765166089129
"24","R vs NR","24","ICB_small_Miao",-2.561,1.808,28,0.156508055317927,"Kidney","PD-1/PD-L1",0.572765166089129
"25","R vs NR","25","ICB_small_Miao",0.561,0.801,28,0.48374196911508,"Kidney","PD-1/PD-L1",0.802010484181037
