"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","1","ICB_small_Miao",-0.461,0.937,33,0.62267502839501,"Kidney","PD-1/PD-L1",0.980198869130179
"HR1","PFS","2","ICB_small_Miao",0.129,0.701,33,0.853955790874718,"Kidney","PD-1/PD-L1",0.980198869130179
"HR2","PFS","3","ICB_small_Miao",2.533,2.588,33,0.327627529428598,"Kidney","PD-1/PD-L1",0.980198869130179
"HR3","PFS","4","ICB_small_Miao",-0.612,0.847,33,0.469768094183925,"Kidney","PD-1/PD-L1",0.980198869130179
"HR4","PFS","5","ICB_small_Miao",-0.216,0.836,33,0.796329314282565,"Kidney","PD-1/PD-L1",0.980198869130179
"HR5","PFS","6","ICB_small_Miao",-0.446,1.197,33,0.709716455826947,"Kidney","PD-1/PD-L1",0.980198869130179
"HR6","PFS","7","ICB_small_Miao",1.794,1.293,33,0.165257953899185,"Kidney","PD-1/PD-L1",0.980198869130179
"HR7","PFS","8","ICB_small_Miao",-0.033,0.588,33,0.955020059616144,"Kidney","PD-1/PD-L1",0.980198869130179
"HR8","PFS","9","ICB_small_Miao",0.796,1.405,33,0.570957724259242,"Kidney","PD-1/PD-L1",0.980198869130179
"HR9","PFS","10","ICB_small_Miao",-0.04,0.896,33,0.96412171015576,"Kidney","PD-1/PD-L1",0.980198869130179
"HR10","PFS","11","ICB_small_Miao",5.229,3.973,33,0.18812331932448,"Kidney","PD-1/PD-L1",0.980198869130179
"HR11","PFS","12","ICB_small_Miao",-0.095,0.646,33,0.882640075261548,"Kidney","PD-1/PD-L1",0.980198869130179
"HR12","PFS","13","ICB_small_Miao",-8.265,6.375,33,0.19479259083671,"Kidney","PD-1/PD-L1",0.980198869130179
"HR13","PFS","14","ICB_small_Miao",-0.209,0.634,33,0.741823159843121,"Kidney","PD-1/PD-L1",0.980198869130179
"HR14","PFS","15","ICB_small_Miao",-1.285,1.768,33,0.467221608677677,"Kidney","PD-1/PD-L1",0.980198869130179
"HR15","PFS","16","ICB_small_Miao",-0.654,1.415,33,0.644078657473137,"Kidney","PD-1/PD-L1",0.980198869130179
"HR16","PFS","17","ICB_small_Miao",-1.415,1.555,33,0.362767348754222,"Kidney","PD-1/PD-L1",0.980198869130179
"HR17","PFS","18","ICB_small_Miao",-2.354,2.213,33,0.287390835275049,"Kidney","PD-1/PD-L1",0.980198869130179
"HR18","PFS","19","ICB_small_Miao",0.474,0.884,33,0.591648491575406,"Kidney","PD-1/PD-L1",0.980198869130179
"HR19","PFS","20","ICB_small_Miao",-0.181,0.825,33,0.826589581756693,"Kidney","PD-1/PD-L1",0.980198869130179
"HR20","PFS","21","ICB_small_Miao",0.205,0.797,33,0.796730578411221,"Kidney","PD-1/PD-L1",0.980198869130179
"HR21","PFS","22","ICB_small_Miao",0.02,0.802,33,0.980198869130179,"Kidney","PD-1/PD-L1",0.980198869130179
"HR22","PFS","23","ICB_small_Miao",-0.337,0.977,33,0.730136256791628,"Kidney","PD-1/PD-L1",0.980198869130179
"HR23","PFS","24","ICB_small_Miao",5.932,3.105,33,0.0560337895676241,"Kidney","PD-1/PD-L1",0.980198869130179
"HR24","PFS","25","ICB_small_Miao",0.568,0.834,33,0.495936069189093,"Kidney","PD-1/PD-L1",0.980198869130179
