"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"1","R vs NR","1","ICB_small_Nathanson",-0.225,0.435,24,0.604900075453137,"Melanoma","PD-1/PD-L1",0.864521135747649
"2","R vs NR","2","ICB_small_Nathanson",-0.249,0.784,24,0.750921442751823,"Melanoma","PD-1/PD-L1",0.864521135747649
"3","R vs NR","3","ICB_small_Nathanson",-0.551,0.749,24,0.461879172187944,"Melanoma","PD-1/PD-L1",0.864521135747649
"4","R vs NR","4","ICB_small_Nathanson",-1.861,1.317,24,0.157604667014293,"Melanoma","PD-1/PD-L1",0.864521135747649
"5","R vs NR","5","ICB_small_Nathanson",4.176,1.906,24,0.0284773625145652,"Melanoma","PD-1/PD-L1",0.654979337835
"6","R vs NR","6","ICB_small_Nathanson",-0.398,0.471,24,0.39733503226391,"Melanoma","PD-1/PD-L1",0.864521135747649
"7","R vs NR","7","ICB_small_Nathanson",0.373,1.179,24,0.751757509345782,"Melanoma","PD-1/PD-L1",0.864521135747649
"8","R vs NR","8","ICB_small_Nathanson",-0.433,0.811,24,0.593523451508609,"Melanoma","PD-1/PD-L1",0.864521135747649
"9","R vs NR","9","ICB_small_Nathanson",3.002,3.492,24,0.390069369279923,"Melanoma","PD-1/PD-L1",0.864521135747649
"10","R vs NR","10","ICB_small_Nathanson",-0.05,0.424,24,0.905938647100507,"Melanoma","PD-1/PD-L1",0.905938647100507
"11","R vs NR","11","ICB_small_Nathanson",-1.616,4.783,24,0.735446509029005,"Melanoma","PD-1/PD-L1",0.864521135747649
"12","R vs NR","12","ICB_small_Nathanson",-0.31,0.457,24,0.497259699443255,"Melanoma","PD-1/PD-L1",0.864521135747649
"13","R vs NR","13","ICB_small_Nathanson",-0.494,1.432,24,0.730275075443392,"Melanoma","PD-1/PD-L1",0.864521135747649
"14","R vs NR","14","ICB_small_Nathanson",-0.273,1.302,24,0.833790833291235,"Melanoma","PD-1/PD-L1",0.905938647100507
"15","R vs NR","15","ICB_small_Nathanson",-0.202,1.223,24,0.868505040411534,"Melanoma","PD-1/PD-L1",0.905938647100507
"16","R vs NR","16","ICB_small_Nathanson",-1.147,1.969,24,0.56007083587954,"Melanoma","PD-1/PD-L1",0.864521135747649
"17","R vs NR","17","ICB_small_Nathanson",-0.428,0.78,24,0.582898585448848,"Melanoma","PD-1/PD-L1",0.864521135747649
"18","R vs NR","18","ICB_small_Nathanson",-0.533,0.669,24,0.426048176193266,"Melanoma","PD-1/PD-L1",0.864521135747649
"19","R vs NR","19","ICB_small_Nathanson",-0.67,0.764,24,0.380563032898556,"Melanoma","PD-1/PD-L1",0.864521135747649
"20","R vs NR","20","ICB_small_Nathanson",-0.705,0.797,24,0.376142364642056,"Melanoma","PD-1/PD-L1",0.864521135747649
"21","R vs NR","21","ICB_small_Nathanson",-0.38,0.816,24,0.641756817021242,"Melanoma","PD-1/PD-L1",0.864521135747649
"22","R vs NR","22","ICB_small_Nathanson",1.239,2.084,24,0.552369116490682,"Melanoma","PD-1/PD-L1",0.864521135747649
"23","R vs NR","23","ICB_small_Nathanson",-0.298,0.8,24,0.709960560174661,"Melanoma","PD-1/PD-L1",0.864521135747649
