"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR1","OS","2","ICB_small_Nathanson",-0.726,0.477,24,0.128491012294042,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR2","OS","3","ICB_small_Nathanson",-0.811,0.439,24,0.0646319879419528,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR3","OS","4","ICB_small_Nathanson",-1.443,0.897,24,0.107989943770848,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR4","OS","5","ICB_small_Nathanson",1.484,0.813,24,0.0680249111278953,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR5","OS","6","ICB_small_Nathanson",-0.613,0.276,24,0.0262311572685301,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR7","OS","8","ICB_small_Nathanson",-0.859,0.49,24,0.0796171510078167,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR11","OS","12","ICB_small_Nathanson",-0.553,0.274,24,0.0432553325506184,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR12","OS","13","ICB_small_Nathanson",-1.361,0.913,24,0.135961881563745,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR14","OS","15","ICB_small_Nathanson",-1.095,0.733,24,0.135506432607319,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR15","OS","16","ICB_small_Nathanson",-2.026,1.211,24,0.0943952581937134,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR16","OS","17","ICB_small_Nathanson",-0.849,0.462,24,0.0661708571452241,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR17","OS","18","ICB_small_Nathanson",-0.646,0.406,24,0.111463980155898,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR18","OS","19","ICB_small_Nathanson",-0.819,0.452,24,0.0698861166205158,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR19","OS","20","ICB_small_Nathanson",-0.895,0.479,24,0.061857859324564,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR20","OS","21","ICB_small_Nathanson",-0.86,0.491,24,0.0797173311735846,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR22","OS","23","ICB_small_Nathanson",-0.742,0.47,24,0.114179898218501,"Pancreas","PD-1/PD-L1",0.195445204747883
"HR13","OS","14","ICB_small_Nathanson",-1.045,0.746,24,0.161175523302804,"Pancreas","PD-1/PD-L1",0.218061002115559
"HR","OS","1","ICB_small_Nathanson",-0.412,0.336,24,0.22015911398367,"Pancreas","PD-1/PD-L1",0.280433278917934
"HR8","OS","9","ICB_small_Nathanson",2.307,1.929,24,0.231662273888728,"Pancreas","PD-1/PD-L1",0.280433278917934
"HR6","OS","7","ICB_small_Nathanson",-0.456,0.753,24,0.544601692855427,"Pancreas","PD-1/PD-L1",0.626291946783741
"HR21","OS","22","ICB_small_Nathanson",0.729,1.309,24,0.577477551797955,"Pancreas","PD-1/PD-L1",0.63247541387395
"HR10","OS","11","ICB_small_Nathanson",-1.149,2.895,24,0.691518147451325,"Pancreas","PD-1/PD-L1",0.722950790517294
"HR9","OS","10","ICB_small_Nathanson",-0.041,0.25,24,0.870633623746727,"Pancreas","PD-1/PD-L1",0.870633623746727
