"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"1","R vs NR","1","ICB_small_Riaz",-4.246,2.748,14,0.122238874200867,"Melanoma","PD-1/PD-L1",0.248004925075399
"2","R vs NR","2","ICB_small_Riaz",-2.277,1.618,14,0.159405327800683,"Melanoma","PD-1/PD-L1",0.249070824688567
"3","R vs NR","3","ICB_small_Riaz",0.694,1.467,14,0.636072804517659,"Melanoma","PD-1/PD-L1",0.636072804517659
"4","R vs NR","4","ICB_small_Riaz",-2.739,1.898,14,0.149045668877123,"Melanoma","PD-1/PD-L1",0.248409448128538
"5","R vs NR","5","ICB_small_Riaz",-2.649,1.956,14,0.175616426450928,"Melanoma","PD-1/PD-L1",0.25633675977695
"6","R vs NR","6","ICB_small_Riaz",-2.361,1.94,14,0.223580857853715,"Melanoma","PD-1/PD-L1",0.279476072317143
"7","R vs NR","7","ICB_small_Riaz",2.095,1.821,14,0.249848096144177,"Melanoma","PD-1/PD-L1",0.297438209695448
"8","R vs NR","8","ICB_small_Riaz",-2.947,1.748,14,0.0917580270172633,"Melanoma","PD-1/PD-L1",0.248004925075399
"9","R vs NR","9","ICB_small_Riaz",1.415,1.864,14,0.447798492371862,"Melanoma","PD-1/PD-L1",0.486737491708545
"10","R vs NR","10","ICB_small_Riaz",-3.638,2.458,14,0.138882758042223,"Melanoma","PD-1/PD-L1",0.248004925075399
"11","R vs NR","11","ICB_small_Riaz",4.504,5.152,14,0.381940152748374,"Melanoma","PD-1/PD-L1",0.434022900850425
"12","R vs NR","12","ICB_small_Riaz",0.489,0.915,14,0.592899468649772,"Melanoma","PD-1/PD-L1",0.617603613176846
"13","R vs NR","13","ICB_small_Riaz",-10.334,8.306,14,0.213459616792391,"Melanoma","PD-1/PD-L1",0.279476072317143
"14","R vs NR","14","ICB_small_Riaz",-2.778,1.809,14,0.124651982995842,"Melanoma","PD-1/PD-L1",0.248004925075399
"15","R vs NR","15","ICB_small_Riaz",-9.575,5.78,14,0.0975942324226694,"Melanoma","PD-1/PD-L1",0.248004925075399
"16","R vs NR","16","ICB_small_Riaz",-7.005,4.252,14,0.0994673763905465,"Melanoma","PD-1/PD-L1",0.248004925075399
"17","R vs NR","17","ICB_small_Riaz",-3.39,2.26,14,0.133583604325016,"Melanoma","PD-1/PD-L1",0.248004925075399
"18","R vs NR","18","ICB_small_Riaz",-12.123,7.498,14,0.105945867590553,"Melanoma","PD-1/PD-L1",0.248004925075399
"19","R vs NR","19","ICB_small_Riaz",-2.603,1.598,14,0.103417452100134,"Melanoma","PD-1/PD-L1",0.248004925075399
"20","R vs NR","20","ICB_small_Riaz",-2.548,1.364,14,0.0618390818100514,"Melanoma","PD-1/PD-L1",0.248004925075399
"21","R vs NR","21","ICB_small_Riaz",-3.762,2.06,14,0.0677859484333574,"Melanoma","PD-1/PD-L1",0.248004925075399
"22","R vs NR","22","ICB_small_Riaz",-3.358,1.966,14,0.0875563609848067,"Melanoma","PD-1/PD-L1",0.248004925075399
"23","R vs NR","23","ICB_small_Riaz",-4.253,2.6,14,0.101886731613443,"Melanoma","PD-1/PD-L1",0.248004925075399
"24","R vs NR","24","ICB_small_Riaz",3.562,2.685,14,0.184562467039404,"Melanoma","PD-1/PD-L1",0.25633675977695
"25","R vs NR","25","ICB_small_Riaz",-2.624,1.694,14,0.121368878718277,"Melanoma","PD-1/PD-L1",0.248004925075399
