"","Pt1","Pt2","Pt4","Pt5","Pt6","Pt7","Pt8","Pt9","Pt10","Pt12","Pt13","Pt14","Pt15","Pt16","Pt19","Pt20","Pt22","Pt23","Pt25","Pt27","Pt28","Pt29","Pt31","Pt32","Pt35","Pt37","Pt38"
"CCL5-CXCL9_Dangaj",0.0154447932372653,0.416716006814657,-0.0285486523767147,-0.5554339104168,-0.63989473618848,-0.415564791870137,-0.264238127928515,0.151650526636313,-0.717478038328597,-0.526383863380515,0.604441266559472,-0.330638158138867,0.195099726726213,-0.489767832388564,-0.0318362706083023,0.811787539601455,0.566030031801336,0.440346800387624,0.552394973333304,0.630997529955689,-0.427043957399104,0.594431324676076,-0.418058301385591,-0.466658729062157,-0.186053138358092,0.0644791916312375,0.789653212052298
"Chemokine_Messina",-0.130142959872854,0.395088380872966,0.145526613816526,-0.600759037909115,-0.811438278595649,-0.152321630804091,0.332301275563221,0.116958658013164,-0.62834931782543,-0.646160791568205,0.198086660909088,0.369684891518919,0.251851256790769,-0.0309191407132037,0.0764439411098441,0.793615604084389,0.399407915882837,0.687998067968793,0.53727510175473,0.478429267812288,-0.213388943431902,0.244668253586496,0.0656851642129051,-0.531673571982285,-0.322574041428306,-0.0495604142386017,0.431885919638076
"COX-IS_Bonavita",0.175370226413018,0.13614377588416,-0.340401979645462,0.402180883205583,0.281627948069137,-0.0149457393589614,1.02242484607213,0.0862206281391235,-1.94949669686231,-0.324633136938627,0.333531251237437,0.588106743249887,0.0791640042639507,3.2144416104404,-2.35936566934848,0.0221369752277297,0.21382999431293,0.204428747586073,-0.354564274430118,0.0142266215753795,-1.9112561453614,0.0216449732104328,0.28181737340885,0.378009425136865,-0.00214546217129386,-0.384651350096672,0.186154426780233
"CYT_Davoli",0.237448158326291,-0.0503109101187065,0.173544375353315,-0.743357829282024,-0.724137931034432,-0.322372474578288,-0.45305907880022,0.553985302430759,-0.953080836630799,-0.762577727529622,0.484912980768236,-0.485397501380527,0.365178066704355,-0.674126628136356,0.353306953080848,0.951384963256079,0.0407009609949208,0.224420576596957,0.847371396269083,0.373681650456356,-0.254643629969884,0.464922641116405,0.221577040705888,-0.521198417184807,0.0989259468626337,0.610614567936085,0.782928208027136
"CYT_Rooney",-0.134723788049598,-0.254085682074396,0.0958286358511929,-0.87204058624583,-0.67981961668549,-0.161781285231119,-0.435738444193922,0.437993235625709,-0.926155580608859,-0.54058624577229,0.330890642615564,-0.307779030439693,0.233370913190537,-0.721763861842816,0.179819616685465,0.99098083427283,-0.0298759864712433,0.719521764905439,0.896843291995491,0.482118404047625,-0.58117249154456,0.676472614839694,0.286620097118146,-0.414392133917481,0.00901916572717815,0.60033821871477,0.605975197294252
"EMT_Thompson",-0.208068868189895,0.370764863721698,-0.348636340641405,-0.576954052288035,-0.24429294669625,-0.253245699918826,0.212094385304313,0.578594409833807,-0.158871716318867,0.0627822459815883,0.138173771360208,0.40530199301639,-0.021708145369998,-0.144473797438173,-0.806467088531977,-0.01048888087837,-0.196442898029554,0.0568178992361138,-0.237385739266077,-0.137065170913982,0.789387784185473,0.859572049122556,-0.231170450857044,0.074772796989159,-0.443368129797556,-0.203779095768001,0.674156822152702
"EMTstroma_Wang",0.430887346422874,-0.542946390304307,-0.602102136979032,0.213793596340763,0.0452085533262977,0.230810660780009,0.22544908558843,-0.00150321431067343,0.46276894039895,0.627696541942458,0.432596972782821,0.247201392608462,-0.132598217914089,-0.16789221659905,0.491209513932837,-0.393559208319328,0.348799336103503,0.212949007899522,-0.341478876525052,0.063096621256048,-0.544699472181769,-0.498400779548317,0.462744087654593,0.543558662229552,-0.202848145429738,-0.151649245581581,-0.646405124464322
"IFN_Ayers",0.513566008848478,0.574674120643214,-0.0356024435272454,-1.9002587733423,-1.03174465992458,-0.38099140650729,-0.246938004154132,0.434682972588726,-1.45231185670186,-1.39471665808062,0.981429611852135,0.455179880992598,0.290509733973523,-0.416407559190374,-0.887085190767078,1.58033875051541,0.683430597655118,0.694429346657911,0.261446963266419,1.26105188378767,-1.02171090404364,0.742589394265166,-0.583239314228682,-0.251232948803131,0.414889332848334,-0.441476881893681,1.15549800326991
"IMS_Cui",0.390072173853178,-0.513223288112654,-0.523951036369651,-0.526440627556584,-0.219246152828307,-0.229233790871528,0.410336110061051,-0.309859344632922,0.222684245452888,0.421123713647747,0.394889900676406,0.60839472204928,-0.101366530249047,0.443337221656957,-0.0433608877825259,0.210739177867588,0.591344860208435,0.490407544912501,-0.11801359332173,-0.190610728913181,-0.471208290059879,0.238910379247623,0.426712070537789,0.403296038214254,-0.38505472029155,-0.527916437346725,-0.50939966032374
"Inflammatory_Thompson",-0.229861079497757,0.23862070797636,0.143130761803121,-0.691282369397286,-0.603424579146962,-0.388246913580243,-0.417805814345025,0.222134316950786,-0.680508848422661,-0.681568563241888,0.5477035174506,-0.319365007960035,0.343737687578505,-0.43319790192322,0.152359865180191,0.860779810141239,0.292893360160969,0.391948287007111,0.63009341035935,0.62895430495431,-0.238527667415211,0.462668668614023,-0.35854822629083,-0.558511664689581,0.0257142857142861,0.342286511813379,0.708144239866099
