"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"1","R vs NR","1","ICB_small_Mariathasan",-1.18,0.433,133,0.0064526447983038,"Blader","PD-1/PD-L1",0.0119125750122532
"2","R vs NR","2","ICB_small_Mariathasan",-1.234,0.416,133,0.00303967563622525,"Blader","PD-1/PD-L1",0.00868462807535368
"3","R vs NR","3","ICB_small_Mariathasan",0.199,0.427,133,0.641754569848616,"Blader","PD-1/PD-L1",0.641754569848616
"4","R vs NR","4","ICB_small_Mariathasan",-1.236,0.405,133,0.00228017916272409,"Blader","PD-1/PD-L1",0.00868462807535368
"5","R vs NR","5","ICB_small_Mariathasan",-1.029,0.371,133,0.00554668280314405,"Blader","PD-1/PD-L1",0.0114782924193693
"6","R vs NR","6","ICB_small_Mariathasan",-0.48,0.461,133,0.297579029199951,"Blader","PD-1/PD-L1",0.324631668218128
"7","R vs NR","7","ICB_small_Mariathasan",0.794,0.428,133,0.0636190791015238,"Blader","PD-1/PD-L1",0.0848254388020318
"8","R vs NR","8","ICB_small_Mariathasan",-0.661,0.239,133,0.00573914620968464,"Blader","PD-1/PD-L1",0.0114782924193693
"9","R vs NR","9","ICB_small_Mariathasan",0.355,0.483,133,0.461955430591399,"Blader","PD-1/PD-L1",0.482040449312764
"10","R vs NR","10","ICB_small_Mariathasan",-1.166,0.408,133,0.00426546907405552,"Blader","PD-1/PD-L1",0.0102371257777332
"11","R vs NR","11","ICB_small_Mariathasan",5.669,1.915,133,0.00307134502769393,"Blader","PD-1/PD-L1",0.00868462807535368
"12","R vs NR","12","ICB_small_Mariathasan",-0.256,0.19,133,0.177643182199963,"Blader","PD-1/PD-L1",0.221076703200793
"13","R vs NR","13","ICB_small_Mariathasan",-3.06,2.305,133,0.184230586000661,"Blader","PD-1/PD-L1",0.221076703200793
"14","R vs NR","14","ICB_small_Mariathasan",-0.433,0.232,133,0.061380702195789,"Blader","PD-1/PD-L1",0.0848254388020318
"15","R vs NR","15","ICB_small_Mariathasan",-2.032,0.924,133,0.0279096459916405,"Blader","PD-1/PD-L1",0.0418644689874607
"16","R vs NR","16","ICB_small_Mariathasan",-2.046,0.792,133,0.0098294297765933,"Blader","PD-1/PD-L1",0.0157270876425493
"17","R vs NR","17","ICB_small_Mariathasan",-4.627,1.572,133,0.00325673552825763,"Blader","PD-1/PD-L1",0.00868462807535368
"18","R vs NR","18","ICB_small_Mariathasan",-1.012,0.388,133,0.00904352260605084,"Blader","PD-1/PD-L1",0.0155031816103729
"19","R vs NR","19","ICB_small_Mariathasan",-1.8,0.377,133,1.79904197553466e-06,"Blader","PD-1/PD-L1",4.31770074128319e-05
"20","R vs NR","20","ICB_small_Mariathasan",-1.512,0.416,133,0.000281999142366678,"Blader","PD-1/PD-L1",0.00225599313893342
"21","R vs NR","21","ICB_small_Mariathasan",-1.61,0.416,133,0.000108814619418093,"Blader","PD-1/PD-L1",0.00130577543301712
"22","R vs NR","22","ICB_small_Mariathasan",-1.322,0.426,133,0.00192742233332312,"Blader","PD-1/PD-L1",0.00868462807535368
"23","R vs NR","23","ICB_small_Mariathasan",1.046,0.875,133,0.231997552778553,"Blader","PD-1/PD-L1",0.265140060318346
"24","R vs NR","24","ICB_small_Mariathasan",-1.354,0.417,133,0.00117117254731072,"Blader","PD-1/PD-L1",0.00702703528386429
