"","Patient102","Patient105","Patient106","Patient107","Patient108","Patient112","Patient116","Patient125","Patient126","Patient127","Patient130","Patient131","Patient132","Patient133","Patient134","Patient135","Patient137","Patient140","Patient141","Patient142","Patient143","Patient144","Patient145","Patient146","Patient147","Patient148","Patient149","Patient14","Patient150","Patient154","Patient155","Patient156","Patient158","Patient165","Patient166","Patient167","Patient168","Patient169","Patient170","Patient172","Patient173","Patient179","Patient181","Patient183","Patient184","Patient185","Patient188","Patient18","Patient23","Patient36","Patient37","Patient40","Patient47","Patient48","Patient51","Patient67","Patient75","Patient77","Patient78","Patient79","Patient8","Patient96","Patient98","Patient99","Patient9","Patient191","Patient189","Patient200","Patient201","Patient193","Patient196","Patient197","Patient204","Patient205"
"FGR",1.87164562841175,-1.88118371287844,2.37947982502082,-9.96578428466209,-2.71301819222104,2.90643593191175,1.10537311953899,3.84139596600489,1.27403080883787,1.35694665823278,3.15865149367113,1.55703634001676,3.66782980381714,2.02716435250422,2.21930632738252,1.15888633327311,2.86357242609821,-0.252875354700764,0.677489810496137,3.37573661945382,3.42028523475788,-0.281694273934498,2.10580649609479,1.83837125015865,0.758544903637366,3.36275130013291,4.24620993997611,2.92449334744606,-0.532236151088376,2.11521849206837,1.27284441313416,2.46083127336047,2.70855795328754,2.21484312960201,-1.03721992684038,2.03571983303456,1.57356938495507,2.18420223964302,0.939475442900761,2.86310674189832,1.40350344042215,-9.96578428466209,2.52674850285539,3.26543686456216,0.480968533929757,1.90000403582688,-0.568112486544984,0.452417529251874,1.01118313198968,0.534809925126652,1.43709497100905,0.0341066549108387,-0.474841274052331,-1.40146405807862,1.9118540574819,-2.97188293547791,3.17455710786721,0.911279692439483,2.75096699479567,2.50739878641107,-0.894337304864351,1.76274891424268,2.5817971797186,5.19013609650362,-0.315866433628219,3.41323632724899,2.61243824840498,2.39714029069177,0.954175772949972,2.09765668087657,1.43431630387097,1.81677483495872,2.04826677964062,1.37906717318314
"CFH",4.31908693113157,1.59939493209223,4.94653693859335,-9.96578428466209,1.44794493161086,6.18447865582188,7.71374593268448,6.35888855454264,5.29670313720123,4.91774227195103,4.13516381328544,4.52025033003017,5.99889240549402,4.34093680629617,5.54095556546578,5.55576375275476,6.43770608942865,2.18182165017974,4.0772936738425,5.51648214681908,6.09814709468765,5.1152237087423,7.0664838967858,5.851748397187,3.08339243570304,3.71635776651297,8.02492522507061,4.90535445977608,6.66909640611816,8.32454853535646,5.59612747203118,5.9058806939987,3.55911833791592,5.16346653951626,5.31118158116496,4.57908382224001,3.89311849496803,5.7221721961304,4.91200400407699,8.15487247698245,6.54850174400049,-0.183047325358981,7.70662580613774,5.62483152573104,3.40784837436788,6.23183305079979,6.32861823866856,5.14982398567517,4.31593760347769,4.37647532369486,6.8116143452348,3.93226460803917,7.66852552066665,0.935324359749794,6.4526576064793,6.57742000969776,2.24396456873462,5.21764844974608,7.09653804308577,6.55301105009273,5.60323365399052,1.3332121297821,4.93966507365816,5.15295807511162,5.42708804233762,5.03258726791022,7.88596451048018,5.10676200026308,5.30533281747898,6.55306733658779,3.50919721586049,1.56687405585799,6.85873918745147,4.91756534392586
"CD99",9.82202105786019,9.24445089600413,9.84640020040407,5.17900218349915,7.53311756203285,9.20712167057564,9.81354158369748,9.01512988109948,9.39910131881929,9.03492179008766,9.06476390200674,10.35892452165,8.75029048573713,10.102700072541,9.32393849742034,9.18019152561177,8.78556831008845,9.47492734365671,8.73277696792893,10.4383071687425,5.49964434562386,11.5864799735059,10.0852678453793,9.27788436389385,8.73060329039224,8.99731095027311,9.44488636789572,9.80203490944328,9.83833534005121,9.58758886562028,10.3887309083115,9.66363840381696,8.568662832114,9.2136947064552,8.58799744738259,8.89625769083038,10.1030683614795,8.62439687738774,10.9966159058997,9.34429954547812,9.03120621148746,7.68100732506221,10.7642937239452,9.67820763302828,10.5121964781811,10.3420943986973,8.38572405548623,8.81633629419452,10.7460775938631,7.92299598219793,10.2151459131468,9.14413618808933,8.09322412002911,7.27288902458615,9.23064524021242,7.79291896738364,9.57362634388498,10.8919506965673,9.61006151247566,9.43891879893456,8.55340817997427,8.26531084237717,8.85071987354147,10.4931765032508,8.71832414895911,9.13310142855424,9.90183200368273,9.99859907553837,10.1295383496579,9.63555131376856,9.30753634332476,9.0916988214867,9.66499883414434,11.0027566264831
"HS3ST1",-0.906261040675555,-1.11783897586893,-2.06759611162248,-9.96578428466209,-9.96578428466209,-1.77809908822478,-0.756796192965611,-1.28446911834495,-2.66226266889919,0.0876524370750727,-2.88762491182321,-2.41628004792352,-2.05419998801444,-3.35071377570198,-2.15702442859435,-5.10414721909965,-0.719211271217111,-5.28469532352587,-3.76312207988374,-1.04522972512277,-9.96578428466209,-1.94086444411288,-3.14381548735686,-0.0106826571818647,-3.95669740764069,-5.27394720539067,-0.717648165282456,-0.855492513855067,-0.339851894327118,-1.45102039444171,-2.62571161350541,-2.62502094935306,-4.74821424649083,-1.19155973333849,-1.95212834339621,-1.74406256161843,-2.14101547451825,-2.50279522614628,-4.12337418783991,-1.87842089956346,-0.742724523724486,-2.89637035620604,-1.7601610922995,-9.96578428466209,-1.60876810878335,-2.34098213243186,-3.14241985859368,-3.31556151216384,-0.898304637165909,-0.99382502397806,-1.9364169866412,-0.0812531515941589,-1.00002815203312,-3.39007564377245,-9.96578428466209,-5.50133326112275,-9.96578428466209,-3.21354583912077,0.13206031654482,-2.07173968930333,-0.479970365869883,-2.27507050464289,-1.93647299257055,-2.1300041008657,-2.36085955106063,-2.77665120671243,-1.01958542317921,-2.27624771763939,-1.41195875398467,-0.295767992192476,-2.87750452431646,-2.3139466899081,-1.36018724046741,-2.27271064828184
"CFLAR",6.20230123635323,5.01319561563203,5.90536404509996,3.46843475159566,4.66556515561375,6.58633858770026,6.88636255490006,7.4429152370316,6.72776038686237,7.10834597582063,6.90487932620853,5.34421816122783,6.786552922813,6.27398150202751,6.97352943822773,5.34722973625992,7.25906474214171,5.72741869082658,5.73025262063877,6.3943460500014,-9.96578428466209,5.92346049350972,7.28048755150182,6.39771782556368,5.31767867265312,6.07269020424687,7.34607542883923,7.11666386944308,6.37372849331224,7.55783661682065,6.39162060064339,6.16265218624315,6.23348131478301,6.16929609042282,6.1017940858656,5.89577832323558,5.69412785943681,6.46830314035149,5.61200959758595,7.45149173007628,6.31805384672425,5.23141406252533,7.27364341646095,6.05476769719714,6.57270677484306,6.68944692826307,5.23212224343305,6.21160321091341,6.03762526871391,6.7202274325101,7.05749761523198,5.15566497344777,6.12556255966473,5.12126042785014,6.06974523240387,5.9241688312779,5.65731649111367,6.44898241108816,6.54514931991788,6.76768582441377,5.8335144536554,5.83169708765295,7.44134682049061,6.84786069194212,5.56501016454058,6.16278907309475,6.85433927087583,6.52558026196926,5.92555437377157,6.54703586442108,5.31016027138649,5.36889462108994,6.62236736312215,6.22712361117257
"TFPI",4.20960026388679,-0.348616973963166,4.00324914389019,-9.96578428466209,-9.96578428466209,3.68303113122354,4.46579562907872,3.52163811745468,1.83994064944594,2.69949313841505,2.3606738937894,6.21471223133948,4.58515410074178,2.43473519356628,3.56067565559876,2.32542524374463,3.66882055436685,-0.170508702448578,3.20977812911797,5.29297937710945,-9.96578428466209,3.58248597669071,4.24112736799133,3.62269585444443,1.52372846840599,2.2914706362365,5.79239342970934,3.83576149964116,2.84834593455989,6.11538076664072,2.25318456767725,4.22203557226021,2.79389083054653,3.99998841550905,2.97056953925752,2.9517228315557,2.27611643088585,3.31442642905912,2.63285248271333,6.15899679942781,2.99395431657978,-9.96578428466209,3.9943676165601,2.52612853524341,3.77695593232059,4.32418727675515,3.21997878398403,3.83501110718102,3.00607403740396,4.03313451211696,6.00293138968566,5.31955739911378,5.2159034983476,1.07113997310261,3.76079709035781,2.35093718738401,0.170941456301652,2.88172907831104,5.46272073587873,4.33164512154646,3.01004827385386,0.52628658032676,4.35574524014308,3.93343504859673,2.55252203771011,2.1045349880438,3.74925728305318,2.01922220677543,2.28493292590008,2.56986727260259,1.16312472524159,-0.782601458307863,3.29242104169946,3.11707198636746
"CD38",2.13765408988567,1.05904294882817,4.20626443015809,-9.96578428466209,-9.96578428466209,4.10698826426088,0.298521014136615,7.26868736144143,4.52831054708467,2.19881792559661,3.21927120417232,-9.96578428466209,4.63194639399498,2.20249092653104,3.61049062699386,0.823452514176363,6.78947970029991,-0.0551563895670453,-9.96578428466209,3.40011844867167,-9.96578428466209,-2.52306008958781,2.54752680762197,1.59839319546565,-0.861173430435706,-0.573839384589229,5.19541427760664,3.15283680073867,3.330889761143,1.5567475906415,1.87671146863629,1.6144503561734,3.90954573413155,2.420120812282,2.2989113548558,2.83626115352274,1.27641424850575,1.33757244369997,0.659528711893037,1.47162794473925,1.66057223990516,0.837816352440378,2.79484733631995,3.14324419450882,-9.96578428466209,2.74541695332768,1.7521034611256,2.6645840772021,0.0300281930883985,1.61520475637858,3.56596691070709,1.35518910897276,0.524155873715463,0.52645902442088,4.32313452975411,-0.659038418183189,6.1214249484505,4.5226059011062,3.82398924120163,4.97425299034749,2.53745816618973,-0.280317247026167,5.18387784890222,4.01688597235446,0.933635604339253,2.52353474705872,0.730429076528578,4.23610204775473,2.07282658473846,3.39065351491791,1.1125216601072,-1.05510301049149,2.4510650877019,2.52145210718845
"COPZ2",6.49674497768813,3.53652199262512,5.2474076868728,5.29127027416885,4.40168059198796,3.68629120683319,4.36681555467257,2.82422104272067,4.46614447899501,1.88186585704982,2.99492448493237,5.10686451544773,4.12772527181035,4.81445330295113,5.08110320048416,5.05789680718471,3.69885459084309,3.62960181327341,4.61524580026301,2.67394877926769,-9.96578428466209,5.7786943336806,3.55258321411848,5.14511791304552,2.8994815268153,3.84664391405316,3.73740022238399,5.60855143248816,3.4398137053044,5.91410578812965,4.90766275932435,4.66072938376577,3.49569845878199,4.73000825632838,4.95853601563149,4.02083971866587,4.18604505803584,3.85192501382727,5.32093806173183,4.94334911198726,5.52370137128152,-9.96578428466209,4.50647018808233,3.89599735096147,5.69245876106739,5.33221083453459,3.91991322130113,4.59784062534617,3.81007709608629,1.96302714430153,5.47930608686331,3.86373782379397,2.40878146440867,3.46521509328227,5.35584110393921,3.17004368204667,3.97167238976267,5.45252191043875,5.84433795144693,4.98939337772986,3.23437641912844,3.38340376488897,2.55542621036216,4.66785486957885,3.54557839082647,2.94606588587316,5.27069325363774,3.10923126850937,7.39191842248977,4.54382406296717,3.43391587641648,4.35700404605842,3.05292493613304,4.76201323719998
"PON1",1.8158079554273,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,1.63079672159835,-1.16926225667484,-9.96578428466209,0.643611271471185,0.0236441796703426,-9.96578428466209,-9.96578428466209,-3.35071377570198,-3.94838253219861,-9.96578428466209,-9.96578428466209,-2.52636770483642,-9.96578428466209,-9.96578428466209,-9.96578428466209,0.170345684272373,-9.96578428466209,-1.67050203083993,-2.96794139728205,-3.72668648949289,-9.96578428466209,-0.214883848085814,-0.923901727139544,-2.6386030604646,1.17335138533466,-2.40390050127884,-9.96578428466209,-9.96578428466209,-4.1026459433483,-2.10525253038798,1.70650057063,-1.0226346050648,1.53825748604637,-9.96578428466209,1.12288417805088,-9.96578428466209,0.508976348078897,-9.96578428466209,-9.96578428466209,0.400017600280779,-1.82815551538728,-1.07901834382694,-0.337293430538929,-1.70249124924847,-9.96578428466209,-0.665452714150307,1.60163028861781,-2.39765792252495,-9.96578428466209,-9.96578428466209,-9.96578428466209,-9.96578428466209,-1.62561047346893,-3.79462258978061,-0.643227660543296,-1.69243753404583,0.663767241207868,-3.38422456053858,-1.47119917716738,-4.34197555414027,-1.09742545388412,-9.96578428466209,-9.96578428466209,0.0782226741598864,-1.98932129769968,0.697673435752353,0.039607085891075,-9.96578428466209
"ITGAL",4.71090889538882,2.91587630939875,5.41341351011443,-9.96578428466209,1.92172804553663,6.58938911301801,5.18191002900548,9.46090600661325,6.98286508216433,4.69759157018331,5.65463084911603,5.69422570358414,6.57824684349032,6.21813240326882,6.904741353516,5.27584690071958,7.05107675380692,3.31986427405147,0.466128126942428,6.44600350054444,-9.96578428466209,1.42335768471039,6.37258035983635,3.98320089030744,2.00597862607856,4.6507488072247,6.8627691222671,6.63119532025312,4.66213015337066,3.65105321038051,3.18824507803532,3.35487730253275,5.26983447366658,5.13460508920371,1.00235675794686,5.58005099178202,4.04431463711444,5.56638484571598,4.63595302342659,7.07449371140032,4.8901603954389,1.19781357671639,6.75949871613488,6.70191711489098,3.7088635027262,5.49541866133214,3.37109712273364,4.37051254974544,3.26142573653708,5.23322435785871,6.89852577363177,3.79179304952527,3.06075936455868,3.49872921958409,5.9108061161603,3.20013243853811,6.83500794831644,6.67237993211927,6.1016480463073,6.81063423586006,4.50188772444286,3.37628001486005,8.17477635672982,6.73018689273755,3.96399944716444,5.52407268826962,5.09264117759404,6.49573575662008,-0.0296655862343777,6.14419497909495,3.04950746040654,2.02971234912479,5.41562299812295,5.06907204614799
