"Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"PredictIO_Bareche",-0.738703355152308,0.148942568241113,-1.03062542466979,-0.446781285634827,7.06194542604832e-07,0,0.493351064706644,1.76548635651208e-05
"PassON_Du",-2.47882438042873,0.622660950546103,-3.69921741807857,-1.25843134277889,6.86207852844142e-05,0.267144798631073,0.224709981763495,0.000857759816055178
"MHC-II_Liu",-1.21729848021238,0.314866501507003,-1.83442548310423,-0.600171477320523,0.000110599541569323,0,0.459210033153614,0.000921662846411022
"CCL5-CXCL9_Dangaj",-0.779418701682051,0.220612126814161,-1.21181052479059,-0.347026878573513,0.000410900245010418,0,0.416212513303108,0.00256812653131511
"TUMOR-VASCULATURE-UP_Lu",1.16742668435214,0.360727116711512,0.4604145273506,1.87443884135368,0.00121083560561303,0.138898151449505,0.323833742101872,0.00605417802806515
"IRG_Ayers",-0.326076280690025,0.1058432767545,-0.53352529113455,-0.118627270245499,0.00206482517348623,0.0863028386886122,0.362778479218707,0.00860343822285929
"IPRES_Hugo",2.15028548358998,0.723108978259697,0.733017929303422,3.56755303787655,0.00294263995227925,0.0865850786749285,0.362573436397929,0.0105094284009973
"M1_Hwang",-0.979356658092907,0.357336178357025,-1.67972269804586,-0.278990618139957,0.00613056405281932,0.215586316021092,0.264960431582777,0.0191580126650604
"CYT_Davoli",-0.502007531742335,0.195873106181541,-0.885911765398145,-0.118103298086525,0.0103795304934061,0.30242677104767,0.197276459099971,0.0220631265539575
"IFN_Ayers",-0.279439842499337,0.109300299500634,-0.493664493020021,-0.0652151919786524,0.0105693188750916,0.103241830912121,0.350393700629643,0.0220631265539575
"Inflammatory_Thompson",-0.573112912938266,0.221468133558724,-1.00718247843667,-0.13904334743986,0.00965939861249369,0.307243604659389,0.193556549704092,0.0220631265539575
"TIS_Damotte",-0.546852573284052,0.213954051758175,-0.966194809076494,-0.12751033749161,0.0105903007458996,0.290499113228219,0.206519467187056,0.0220631265539575
"Teff_McDermott",-0.456629154985375,0.194392848008708,-0.837632135934611,-0.0756261740361396,0.0188238144835616,0.210722071053479,0.26874448694372,0.035923754585516
"Teff-IFNG_Fehrenbacher",-0.484723497677107,0.208559215324761,-0.893492048357572,-0.0759549469966424,0.020117302567889,0.361895715389762,0.152157233270999,0.035923754585516
"MHC-I_Liu",-0.698208554919925,0.307589795640644,-1.30107347638762,-0.0953436334522273,0.0232115839275683,0,0.437841508152812,0.0362680998868255
"CYT_Rooney",-0.440024487430325,0.193060348454734,-0.818415817244357,-0.0616331576162928,0.0226547663235286,0.386589610464641,0.134165653421832,0.0362680998868255
"VIGex_Hernando-Calvo",-0.347003966051696,0.188410854673681,-0.71628245550852,0.0222745234051284,0.0655130670746869,0.0214468090576409,0.408621754407379,0.096342745698069
"EMT_Thompson",-0.306224214174914,0.247166372621539,-0.790661402702537,0.178212974352708,0.215367856028026,0.164753450634901,0.304209567448952,0.299122022261147
"PDL1_Nishino",-0.225413262252548,0.20301804602326,-0.623321320669832,0.172494796164736,0.266864838256345,0.284691881667577,0.211033217764347,0.351137945074139
"Chemokine_Messina",-0.197298912727916,0.251810841192438,-0.69083909238183,0.296241266925998,0.433321621577508,0.235189296755959,0.264496549992246,0.515859073306557
"EMTstroma_Wang",0.213124078481036,0.271058334251145,-0.318140494360628,0.744388651322699,0.431711394198347,0.322780352486029,0.18162034876286,0.515859073306557
"IPSOV_Shen",-0.702707492751136,1.06337627852727,-2.78688670067881,1.38147171517654,0.508723424266327,0,0.860201740557703,0.578094800302644
"IPS_Charoentong",-0.0530677177080974,0.0949339909429631,-0.239134920864957,0.132999485448762,0.576164475190559,0.237155540530683,0.248138900868786,0.626265733902781
"IMS_Cui",0.152574191337975,0.457819543367774,-0.744735625081436,1.04988400775739,0.738935969246824,0.697691947998162,0.00294810327147816,0.769724967965442
"COX-IS_Bonavita",-0.00400337421794749,0.195611687605071,-0.387395236878987,0.379388488443092,0.983671693922591,0.523614867536602,0.0499403850852481,0.983671693922591
