"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR6","OS","IMS_Cui","ICB_small_Liu",-1.433,0.632,74,0.0234211758937522,"Melanoma","PD-1/PD-L1",0.203293678759345
"HR15","OS","PassON_Du","ICB_small_Liu",-3.416,1.526,74,0.0252028078082569,"Melanoma","PD-1/PD-L1",0.203293678759345
"HR17","OS","PredictIO_Bareche","ICB_small_Liu",-0.746,0.336,74,0.0265165667946971,"Melanoma","PD-1/PD-L1",0.203293678759345
"HR14","OS","MHC-II_Liu","ICB_small_Liu",-1.189,0.656,74,0.0696242744437403,"Melanoma","PD-1/PD-L1",0.400339578051507
"HR4","OS","EMTstroma_Wang","ICB_small_Liu",-0.744,0.512,74,0.146568256605713,"Melanoma","PD-1/PD-L1",0.674213980386279
"HR","OS","COX-IS_Bonavita","ICB_small_Liu",-0.139,0.139,74,0.317581378366,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR1","OS","CYT_Davoli","ICB_small_Liu",0.094,0.367,74,0.798075828839174,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR2","OS","CYT_Rooney","ICB_small_Liu",0.031,0.34,74,0.927416912060882,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR3","OS","EMT_Thompson","ICB_small_Liu",0.064,0.566,74,0.90987203401888,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR5","OS","IFN_Ayers","ICB_small_Liu",-0.16,0.219,74,0.464897454738068,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR7","OS","Inflammatory_Thompson","ICB_small_Liu",-0.019,0.368,74,0.959476106752756,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR8","OS","IPRES_Hugo","ICB_small_Liu",0.223,1.762,74,0.899256685283034,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR9","OS","IPS_Charoentong","ICB_small_Liu",0.019,0.175,74,0.91468577749196,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR10","OS","IPSOV_Shen","ICB_small_Liu",1.594,2.328,74,0.493688998830088,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR11","OS","IRG_Ayers","ICB_small_Liu",-0.162,0.23,74,0.482766929006628,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR12","OS","M1_Hwang","ICB_small_Liu",-0.443,0.833,74,0.594557734547546,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR13","OS","MHC-I_Liu","ICB_small_Liu",0.063,0.578,74,0.913293584264196,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR16","OS","PDL1_Nishino","ICB_small_Liu",0.049,0.368,74,0.894329025982025,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR18","OS","Teff_McDermott","ICB_small_Liu",0.289,0.371,74,0.436112983710003,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR19","OS","Teff-IFNG_Fehrenbacher","ICB_small_Liu",0.127,0.362,74,0.724828020413832,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR20","OS","TIS_Damotte","ICB_small_Liu",-0.086,0.38,74,0.820179225276842,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR21","OS","TUMOR-VASCULATURE-UP_Lu","ICB_small_Liu",0.307,0.93,74,0.741632373975267,"Melanoma","PD-1/PD-L1",0.959476106752756
"HR22","OS","VIGex_Hernando-Calvo","ICB_small_Liu",0.058,0.376,74,0.877704718826641,"Melanoma","PD-1/PD-L1",0.959476106752756
