"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR14","OS","M1_Hwang","ICB_small_Riaz",-3.968,1.461,23,0.00661205384651972,"Melanoma","PD-1/PD-L1",0.165301346162993
"HR2","OS","COX-IS_Bonavita","ICB_small_Riaz",1.07,0.535,23,0.0455507261920176,"Melanoma","PD-1/PD-L1",0.387513411593935
"HR5","OS","EMT_Thompson","ICB_small_Riaz",-1.72,0.864,23,0.0465016093912722,"Melanoma","PD-1/PD-L1",0.387513411593935
"HR","OS","CCL5-CXCL9_Dangaj","ICB_small_Riaz",-0.695,0.606,23,0.251900850818223,"Melanoma","PD-1/PD-L1",0.460049469624447
"HR1","OS","Chemokine_Messina","ICB_small_Riaz",-0.65,0.597,23,0.276029681774668,"Melanoma","PD-1/PD-L1",0.460049469624447
"HR3","OS","CYT_Davoli","ICB_small_Riaz",-0.574,0.524,23,0.272796625420929,"Melanoma","PD-1/PD-L1",0.460049469624447
"HR9","OS","Inflammatory_Thompson","ICB_small_Riaz",-0.721,0.581,23,0.214716304593529,"Melanoma","PD-1/PD-L1",0.460049469624447
"HR13","OS","IRG_Ayers","ICB_small_Riaz",-0.378,0.333,23,0.256112098509417,"Melanoma","PD-1/PD-L1",0.460049469624447
"HR15","OS","MHC-I_Liu","ICB_small_Riaz",-1.514,1.039,23,0.145134442129423,"Melanoma","PD-1/PD-L1",0.460049469624447
"HR16","OS","MHC-II_Liu","ICB_small_Riaz",-1.474,1.192,23,0.216133809581582,"Melanoma","PD-1/PD-L1",0.460049469624447
"HR17","OS","PassON_Du","ICB_small_Riaz",-3.396,2.115,23,0.108320722887672,"Melanoma","PD-1/PD-L1",0.460049469624447
"HR19","OS","PredictIO_Bareche","ICB_small_Riaz",-0.582,0.509,23,0.252840641732953,"Melanoma","PD-1/PD-L1",0.460049469624447
"HR20","OS","Teff_McDermott","ICB_small_Riaz",-0.679,0.57,23,0.233584780170881,"Melanoma","PD-1/PD-L1",0.460049469624447
"HR21","OS","Teff-IFNG_Fehrenbacher","ICB_small_Riaz",-0.867,0.564,23,0.124284675117656,"Melanoma","PD-1/PD-L1",0.460049469624447
"HR22","OS","TIS_Damotte","ICB_small_Riaz",-0.708,0.569,23,0.213396995167766,"Melanoma","PD-1/PD-L1",0.460049469624447
"HR12","OS","IPSOV_Shen","ICB_small_Riaz",-4.464,4.441,23,0.314757578978346,"Melanoma","PD-1/PD-L1",0.491808717153666
"HR24","OS","VIGex_Hernando-Calvo","ICB_small_Riaz",-0.527,0.57,23,0.355571479599791,"Melanoma","PD-1/PD-L1",0.522899234705575
"HR7","OS","IFN_Ayers","ICB_small_Riaz",-0.266,0.333,23,0.423735315089033,"Melanoma","PD-1/PD-L1",0.58852127095699
"HR4","OS","CYT_Rooney","ICB_small_Riaz",-0.356,0.501,23,0.47764120012058,"Melanoma","PD-1/PD-L1",0.628475263316553
"HR8","OS","IMS_Cui","ICB_small_Riaz",-0.423,0.703,23,0.546837847945598,"Melanoma","PD-1/PD-L1",0.683547309931998
"HR18","OS","PDL1_Nishino","ICB_small_Riaz",-0.224,0.529,23,0.672366798025269,"Melanoma","PD-1/PD-L1",0.800436664315797
"HR10","OS","IPRES_Hugo","ICB_small_Riaz",-0.65,2.456,23,0.791427967741486,"Melanoma","PD-1/PD-L1",0.885403150468855
"HR11","OS","IPS_Charoentong","ICB_small_Riaz",-0.064,0.272,23,0.814570898431347,"Melanoma","PD-1/PD-L1",0.885403150468855
"HR6","OS","EMTstroma_Wang","ICB_small_Riaz",0.015,0.672,23,0.982669051809804,"Melanoma","PD-1/PD-L1",0.983990017605152
"HR23","OS","TUMOR-VASCULATURE-UP_Lu","ICB_small_Riaz",-0.024,1.192,23,0.983990017605152,"Melanoma","PD-1/PD-L1",0.983990017605152
