"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR4","PFS","5","ICB_small_Padron",-1.128,0.316,45,0.000356701949838807,"Pancreas","PD-1/PD-L1",0.00823064712157514
"HR21","PFS","22","ICB_small_Padron",-1.221,0.358,45,0.000658451769726011,"Pancreas","PD-1/PD-L1",0.00823064712157514
"HR3","PFS","4","ICB_small_Padron",-1.005,0.321,45,0.00175502879479818,"Pancreas","PD-1/PD-L1",0.0146252399566515
"HR","PFS","1","ICB_small_Padron",-1.103,0.38,45,0.0037218285901622,"Pancreas","PD-1/PD-L1",0.0232614286885137
"HR9","PFS","10","ICB_small_Padron",-1.108,0.4,45,0.00560478812124364,"Pancreas","PD-1/PD-L1",0.0233532838385152
"HR20","PFS","21","ICB_small_Padron",-0.942,0.338,45,0.00527021645626928,"Pancreas","PD-1/PD-L1",0.0233532838385152
"HR22","PFS","23","ICB_small_Padron",-0.906,0.363,45,0.0124687901415087,"Pancreas","PD-1/PD-L1",0.0445313933625311
"HR19","PFS","20","ICB_small_Padron",-0.645,0.276,45,0.0193696705025115,"Pancreas","PD-1/PD-L1",0.0605302203203486
"HR8","PFS","9","ICB_small_Padron",0.867,0.416,45,0.0373611146811169,"Pancreas","PD-1/PD-L1",0.0849116242752658
"HR17","PFS","18","ICB_small_Padron",-1.47,0.698,45,0.035252850936807,"Pancreas","PD-1/PD-L1",0.0849116242752658
"HR24","PFS","25","ICB_small_Padron",-0.846,0.393,45,0.0315134713549096,"Pancreas","PD-1/PD-L1",0.0849116242752658
"HR16","PFS","17","ICB_small_Padron",-1.474,0.74,45,0.0464282412209956,"Pancreas","PD-1/PD-L1",0.0967255025437408
"HR10","PFS","11","ICB_small_Padron",2.246,1.19,45,0.0590635268489211,"Pancreas","PD-1/PD-L1",0.113583705478695
"HR11","PFS","12","ICB_small_Padron",-0.321,0.179,45,0.0729883836596346,"Pancreas","PD-1/PD-L1",0.130336399392205
"HR13","PFS","14","ICB_small_Padron",-0.358,0.205,45,0.0809746181876312,"Pancreas","PD-1/PD-L1",0.134957696979385
"HR7","PFS","8","ICB_small_Padron",-0.364,0.218,45,0.0948212985612446,"Pancreas","PD-1/PD-L1",0.143660508255137
"HR14","PFS","15","ICB_small_Padron",-1.428,0.871,45,0.101093478847514,"Pancreas","PD-1/PD-L1",0.143660508255137
"HR23","PFS","24","ICB_small_Padron",0.819,0.503,45,0.103435565943698,"Pancreas","PD-1/PD-L1",0.143660508255137
"HR15","PFS","16","ICB_small_Padron",-0.851,0.652,45,0.191784310338449,"Pancreas","PD-1/PD-L1",0.252347776761118
"HR1","PFS","2","ICB_small_Padron",-0.493,0.407,45,0.225851600953028,"Pancreas","PD-1/PD-L1",0.282314501191285
"HR6","PFS","7","ICB_small_Padron",0.45,0.397,45,0.256323887616247,"Pancreas","PD-1/PD-L1",0.305147485257437
"HR5","PFS","6","ICB_small_Padron",-0.43,0.551,45,0.435289946806931,"Pancreas","PD-1/PD-L1",0.494647666826057
"HR12","PFS","13","ICB_small_Padron",-1.399,1.974,45,0.478590384764219,"Pancreas","PD-1/PD-L1",0.520206939961108
"HR18","PFS","19","ICB_small_Padron",-0.219,0.343,45,0.523318328987259,"Pancreas","PD-1/PD-L1",0.545123259361728
"HR2","PFS","3","ICB_small_Padron",-0.097,0.23,45,0.672143521361784,"Pancreas","PD-1/PD-L1",0.672143521361784
