"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR19","PFS","PredictIO_Bareche","ICB_small_Van_Allen",-0.938,0.336,42,0.00528613792993476,"Melanoma","CTLA4",0.132153448248369
"HR13","PFS","IRG_Ayers","ICB_small_Van_Allen",-0.589,0.239,42,0.0136839387519681,"Melanoma","CTLA4",0.171049234399601
"HR2","PFS","COX-IS_Bonavita","ICB_small_Van_Allen",-0.35,0.244,42,0.15125817504335,"Melanoma","CTLA4",0.378145437608375
"HR3","PFS","CYT_Davoli","ICB_small_Van_Allen",-0.532,0.349,42,0.126888420686191,"Melanoma","CTLA4",0.378145437608375
"HR4","PFS","CYT_Rooney","ICB_small_Van_Allen",-0.541,0.334,42,0.105630763072709,"Melanoma","CTLA4",0.378145437608375
"HR7","PFS","IFN_Ayers","ICB_small_Van_Allen",-0.472,0.244,42,0.0533564448867032,"Melanoma","CTLA4",0.378145437608375
"HR9","PFS","Inflammatory_Thompson","ICB_small_Van_Allen",-0.605,0.405,42,0.135710624861247,"Melanoma","CTLA4",0.378145437608375
"HR15","PFS","MHC-I_Liu","ICB_small_Van_Allen",-0.932,0.635,42,0.141851405709545,"Melanoma","CTLA4",0.378145437608375
"HR22","PFS","TIS_Damotte","ICB_small_Van_Allen",-0.757,0.431,42,0.0787527621314223,"Melanoma","CTLA4",0.378145437608375
"HR23","PFS","TUMOR-VASCULATURE-UP_Lu","ICB_small_Van_Allen",1.395,0.877,42,0.111994790889198,"Melanoma","CTLA4",0.378145437608375
"HR21","PFS","Teff-IFNG_Fehrenbacher","ICB_small_Van_Allen",-0.432,0.325,42,0.182608711473669,"Melanoma","CTLA4",0.415019798803793
"HR1","PFS","Chemokine_Messina","ICB_small_Van_Allen",-0.48,0.378,42,0.20395300692498,"Melanoma","CTLA4",0.424902097760375
"HR","PFS","CCL5-CXCL9_Dangaj","ICB_small_Van_Allen",-0.469,0.404,42,0.245693627625134,"Melanoma","CTLA4",0.461112375945352
"HR10","PFS","IPRES_Hugo","ICB_small_Van_Allen",1.439,1.323,42,0.276667425567211,"Melanoma","CTLA4",0.461112375945352
"HR16","PFS","MHC-II_Liu","ICB_small_Van_Allen",-0.91,0.832,42,0.274034624366676,"Melanoma","CTLA4",0.461112375945352
"HR20","PFS","Teff_McDermott","ICB_small_Van_Allen",-0.315,0.322,42,0.327293672479639,"Melanoma","CTLA4",0.481314224234763
"HR24","PFS","VIGex_Hernando-Calvo","ICB_small_Van_Allen",-0.339,0.341,42,0.320344871445924,"Melanoma","CTLA4",0.481314224234763
"HR18","PFS","PDL1_Nishino","ICB_small_Van_Allen",-0.332,0.356,42,0.350146004853418,"Melanoma","CTLA4",0.486313895629747
"HR14","PFS","M1_Hwang","ICB_small_Van_Allen",-0.595,0.787,42,0.450121156258327,"Melanoma","CTLA4",0.562651445322909
"HR17","PFS","PassON_Du","ICB_small_Van_Allen",-0.99,1.265,42,0.434168124491608,"Melanoma","CTLA4",0.562651445322909
"HR12","PFS","IPSOV_Shen","ICB_small_Van_Allen",-0.837,1.879,42,0.656114804620556,"Melanoma","CTLA4",0.78108905311971
"HR6","PFS","EMTstroma_Wang","ICB_small_Van_Allen",0.185,0.509,42,0.71697851839119,"Melanoma","CTLA4",0.814748316353625
"HR5","PFS","EMT_Thompson","ICB_small_Van_Allen",0.146,0.501,42,0.770388299134083,"Melanoma","CTLA4",0.816554390795283
"HR8","PFS","IMS_Cui","ICB_small_Van_Allen",0.117,0.504,42,0.816554390795283,"Melanoma","CTLA4",0.816554390795283
"HR11","PFS","IPS_Charoentong","ICB_small_Van_Allen",0.046,0.174,42,0.79085206917182,"Melanoma","CTLA4",0.816554390795283
