"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR19","OS","PredictIO_Bareche","ICB_small_Van_Allen",-1.349,0.353,42,0.000132995278988582,"Melanoma","CTLA4",0.00332488197471454
"HR3","OS","CYT_Davoli","ICB_small_Van_Allen",-1.1,0.379,42,0.00374755190635805,"Melanoma","CTLA4",0.0120754803648112
"HR4","OS","CYT_Rooney","ICB_small_Van_Allen",-1.022,0.358,42,0.00429067929156438,"Melanoma","CTLA4",0.0120754803648112
"HR9","OS","Inflammatory_Thompson","ICB_small_Van_Allen",-1.327,0.465,42,0.00434717293133204,"Melanoma","CTLA4",0.0120754803648112
"HR13","OS","IRG_Ayers","ICB_small_Van_Allen",-0.657,0.212,42,0.00193618256115204,"Melanoma","CTLA4",0.0120754803648112
"HR16","OS","MHC-II_Liu","ICB_small_Van_Allen",-2.753,0.954,42,0.00391469141787081,"Melanoma","CTLA4",0.0120754803648112
"HR17","OS","PassON_Du","ICB_small_Van_Allen",-4.889,1.53,42,0.00139654253834959,"Melanoma","CTLA4",0.0120754803648112
"HR22","OS","TIS_Damotte","ICB_small_Van_Allen",-1.516,0.497,42,0.00228205300155469,"Melanoma","CTLA4",0.0120754803648112
"HR23","OS","TUMOR-VASCULATURE-UP_Lu","ICB_small_Van_Allen",3.149,1.065,42,0.00311974904207285,"Melanoma","CTLA4",0.0120754803648112
"HR","OS","CCL5-CXCL9_Dangaj","ICB_small_Van_Allen",-1.213,0.442,42,0.00609470754554874,"Melanoma","CTLA4",0.0142555232453367
"HR7","OS","IFN_Ayers","ICB_small_Van_Allen",-0.598,0.219,42,0.00627243022794816,"Melanoma","CTLA4",0.0142555232453367
"HR10","OS","IPRES_Hugo","ICB_small_Van_Allen",3.907,1.449,42,0.00700485657126123,"Melanoma","CTLA4",0.0145934511901276
"HR18","OS","PDL1_Nishino","ICB_small_Van_Allen",-1.065,0.441,42,0.0156596957733515,"Melanoma","CTLA4",0.0279637424524134
"HR20","OS","Teff_McDermott","ICB_small_Van_Allen",-0.911,0.375,42,0.0152558647881557,"Melanoma","CTLA4",0.0279637424524134
"HR21","OS","Teff-IFNG_Fehrenbacher","ICB_small_Van_Allen",-0.864,0.364,42,0.0176748725510296,"Melanoma","CTLA4",0.0294581209183827
"HR15","OS","MHC-I_Liu","ICB_small_Van_Allen",-1.641,0.73,42,0.0246457948849845,"Melanoma","CTLA4",0.0385090545077883
"HR24","OS","VIGex_Hernando-Calvo","ICB_small_Van_Allen",-0.793,0.384,42,0.039001721660531,"Melanoma","CTLA4",0.0573554730301927
"HR1","OS","Chemokine_Messina","ICB_small_Van_Allen",-0.851,0.42,42,0.0425803291610431,"Melanoma","CTLA4",0.0591393460570043
"HR2","OS","COX-IS_Bonavita","ICB_small_Van_Allen",-0.676,0.339,42,0.0461026489608599,"Melanoma","CTLA4",0.0606613802116578
"HR14","OS","M1_Hwang","ICB_small_Van_Allen",-1.309,0.873,42,0.133566056044895,"Melanoma","CTLA4",0.166957570056118
"HR12","OS","IPSOV_Shen","ICB_small_Van_Allen",-2.089,2.105,42,0.320948042080269,"Melanoma","CTLA4",0.382081002476511
"HR6","OS","EMTstroma_Wang","ICB_small_Van_Allen",0.348,0.537,42,0.516466397549841,"Melanoma","CTLA4",0.561376519075914
"HR8","OS","IMS_Cui","ICB_small_Van_Allen",0.389,0.58,42,0.502501010109614,"Melanoma","CTLA4",0.561376519075914
"HR5","OS","EMT_Thompson","ICB_small_Van_Allen",-0.034,0.554,42,0.951455534529615,"Melanoma","CTLA4",0.959031068534067
"HR11","OS","IPS_Charoentong","ICB_small_Van_Allen",-0.01,0.188,42,0.959031068534067,"Melanoma","CTLA4",0.959031068534067
