"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"OS","TSPAN6","ICB_Ravi__Lung__PD-L1",0.0452507956472319,0.124299051170413,125,0.715822318404252,"Lung","PD-L1"
"OS","TNMD","ICB_Ravi__Lung__PD-L1",0.00397270688179734,0.11831467963072,125,0.973214093351206,"Lung","PD-L1"
"OS","DPM1","ICB_Ravi__Lung__PD-L1",0.0241738742165448,0.11577267120535,125,0.834600726840048,"Lung","PD-L1"
"OS","SCYL3","ICB_Ravi__Lung__PD-L1",-0.0365742340399063,0.110135802756109,125,0.739826543589867,"Lung","PD-L1"
"OS","C1orf112","ICB_Ravi__Lung__PD-L1",0.0569042422897498,0.125427593745746,125,0.650057720229966,"Lung","PD-L1"
"OS","FGR","ICB_Ravi__Lung__PD-L1",-0.0986600241541616,0.124761214287601,125,0.429066062125832,"Lung","PD-L1"
"OS","CFH","ICB_Ravi__Lung__PD-L1",0.0695788798750037,0.13582677725659,125,0.608467742434946,"Lung","PD-L1"
"OS","FUCA2","ICB_Ravi__Lung__PD-L1",0.0388118706167363,0.120543997400268,125,0.747473412181679,"Lung","PD-L1"
"OS","GCLC","ICB_Ravi__Lung__PD-L1",0.0867688927136573,0.118848863565369,125,0.465342754427204,"Lung","PD-L1"
"OS","NFYA","ICB_Ravi__Lung__PD-L1",0.00511141480218286,0.110450388607227,125,0.963088733738501,"Lung","PD-L1"
"OS","STPG1","ICB_Ravi__Lung__PD-L1",0.0561988993600942,0.128271910133256,125,0.661296979559123,"Lung","PD-L1"
"OS","NIPAL3","ICB_Ravi__Lung__PD-L1",-0.0436918344440826,0.0984340446902269,125,0.657137199527452,"Lung","PD-L1"
"OS","LAS1L","ICB_Ravi__Lung__PD-L1",0.0492757395903124,0.126396224475273,125,0.69664646521808,"Lung","PD-L1"
"OS","ENPP4","ICB_Ravi__Lung__PD-L1",-0.0480790858918524,0.099778529427096,125,0.629906800666701,"Lung","PD-L1"
"OS","SEMA3F","ICB_Ravi__Lung__PD-L1",0.156440063051159,0.140950832428977,125,0.267045990963815,"Lung","PD-L1"
"OS","CFTR","ICB_Ravi__Lung__PD-L1",0.223346321890981,0.133377252303665,125,0.0940233748823635,"Lung","PD-L1"
