"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR17","PFS","PredictIO_Bareche","ICB_small_Liu",-0.804,0.281,74,0.00428643609212418,"Melanoma","PD-1/PD-L1",0.0985880301188561
"HR15","PFS","PassON_Du","ICB_small_Liu",-3.207,1.252,74,0.010412025008164,"Melanoma","PD-1/PD-L1",0.119738287593886
"HR","PFS","COX-IS_Bonavita","ICB_small_Liu",-0.264,0.15,74,0.0786686403932625,"Melanoma","PD-1/PD-L1",0.603126243015012
"HR6","PFS","IMS_Cui","ICB_small_Liu",-0.557,0.487,74,0.25251640125092,"Melanoma","PD-1/PD-L1",0.750264443546299
"HR8","PFS","IPRES_Hugo","ICB_small_Liu",1.636,1.399,74,0.242241271299871,"Melanoma","PD-1/PD-L1",0.750264443546299
"HR10","PFS","IPSOV_Shen","ICB_small_Liu",-2.306,2.051,74,0.260961545581321,"Melanoma","PD-1/PD-L1",0.750264443546299
"HR14","PFS","MHC-II_Liu","ICB_small_Liu",-0.743,0.53,74,0.160546312690213,"Melanoma","PD-1/PD-L1",0.750264443546299
"HR21","PFS","TUMOR-VASCULATURE-UP_Lu","ICB_small_Liu",0.859,0.763,74,0.26069668462454,"Melanoma","PD-1/PD-L1",0.750264443546299
"HR11","PFS","IRG_Ayers","ICB_small_Liu",-0.194,0.188,74,0.302704167373764,"Melanoma","PD-1/PD-L1",0.773577316621842
"HR1","PFS","CYT_Davoli","ICB_small_Liu",-0.145,0.3,74,0.627371816886479,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR2","PFS","CYT_Rooney","ICB_small_Liu",-0.085,0.274,74,0.756301099382944,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR3","PFS","EMT_Thompson","ICB_small_Liu",0.307,0.484,74,0.526439679456384,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR4","PFS","EMTstroma_Wang","ICB_small_Liu",-0.36,0.398,74,0.365395681959725,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR5","PFS","IFN_Ayers","ICB_small_Liu",-0.154,0.182,74,0.398724760954291,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR7","PFS","Inflammatory_Thompson","ICB_small_Liu",-0.139,0.308,74,0.652887781430475,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR9","PFS","IPS_Charoentong","ICB_small_Liu",0.092,0.139,74,0.508006751356242,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR12","PFS","M1_Hwang","ICB_small_Liu",-0.224,0.689,74,0.744623260915285,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR13","PFS","MHC-I_Liu","ICB_small_Liu",-0.243,0.503,74,0.62915666335003,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR16","PFS","PDL1_Nishino","ICB_small_Liu",-0.111,0.297,74,0.707389434936513,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR19","PFS","Teff-IFNG_Fehrenbacher","ICB_small_Liu",-0.113,0.299,74,0.705714690220008,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR20","PFS","TIS_Damotte","ICB_small_Liu",-0.19,0.316,74,0.547670952012702,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR22","PFS","VIGex_Hernando-Calvo","ICB_small_Liu",-0.124,0.311,74,0.690774358879716,"Melanoma","PD-1/PD-L1",0.790678422082168
"HR18","PFS","Teff_McDermott","ICB_small_Liu",-0.078,0.305,74,0.798311052661486,"Melanoma","PD-1/PD-L1",0.798311052661486
