"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"1","R vs NR","CCL5-CXCL9_Dangaj","ICB_small_Hugo",-0.356,0.811,27,0.660625277229216,"Melanoma","PD-1/PD-L1",0.86015876426745
"2","R vs NR","Chemokine_Messina","ICB_small_Hugo",0.251,0.916,27,0.783806964033005,"Melanoma","PD-1/PD-L1",0.93310352861072
"3","R vs NR","COX-IS_Bonavita","ICB_small_Hugo",0.411,0.444,27,0.355276593280805,"Melanoma","PD-1/PD-L1",0.540066553395386
"4","R vs NR","CYT_Davoli","ICB_small_Hugo",-0.589,0.731,27,0.420590291921303,"Melanoma","PD-1/PD-L1",0.584153183224033
"5","R vs NR","CYT_Rooney","ICB_small_Hugo",0.05,0.708,27,0.943873115976476,"Melanoma","PD-1/PD-L1",0.983201162475496
"6","R vs NR","EMT_Thompson","ICB_small_Hugo",0.018,0.97,27,0.985213484848936,"Melanoma","PD-1/PD-L1",0.985213484848936
"7","R vs NR","EMTstroma_Wang","ICB_small_Hugo",1.877,1.111,27,0.0909765994817183,"Melanoma","PD-1/PD-L1",0.324916426720423
"8","R vs NR","IFN_Ayers","ICB_small_Hugo",0.087,0.44,27,0.842611473747575,"Melanoma","PD-1/PD-L1",0.957513038349517
"9","R vs NR","IMS_Cui","ICB_small_Hugo",5.162,1.707,27,0.00249663249817483,"Melanoma","PD-1/PD-L1",0.0624158124543707
"10","R vs NR","Inflammatory_Thompson","ICB_small_Hugo",-0.803,0.835,27,0.336078584054046,"Melanoma","PD-1/PD-L1",0.540066553395386
"11","R vs NR","IPRES_Hugo","ICB_small_Hugo",5.821,3.061,27,0.0571961309325851,"Melanoma","PD-1/PD-L1",0.238317212219104
"12","R vs NR","IPS_Charoentong","ICB_small_Hugo",-1.128,0.585,27,0.0538708583035974,"Melanoma","PD-1/PD-L1",0.238317212219104
"13","R vs NR","IPSOV_Shen","ICB_small_Hugo",-8.523,7.05,27,0.226677505537063,"Melanoma","PD-1/PD-L1",0.540066553395386
"14","R vs NR","IRG_Ayers","ICB_small_Hugo",0.063,0.452,27,0.88930704449812,"Melanoma","PD-1/PD-L1",0.966638091845783
"15","R vs NR","M1_Hwang","ICB_small_Hugo",-2.017,1.998,27,0.312644208252135,"Melanoma","PD-1/PD-L1",0.540066553395386
"16","R vs NR","MHC-I_Liu","ICB_small_Hugo",-3.537,1.813,27,0.0511049114694111,"Melanoma","PD-1/PD-L1",0.238317212219104
"17","R vs NR","MHC-II_Liu","ICB_small_Hugo",-2.197,1.501,27,0.143156998756959,"Melanoma","PD-1/PD-L1",0.447365621115497
"18","R vs NR","PassON_Du","ICB_small_Hugo",-7.249,3.216,27,0.0241929075732048,"Melanoma","PD-1/PD-L1",0.229101769787615
"19","R vs NR","PDL1_Nishino","ICB_small_Hugo",-0.76,0.728,27,0.296353434363044,"Melanoma","PD-1/PD-L1",0.540066553395386
"20","R vs NR","PredictIO_Bareche","ICB_small_Hugo",-0.681,0.678,27,0.315545588133046,"Melanoma","PD-1/PD-L1",0.540066553395386
"21","R vs NR","Teff_McDermott","ICB_small_Hugo",-0.883,0.841,27,0.294135473973199,"Melanoma","PD-1/PD-L1",0.540066553395386
"22","R vs NR","Teff-IFNG_Fehrenbacher","ICB_small_Hugo",-0.702,0.778,27,0.367245256308862,"Melanoma","PD-1/PD-L1",0.540066553395386
"23","R vs NR","TIS_Damotte","ICB_small_Hugo",-0.794,0.804,27,0.32347370982329,"Melanoma","PD-1/PD-L1",0.540066553395386
"24","R vs NR","TUMOR-VASCULATURE-UP_Lu","ICB_small_Hugo",4.81,2.182,27,0.0274922123745138,"Melanoma","PD-1/PD-L1",0.229101769787615
"25","R vs NR","VIGex_Hernando-Calvo","ICB_small_Hugo",-0.355,0.885,27,0.68812701141396,"Melanoma","PD-1/PD-L1",0.86015876426745
