"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","1","ICB_small_Miao",-0.56,0.518,33,0.279697969444978,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR1","OS","2","ICB_small_Miao",0.179,0.368,33,0.627484741449839,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR2","OS","3","ICB_small_Miao",0.739,0.895,33,0.409143189493556,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR3","OS","4","ICB_small_Miao",0.014,0.379,33,0.970137236658343,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR4","OS","5","ICB_small_Miao",0.065,0.351,33,0.853265800007014,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR5","OS","6","ICB_small_Miao",-0.251,0.615,33,0.683624565685704,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR6","OS","7","ICB_small_Miao",-0.208,0.549,33,0.704956765626887,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR7","OS","8","ICB_small_Miao",-0.273,0.346,33,0.429561267736584,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR8","OS","9","ICB_small_Miao",-0.424,0.755,33,0.574359708228172,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR9","OS","10","ICB_small_Miao",0,0.441,33,0.999512384057124,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR10","OS","11","ICB_small_Miao",0.667,1.786,33,0.708614633675388,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR11","OS","12","ICB_small_Miao",0.469,0.26,33,0.0706576742161868,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR12","OS","13","ICB_small_Miao",-1.904,4.013,33,0.635167564509193,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR13","OS","14","ICB_small_Miao",-0.145,0.332,33,0.663030142574587,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR14","OS","15","ICB_small_Miao",-0.148,0.686,33,0.82937601241073,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR15","OS","16","ICB_small_Miao",0.116,0.765,33,0.879160879717413,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR16","OS","17","ICB_small_Miao",-0.121,0.786,33,0.877832376686132,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR17","OS","18","ICB_small_Miao",0.398,1.293,33,0.758408894492787,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR18","OS","19","ICB_small_Miao",-0.025,0.47,33,0.957572094818642,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR19","OS","20","ICB_small_Miao",-0.303,0.408,33,0.45680231707022,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR20","OS","21","ICB_small_Miao",-0.033,0.427,33,0.937485036933265,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR21","OS","22","ICB_small_Miao",0.13,0.373,33,0.727773282699761,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR22","OS","23","ICB_small_Miao",0.075,0.461,33,0.871056836260549,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR23","OS","24","ICB_small_Miao",0.351,1.082,33,0.746028099874843,"Pancreas","PD-1/PD-L1",0.999512384057124
"HR24","OS","25","ICB_small_Miao",0.23,0.401,33,0.566406045612053,"Pancreas","PD-1/PD-L1",0.999512384057124
