"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"1","R vs NR","COX-IS_Bonavita","ICB_small_Nathanson",-0.225,0.435,24,0.604900075453137,"Melanoma","CTLA4",0.864521135747649
"2","R vs NR","CYT_Davoli","ICB_small_Nathanson",-0.249,0.784,24,0.750921442751823,"Melanoma","CTLA4",0.864521135747649
"3","R vs NR","CYT_Rooney","ICB_small_Nathanson",-0.551,0.749,24,0.461879172187944,"Melanoma","CTLA4",0.864521135747649
"4","R vs NR","EMT_Thompson","ICB_small_Nathanson",-1.861,1.317,24,0.157604667014293,"Melanoma","CTLA4",0.864521135747649
"5","R vs NR","EMTstroma_Wang","ICB_small_Nathanson",4.176,1.906,24,0.0284773625145652,"Melanoma","CTLA4",0.654979337835
"6","R vs NR","IFN_Ayers","ICB_small_Nathanson",-0.398,0.471,24,0.39733503226391,"Melanoma","CTLA4",0.864521135747649
"7","R vs NR","IMS_Cui","ICB_small_Nathanson",0.373,1.179,24,0.751757509345782,"Melanoma","CTLA4",0.864521135747649
"8","R vs NR","Inflammatory_Thompson","ICB_small_Nathanson",-0.433,0.811,24,0.593523451508609,"Melanoma","CTLA4",0.864521135747649
"9","R vs NR","IPRES_Hugo","ICB_small_Nathanson",3.002,3.492,24,0.390069369279923,"Melanoma","CTLA4",0.864521135747649
"10","R vs NR","IPS_Charoentong","ICB_small_Nathanson",-0.05,0.424,24,0.905938647100507,"Melanoma","CTLA4",0.905938647100507
"11","R vs NR","IPSOV_Shen","ICB_small_Nathanson",-1.616,4.783,24,0.735446509029005,"Melanoma","CTLA4",0.864521135747649
"12","R vs NR","IRG_Ayers","ICB_small_Nathanson",-0.31,0.457,24,0.497259699443255,"Melanoma","CTLA4",0.864521135747649
"13","R vs NR","M1_Hwang","ICB_small_Nathanson",-0.494,1.432,24,0.730275075443392,"Melanoma","CTLA4",0.864521135747649
"14","R vs NR","MHC-I_Liu","ICB_small_Nathanson",-0.273,1.302,24,0.833790833291235,"Melanoma","CTLA4",0.905938647100507
"15","R vs NR","MHC-II_Liu","ICB_small_Nathanson",-0.202,1.223,24,0.868505040411534,"Melanoma","CTLA4",0.905938647100507
"16","R vs NR","PassON_Du","ICB_small_Nathanson",-1.147,1.969,24,0.56007083587954,"Melanoma","CTLA4",0.864521135747649
"17","R vs NR","PDL1_Nishino","ICB_small_Nathanson",-0.428,0.78,24,0.582898585448848,"Melanoma","CTLA4",0.864521135747649
"18","R vs NR","PredictIO_Bareche","ICB_small_Nathanson",-0.533,0.669,24,0.426048176193266,"Melanoma","CTLA4",0.864521135747649
"19","R vs NR","Teff_McDermott","ICB_small_Nathanson",-0.67,0.764,24,0.380563032898556,"Melanoma","CTLA4",0.864521135747649
"20","R vs NR","Teff-IFNG_Fehrenbacher","ICB_small_Nathanson",-0.705,0.797,24,0.376142364642056,"Melanoma","CTLA4",0.864521135747649
"21","R vs NR","TIS_Damotte","ICB_small_Nathanson",-0.38,0.816,24,0.641756817021242,"Melanoma","CTLA4",0.864521135747649
"22","R vs NR","TUMOR-VASCULATURE-UP_Lu","ICB_small_Nathanson",1.239,2.084,24,0.552369116490682,"Melanoma","CTLA4",0.864521135747649
"23","R vs NR","VIGex_Hernando-Calvo","ICB_small_Nathanson",-0.298,0.8,24,0.709960560174661,"Melanoma","CTLA4",0.864521135747649
