"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"OS","FHL3","ICB_Ravi__Lung__PD-L1",-0.0442438622428338,0.106396198252414,125,0.677526624821282,"Lung","PD-L1",0.994257026135671
"OS","FJX1","ICB_Ravi__Lung__PD-L1",-0.0250428526379103,0.130273908702488,125,0.847560248731215,"Lung","PD-L1",0.994257026135671
"OS","ARHGAP24","ICB_Ravi__Lung__PD-L1",-0.0111562258150757,0.119348179838199,125,0.925525180085406,"Lung","PD-L1",0.994257026135671
"OS","VSNL1","ICB_Ravi__Lung__PD-L1",0.0895751321388636,0.128673225840197,125,0.486338468727223,"Lung","PD-L1",0.994257026135671
"OS","SLC20A2","ICB_Ravi__Lung__PD-L1",-0.215657992842505,0.101656061816814,125,0.0338841659979529,"Lung","PD-L1",0.41206123483955
"OS","CRYAB","ICB_Ravi__Lung__PD-L1",-0.0426117432137319,0.117120957226892,125,0.715987347830259,"Lung","PD-L1",0.994257026135671
"OS","WDR86","ICB_Ravi__Lung__PD-L1",-0.0348528685231405,0.108495318068854,125,0.748029691097806,"Lung","PD-L1",0.994257026135671
"OS","RCBTB2","ICB_Ravi__Lung__PD-L1",0.00738045526723543,0.116930880961187,125,0.949672459756596,"Lung","PD-L1",0.994257026135671
"OS","SPINK5","ICB_Ravi__Lung__PD-L1",0.0767881093843803,0.129038846742605,125,0.551791693410085,"Lung","PD-L1",0.994257026135671
"OS","RBFOX2","ICB_Ravi__Lung__PD-L1",-0.0830287750805843,0.128091630567618,125,0.516856711903737,"Lung","PD-L1",0.994257026135671
"OS","DLG4","ICB_Ravi__Lung__PD-L1",0.0315496314793062,0.109825226688139,125,0.773904625233325,"Lung","PD-L1",0.994257026135671
"OS","PDGFA","ICB_Ravi__Lung__PD-L1",0.0702828238524898,0.135494116992285,125,0.603959536154736,"Lung","PD-L1",0.994257026135671
"OS","ZHX3","ICB_Ravi__Lung__PD-L1",0.0153339218753209,0.109126477128326,125,0.888252993608203,"Lung","PD-L1",0.994257026135671
"OS","GALNT5","ICB_Ravi__Lung__PD-L1",-0.0336124163656352,0.115713260867814,125,0.771448861785981,"Lung","PD-L1",0.994257026135671
"OS","PCDHGB6","ICB_Ravi__Lung__PD-L1",0.00142441356220526,0.103365300450047,125,0.989005192119913,"Lung","PD-L1",0.994257026135671
"OS","SLC9C1","ICB_Ravi__Lung__PD-L1",-0.0215111443491153,0.118845564437709,125,0.85636693414535,"Lung","PD-L1",0.994257026135671
"OS","C14orf132","ICB_Ravi__Lung__PD-L1",0.0114677625849369,0.117254016255722,125,0.922088941640716,"Lung","PD-L1",0.994257026135671
"OS","IQUB","ICB_Ravi__Lung__PD-L1",0.0629323323435066,0.124704342192404,125,0.613803073591973,"Lung","PD-L1",0.994257026135671
"OS","SORCS2","ICB_Ravi__Lung__PD-L1",0.0483992999051592,0.122453714363579,125,0.692661593779981,"Lung","PD-L1",0.994257026135671
