"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR10","OS","IPRES_Hugo","ICB_small_Padron",3.848,1.25,45,0.00208281443415552,"Pancreas","PD-1/PD-L1",0.0382725355769509
"HR17","OS","PassON_Du","ICB_small_Padron",-2.51,0.847,45,0.00306180284615607,"Pancreas","PD-1/PD-L1",0.0382725355769509
"HR3","OS","CYT_Davoli","ICB_small_Padron",-0.87,0.327,45,0.00774096075082849,"Pancreas","PD-1/PD-L1",0.039938215844583
"HR4","OS","CYT_Rooney","ICB_small_Padron",-0.821,0.297,45,0.00571260711203288,"Pancreas","PD-1/PD-L1",0.039938215844583
"HR8","OS","IMS_Cui","ICB_small_Padron",1.162,0.438,45,0.0079876431689166,"Pancreas","PD-1/PD-L1",0.039938215844583
"HR","OS","CCL5-CXCL9_Dangaj","ICB_small_Padron",-0.975,0.39,45,0.0124455100379876,"Pancreas","PD-1/PD-L1",0.044980481515744
"HR19","OS","PredictIO_Bareche","ICB_small_Padron",-0.813,0.332,45,0.0143937540850381,"Pancreas","PD-1/PD-L1",0.044980481515744
"HR21","OS","Teff-IFNG_Fehrenbacher","ICB_small_Padron",-0.938,0.379,45,0.01321273999832,"Pancreas","PD-1/PD-L1",0.044980481515744
"HR9","OS","Inflammatory_Thompson","ICB_small_Padron",-1.036,0.432,45,0.016429612396937,"Pancreas","PD-1/PD-L1",0.0456378122137138
"HR16","OS","MHC-II_Liu","ICB_small_Padron",-1.733,0.763,45,0.0231273067942036,"Pancreas","PD-1/PD-L1",0.0550075521110799
"HR23","OS","TUMOR-VASCULATURE-UP_Lu","ICB_small_Padron",1.293,0.574,45,0.0242033229288752,"Pancreas","PD-1/PD-L1",0.0550075521110799
"HR6","OS","EMTstroma_Wang","ICB_small_Padron",0.865,0.444,45,0.0514287357175828,"Pancreas","PD-1/PD-L1",0.105751017546977
"HR11","OS","IPS_Charoentong","ICB_small_Padron",-0.334,0.178,45,0.0615677548463235,"Pancreas","PD-1/PD-L1",0.105751017546977
"HR20","OS","Teff_McDermott","ICB_small_Padron",-0.639,0.345,45,0.0634506105281864,"Pancreas","PD-1/PD-L1",0.105751017546977
"HR22","OS","TIS_Damotte","ICB_small_Padron",-0.754,0.397,45,0.0577687594040241,"Pancreas","PD-1/PD-L1",0.105751017546977
"HR14","OS","M1_Hwang","ICB_small_Padron",-1.693,0.954,45,0.0759318088483917,"Pancreas","PD-1/PD-L1",0.118643451325612
"HR24","OS","VIGex_Hernando-Calvo","ICB_small_Padron",-0.679,0.46,45,0.140480074529667,"Pancreas","PD-1/PD-L1",0.20658834489657
"HR13","OS","IRG_Ayers","ICB_small_Padron",-0.284,0.22,45,0.19708733787032,"Pancreas","PD-1/PD-L1",0.273732413708778
"HR5","OS","EMT_Thompson","ICB_small_Padron",-0.711,0.647,45,0.271772956221995,"Pancreas","PD-1/PD-L1",0.357595995028941
"HR15","OS","MHC-I_Liu","ICB_small_Padron",-0.582,0.705,45,0.408931543268237,"Pancreas","PD-1/PD-L1",0.511164429085296
"HR18","OS","PDL1_Nishino","ICB_small_Padron",0.233,0.361,45,0.519289699758499,"Pancreas","PD-1/PD-L1",0.618202023522022
"HR7","OS","IFN_Ayers","ICB_small_Padron",-0.08,0.228,45,0.726661229404202,"Pancreas","PD-1/PD-L1",0.82575139705023
"HR12","OS","IPSOV_Shen","ICB_small_Padron",0.433,2.15,45,0.840420433929179,"Pancreas","PD-1/PD-L1",0.913500471662151
"HR2","OS","COX-IS_Bonavita","ICB_small_Padron",-0.028,0.346,45,0.934711166145865,"Pancreas","PD-1/PD-L1",0.973657464735276
"HR1","OS","Chemokine_Messina","ICB_small_Padron",0.007,0.437,45,0.987263309468431,"Pancreas","PD-1/PD-L1",0.987263309468431
