"","P8","P9","P10","P11","P15","P16","P18","P19","P22","P28","P30","P32","P33","P36","P38","P40","P42","P43","P45","P47","P51","P54","P61","P65","P68","P72","P73","P76","P89","P90","P91","P98","P99","P100","P101","P102","P106","P113","P114","P116","P117","P120","P123","P127","P128"
"FGR",5.63239619083496,2.89027157409032,5.94520970865249,4.9629653918069,4.37885838327003,5.07069415088862,5.08051696813879,5.42343698701947,5.29279647053071,5.16955626559139,4.17130291847027,3.77792463616906,6.07532725070707,5.25415182490954,4.34281783128949,4.24462071425218,4.76087560045859,5.42375631198023,3.26659167002249,3.41290343807809,3.39822722154527,5.36158590590257,6.2005965512811,5.39556326754019,2.43877189585177,5.04725481234163,5.89486383182581,4.16905110482214,6.04006829898396,4.72389708001438,4.18169096124618,4.75158154858914,5.19040547251488,6.07031418556784,6.6922751424289,5.10764184292633,4.79932048147104,3.64925905212474,4.30209235525627,5.11076829713178,4.54376806436062,6.73723787715927,3.83152260261821,7.15877729868894,2.42873200089346
"CFH",10.1207869820754,9.70163464858043,7.06844295346742,9.39595435156598,8.1873515782793,10.669111207342,8.06166658747484,8.43039526089885,9.99436673222248,8.41901126753483,11.5309790582003,7.94250101666401,8.72606587628163,9.10674351138049,8.01639881612556,7.74969984630612,10.5267868691819,8.80200123265086,11.369142820296,7.34750178489812,9.52627484592914,8.13554513012981,6.38372329791228,7.54857610930034,5.6576828738768,6.46660265078649,8.59042836344565,11.5550168005184,5.39016551608868,9.76589421508035,7.5711360013216,10.4374375991836,7.53466005847904,7.17889387155711,6.64955223199886,11.1952558027487,10.8657450999748,11.1168016518666,11.3912462212961,7.98969422000536,11.0749642200458,7.0396779872984,11.2823135358636,6.38812236139614,8.60450838159972
"CD99",6.42481630012882,6.99181092299463,6.89559466964834,6.81491566514794,7.15520378859028,6.81392224783616,7.51684880652609,7.57876892988984,6.66266695151186,7.7898733311315,6.17269951977808,7.31136324225192,7.39455101142514,6.21974161163025,4.98569168401536,7.8380466481443,5.70198701086285,5.87258746953907,6.31603891227461,6.46947739354114,6.62700121098726,7.46739361321119,6.20565837981423,6.99798558387871,5.61155012306924,6.22527685819249,6.06061812131741,6.23366568889105,6.390191316725,6.56753023696301,6.76315924012701,5.98001387200081,8.0774790841793,6.10280927892155,5.9601201239287,6.62600976882056,6.39277763778522,6.49964820040705,6.38005060163281,6.03026323544215,6.66509142006756,7.02100104458681,6.65191561396481,6.86830895651037,7.70487542183105
"HS3ST1",4.98544122758913,5.21546116654742,4.85255322901951,4.16794394371052,6.55286272454695,4.17617115402222,5.85136427143354,5.0399323597071,5.46630409245328,2.58412068305994,0.30439421966803,5.06346842765787,4.37647098678114,7.14477446941127,6.14940977390248,5.90913944622454,2.96862532591546,6.49769857987738,0.0907179597677998,6.03071789173796,2.34417516038566,4.56752719480762,7.09483671578133,4.04651725267669,4.5494781950371,5.62487585714331,3.86857812455693,0.721328907637035,3.20365535360945,6.22016741033767,6.04581862368371,5.60329103704737,4.20125745684324,6.48198828120122,5.55370147485655,1.75902796742139,4.94185751900344,0.719577745146264,0.771547572295606,4.96681342468976,1.85091940940621,4.32945372753113,2.9153870460961,3.51947900230724,5.48066581502771
"CFLAR",5.20052789387932,4.48630892004255,5.07612721387799,4.51528983389746,4.43462155619915,4.89463347452436,4.74950745152709,5.15619838613064,4.91871538326453,4.90588516779867,4.69810732640488,5.39065392982055,5.37243327499746,5.32811120135149,4.50039416641579,4.63532488473892,4.72076001294455,4.99319881891737,4.15211850443194,5.25382290815493,4.50360315630226,4.93869510911856,5.18449850736367,5.13790512726229,4.92779218159378,5.68441762155017,5.57114889813694,4.6667963506491,5.16365973836986,5.41081256305583,4.97495600077515,4.84784661799386,4.66841984396107,5.2570672081673,5.32132925217693,4.37721400153034,4.45195617444813,4.12602296755415,4.32940349504154,4.73975091188547,4.71955036635971,5.68743307513683,4.18260490695395,5.90295629647495,4.95622861289986
"TFPI",6.99201834250118,6.76475749723761,5.54983240409875,5.77560106328317,5.29718040918632,7.08918350155408,6.85955466406759,5.16237118627715,7.45552449844529,6.02389182546997,6.68545945026868,5.90516072936586,5.23312878936087,7.24586165234223,4.83292038637221,4.91800451859787,6.52418437604587,6.18590617924606,7.33855812352561,7.95667700802513,6.64052404720936,5.76619229570161,6.19955064297875,4.79664447269085,5.17231548915311,6.50442653709471,5.17447033802826,7.23540348923741,4.1818181535885,6.71381401862654,4.7418768153744,7.26561129617566,4.11478344724985,5.53180874690102,5.49376260152378,7.10374834807738,6.79702595165408,6.75295459954331,7.31103893853846,6.52145439626257,7.52706955334347,6.93038253286194,7.26525403456671,6.04583172609003,6.78961841100226
"CD38",3.37456656705273,2.24762375619625,3.25197655850937,2.82810347165265,3.34548153787415,3.93451650158608,3.56021359197276,4.9238004810981,3.0800777402868,1.83628773304911,3.21483975717771,2.09156444291217,4.3168553273696,2.67802682018815,1.99432627999073,3.12409649105583,3.21536797220348,2.52671988124737,3.34414674773333,2.469260846616,3.18748272645773,3.65377086812176,0.961475162009635,3.58684879305231,1.00769784504527,2.24418684732971,4.8052356960956,4.34083995753501,6.30514609669708,2.89508930387733,2.09808262905459,2.85055942062277,1.98185265328974,4.51931544356572,2.38241825224835,4.0190257706782,4.00030654012745,3.51994441418303,4.20055928052555,3.09005735795879,4.35774904219214,4.65915963597433,3.80377466054701,4.40431050389921,1.33015679879996
"COPZ2",4.50853006865372,2.92816183970684,5.26725487215199,3.36154379796786,4.67882686822733,4.38168483445443,3.17152710603881,5.36121741979626,4.44267151390629,5.20414854388053,4.43669488755288,3.20728379337221,4.95810954425059,3.14663893143308,2.84779651832754,5.63773774858908,3.95439175905587,3.25692006965065,4.52543624158836,2.42572783804503,3.90605358972963,4.90037898593713,3.09269795221686,4.96424150759538,2.13645390926865,4.14377706316849,3.60391707993421,4.22485063615754,1.92155058407306,5.10683823665927,4.88228110758072,4.03772484335352,5.93432777831537,3.13336624310422,2.83844759254846,4.55250618480176,4.92365313224042,4.74128899809006,4.80976941467757,4.64132637129442,4.39110779997458,3.20678386114231,4.91345911817211,3.75623338955184,6.16840135238727
"PON1",8.32005001691152,7.40100235890679,-2.77892721748494,7.59890111367609,3.71049238093311,7.9045984973964,1.70593368046715,-1.51416103312094,8.13916760587681,-2.14305413671757,8.62004713172491,3.72151484379334,-0.471528698117108,5.19011306903814,4.30624036286807,1.14659005827019,8.28540961727938,5.24946430382979,9.7713455229517,2.09815002109201,6.60210199465331,-1.78936177161985,1.1479578813871,-3.10780328953451,2.52112613711043,1.44731470025318,4.03255051297815,9.47073126117116,-2.12532105079254,6.50554958275588,0.387803664533329,7.69854424266263,-1.74468055929421,-0.801380126780785,0.0280032784727522,9.24632209686684,8.08871245880537,9.39557226409242,9.09753890235806,4.20685417458099,8.8617764424937,0.198368423102519,9.2534804431498,0.998628788282414,0.0672256725319713
"ITGAL",4.63731462921751,2.74768815356736,4.45552449844529,4.59591535704049,3.04227661341426,4.69412243968227,3.85122932778494,6.0620223850154,4.79849642634302,3.22764867140423,5.03423332625387,1.1471112866698,5.87028333449073,4.26702634539381,3.72158046259808,3.31691323727682,4.699107384624,4.48846359339299,4.20259011372414,3.39332009082486,3.56380487913044,2.52137744268536,2.4507493755375,5.0594115236275,1.94923609144459,3.17375108033606,4.7314873921986,5.32215890762938,7.94594766743007,3.77202287092492,3.83341637527049,4.39421915227712,4.14427483264129,6.29523996404894,5.71925464235242,5.4215464805829,4.90809714578959,4.11844278983545,5.17670972687864,3.96394569719683,5.3812902952081,6.56930728002643,4.62342794804604,6.63182603151985,1.37077806274087
"ITGA3",8.9138830168137,7.62034300843996,8.40437182052493,6.92889021547661,10.8245992944926,7.83239700913261,9.84481119732574,8.58732410699625,8.27983712325847,5.85683135597101,3.34552411723049,9.87665000602458,7.23601801994155,9.3458354405859,8.32606000201686,8.93283835758686,7.67454680617512,8.61166409055522,2.75007048586569,10.6211679896129,8.90151527135338,9.55426516822402,9.88275292841199,8.14310970104704,6.20094763377342,10.2238545021474,9.01390186865235,3.82302579366515,5.63327716740765,11.2279300774146,8.61665763909889,8.38534129739043,6.77212055179979,9.10148015992401,8.24032387093603,4.1440953290249,5.08815432048742,2.16014572540458,2.87866649479903,9.84133475619205,4.98659751781298,8.07894120407896,7.00163450382478,8.16928466343241,9.35807950350631
"GDE1",5.02187055243531,4.22282001399422,4.990950323613,4.74051746156171,5.95516631298232,4.92045528461559,5.2031463297304,5.16944402292781,4.870029284821,4.90498979550316,4.50097409565245,5.26023647281835,4.67187078789739,5.30974372218789,4.24479574642115,4.94524248882146,4.58083892113026,4.57433164259449,4.24149700703921,4.78423698635588,5.05016645174483,5.31704714503489,5.51730404283359,4.24830712008724,5.07969810558395,5.17501753282503,4.92719484141091,3.60129241020816,3.46020522034822,6.08002869198429,5.99338905486095,4.96478674906179,4.99718851539883,4.82230696331055,4.83196841987895,4.64152868889869,4.95048707761337,4.70139380085249,4.58516686804294,5.74788683158331,4.35924002552933,5.30460595283534,5.00485191106207,4.63809121894397,5.40803926166359
"TMEM132A",3.74941627291514,4.74167730791675,4.45916928659896,3.77624087964798,5.91831228488865,4.89244931544457,6.648179234104,4.29306142829837,4.26975880116303,3.33572620001832,1.27679440478926,5.55026041900124,4.57334422759282,3.69746247692187,3.7474196262855,6.01254632675252,2.89198293323955,5.07363174538008,0.457646819392444,4.82729569876478,5.92984306254502,7.07587700569366,6.20851921065754,4.71644772445191,4.17597163156073,5.59184993111493,5.82348443435343,0.778713221086107,2.4219368948232,6.35190742854478,5.85987763806802,4.30473735779407,4.90499461081877,4.65794291650061,4.27289660640072,2.14557964204662,3.38748662050933,0.805540107312055,0.854634043133882,5.88494707540326,3.18654809733928,3.20384325549815,3.32645105997097,4.37572063972005,5.67405099366056
"TNFRSF12A",7.39824603662571,4.71881094265244,7.9228210417807,6.43630178354241,9.34687336484342,7.33657528981617,8.16925258895318,8.16005241895185,7.92290902831814,6.53049373504381,2.95266903783751,9.05167879409093,5.85969131573807,8.53093610590894,6.06932623683099,8.16291946492004,6.46249245692079,8.28358938833374,2.02595012360846,8.82795998529192,8.31024149550983,8.50732806694147,8.92507459908098,6.9250915164055,5.09044274577354,8.6536028608567,7.84054065390826,4.36534959744511,4.29847503473585,8.07402315155488,6.89465408693913,6.75986555253389,6.96554535457936,7.28284101267293,7.84683802724396,3.97315203787724,5.55134989818768,1.64887955441347,3.792615924228,7.8252761939458,5.73963211422061,4.93520041656649,6.16582553539188,6.15129464643258,7.94253855005622
"CCL26",-0.313835673938641,-3.35402172459722,0.530570203902528,0.917469946679193,0.323197108239327,-2.86669952377022,-1.41119543298445,0.18205660901025,-1.09572786618914,-2.30971701093649,-9.96578428466209,-2.58121636148826,1.07429990961054,-4.35993441746711,-3.57175038929431,0.0507454635813987,-2.51870105845243,-0.936220970229429,-9.96578428466209,-0.562346121653808,-0.00187672368803002,2.51298533481368,0.560812760992322,-0.477743332373299,-1.80793211552035,-1.78239702341321,-3.61705613043101,-2.96804025860245,-1.48721687908264,-1.60647396777164,-0.158912488704066,-1.61661365380098,1.47648538159739,-2.4771407448083,-3.02209733306499,-3.09788782066943,2.97557516253739,-4.73696559416621,-3.11153923044196,-0.74347237310779,-3.56149422021725,-0.788115598059695,-3.51457317282976,-2.67484388225841,-1.61131449250469
"USH1C",5.27046540259889,6.85817251261876,6.24024181109375,6.63052050737983,-3.44693445595439,4.76741644787071,-2.05409270278975,5.99918148926002,1.99866488950333,4.14322197009595,0.0889556823082181,5.94039230080495,6.23266651221114,6.50560833194243,6.6762702295535,6.18293060851101,4.64654287012204,7.04210585255137,1.15943543578747,5.40294041979903,2.55094990254589,2.13674919053338,4.97643696017388,5.16714112178873,7.23928346466614,5.45269755829478,5.49109949212787,1.622227568553,4.101263468078,2.72587200726282,6.44269805098725,4.57630444747625,5.70568767521376,6.18676794805287,6.52553803520167,0.882134348554218,4.28241756390421,-0.530322370182811,0.284514133244245,5.78934844646624,2.18151605346366,3.74975950358705,2.30804044784124,4.66177809777199,6.06633033723499
"SCIN",4.7400370660962,4.3020192200141,4.63540034784952,3.6845158071037,-0.733843136353382,1.63663622005514,3.0128546813428,4.21792087293634,3.19328287865243,2.25954367314869,-0.897274689988912,2.9398659618568,4.09091269487519,1.66197756774053,4.80217770400852,3.29702996658171,3.34127418369217,2.77270913706194,-2.8028894852873,4.74740888415456,-1.48479218096418,1.69501387263258,2.1886224711125,3.80186223818074,5.57508840510336,2.85814018028065,5.6928149372296,-1.20390067229657,1.64749872061655,1.54532593034867,5.81750046972967,4.98836657720648,2.43784027477474,2.99035588152675,3.80182086049612,-2.16229890906613,1.47149964194639,-4.38986692354394,-1.95399795345548,0.537942090749452,-0.634195500128018,5.01364984263184,-0.961563818343892,4.29526017134123,5.80526923607307
"ADIPOR2",5.03055679206234,5.2127249609901,4.99803750224118,4.92795332626252,5.05520867176377,4.91611353641854,5.17803336258379,4.58397030677478,4.54994018959742,4.74349881115385,4.10798909669006,3.78931192564509,4.19341693869573,4.18474841982345,3.95597298854733,4.46151546305322,4.91628076856943,3.61483938642523,4.75347082836408,4.03345824251261,5.59235537227385,4.1177365943479,4.48384801589938,3.58407256435402,3.60658435857267,4.13989510260163,5.2732174731035,4.42641237175856,3.06403781379266,4.53937597466143,5.15273101992625,5.42483813005075,3.6169222421187,3.82900723461057,4.08625726299279,4.93613379094423,5.12667969647231,5.67674976827158,4.87643345201043,5.03746568854648,4.72407722685346,4.90633264564876,5.07206291354569,4.10321226167555,4.42562043073104
"CEACAM21",0.982436917767054,-0.165046130920649,0.496922466008071,0.528671328925277,-0.90023351370707,0.393306360352653,-0.229044129208878,1.28599397237378,0.191688975733969,-1.76513084829462,1.09808262905459,-0.747584340967349,1.11116488907889,-0.096190441421303,-0.837789963685693,-0.286656104914671,0.440101740387507,-0.366243319018039,-0.573252191093423,-0.751951001562794,-0.248279213224955,-0.366615291442657,-0.84580567500721,-0.0245899212855334,-2.5794906495111,0.0828388147248918,1.0494913701651,0.121811151141986,3.02860451193601,0.278341658621642,-0.24588214044795,0.412293771333417,0.543198900193333,1.52125179536981,0.573277567876004,0.964657388376578,0.637934775535145,0.514904954535729,0.583326519110026,0.3415303869973,0.827412574398858,0.941406841109145,0.280481274300624,2.15629952752728,-0.838047841073258
"CD79B",1.76102990650709,0.211136826982275,1.21194668237118,1.86643326425886,1.48877205929985,2.19493804160222,1.83927434612898,1.62798030306595,1.64122231119197,1.28906718406091,1.83422578678235,0.820076821097513,4.21624531379933,1.02076886509457,0.14326279303862,1.91792816330712,1.94065539828738,1.05554274796229,1.75634015225185,0.441058469993214,1.18681745935711,1.57715083697447,0.384712962422046,2.53408651061495,-0.271078172712686,0.844626684669808,-1.48559996096338,1.54582013939738,8.2550550150501,1.21375164631101,0.779637944798667,1.56076385856224,2.14140009121509,5.19007355050896,3.72905238989386,5.40316885752422,2.57949395327896,1.85443457474128,2.63893108792682,1.14906421771554,3.013998146041,2.77365881311036,1.81721392425833,4.73518637585966,0.102590949588091
