"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"PFS","TSPAN6","ICB_Ravi__Lung__PD-L1",0.0435845988441394,0.0996987842007548,118,0.661993291825195,"Lung","PD-L1",0.941637339456544
"PFS","TNMD","ICB_Ravi__Lung__PD-L1",0.0397691250810404,0.102496456652093,118,0.698012424296791,"Lung","PD-L1",0.941637339456544
"PFS","DPM1","ICB_Ravi__Lung__PD-L1",0.056424919472303,0.0988959303237896,118,0.568305772746121,"Lung","PD-L1",0.941637339456544
"PFS","SCYL3","ICB_Ravi__Lung__PD-L1",0.0151740737209905,0.100782347277814,118,0.880320597723926,"Lung","PD-L1",0.95874546760864
"PFS","C1orf112","ICB_Ravi__Lung__PD-L1",0.0427328408697071,0.0939108112439431,118,0.64908302595773,"Lung","PD-L1",0.941637339456544
"PFS","FGR","ICB_Ravi__Lung__PD-L1",0.00920911451553007,0.111572168721982,118,0.934217684108159,"Lung","PD-L1",0.963111014544493
"PFS","CFH","ICB_Ravi__Lung__PD-L1",0.0560888479701164,0.108568698507535,118,0.605420892328889,"Lung","PD-L1",0.941637339456544
"PFS","FUCA2","ICB_Ravi__Lung__PD-L1",0.0438004514581045,0.0931719180054791,118,0.638281022332277,"Lung","PD-L1",0.941637339456544
"PFS","GCLC","ICB_Ravi__Lung__PD-L1",0.0243765703907794,0.0896870867110113,118,0.785779061317855,"Lung","PD-L1",0.941637339456544
"PFS","NFYA","ICB_Ravi__Lung__PD-L1",0.048790611834877,0.0951477977510049,118,0.608099897399782,"Lung","PD-L1",0.941637339456544
"PFS","STPG1","ICB_Ravi__Lung__PD-L1",0.113177817347837,0.119847670638529,118,0.344992231511881,"Lung","PD-L1",0.941637339456544
"PFS","NIPAL3","ICB_Ravi__Lung__PD-L1",-0.0592547602490683,0.0894695201983076,118,0.50778544370984,"Lung","PD-L1",0.941637339456544
"PFS","LAS1L","ICB_Ravi__Lung__PD-L1",0.0413747467605277,0.10268166023127,118,0.686990941451698,"Lung","PD-L1",0.941637339456544
"PFS","ENPP4","ICB_Ravi__Lung__PD-L1",0.0161718997031283,0.086440635663149,118,0.851592597579385,"Lung","PD-L1",0.95874546760864
"PFS","SEMA3F","ICB_Ravi__Lung__PD-L1",0.137845600804478,0.107218950886202,118,0.198566682367173,"Lung","PD-L1",0.941637339456544
"PFS","CFTR","ICB_Ravi__Lung__PD-L1",0.147445995880319,0.103998519941237,118,0.156257885468962,"Lung","PD-L1",0.941637339456544
"PFS","ANKIB1","ICB_Ravi__Lung__PD-L1",-0.112242558588275,0.0951758462017434,118,0.23827169883659,"Lung","PD-L1",0.941637339456544
"PFS","CYP51A1","ICB_Ravi__Lung__PD-L1",0.00545125049637156,0.0933636551198379,118,0.95344014126139,"Lung","PD-L1",0.972898103327949
"PFS","KRIT1","ICB_Ravi__Lung__PD-L1",-0.207306198740405,0.100737789752365,118,0.0396017341570051,"Lung","PD-L1",0.941637339456544
"PFS","RAD52","ICB_Ravi__Lung__PD-L1",0.108327945754144,0.108052659643558,118,0.316079139247263,"Lung","PD-L1",0.941637339456544
"PFS","BAD","ICB_Ravi__Lung__PD-L1",-0.0855981180240594,0.104566246959847,118,0.413013639455106,"Lung","PD-L1",0.941637339456544
"PFS","LAP3","ICB_Ravi__Lung__PD-L1",-0.0261835932293402,0.0742168492545155,118,0.724239506997012,"Lung","PD-L1",0.941637339456544
"PFS","CD99","ICB_Ravi__Lung__PD-L1",0.175241217033883,0.113647883015807,118,0.123081758790245,"Lung","PD-L1",0.941637339456544
"PFS","HS3ST1","ICB_Ravi__Lung__PD-L1",0.0165302956115827,0.102771579867012,118,0.872215475262353,"Lung","PD-L1",0.95874546760864
"PFS","AOC1","ICB_Ravi__Lung__PD-L1",0.111572635942516,0.09767272529015,118,0.253324738861516,"Lung","PD-L1",0.941637339456544
"PFS","WNT16","ICB_Ravi__Lung__PD-L1",0.0452052247313027,0.106648899951358,118,0.67166092828397,"Lung","PD-L1",0.941637339456544
"PFS","HECW1","ICB_Ravi__Lung__PD-L1",-0.0156142510666619,0.105234156051711,118,0.882045830199949,"Lung","PD-L1",0.95874546760864
"PFS","MAD1L1","ICB_Ravi__Lung__PD-L1",-0.0668978144091411,0.0874966778861993,118,0.444524375271399,"Lung","PD-L1",0.941637339456544
"PFS","LASP1","ICB_Ravi__Lung__PD-L1",0.0580339441191091,0.10001240561833,118,0.561734270577205,"Lung","PD-L1",0.941637339456544
"PFS","SNX11","ICB_Ravi__Lung__PD-L1",0.0517039536040073,0.0943321021582604,118,0.583619394517899,"Lung","PD-L1",0.941637339456544
"PFS","TMEM176A","ICB_Ravi__Lung__PD-L1",0.151694526481757,0.122148139368627,118,0.2142772296736,"Lung","PD-L1",0.941637339456544
"PFS","M6PR","ICB_Ravi__Lung__PD-L1",0.0290222879750036,0.109499778786292,118,0.790975365143497,"Lung","PD-L1",0.941637339456544
"PFS","KLHL13","ICB_Ravi__Lung__PD-L1",-0.0491879072869596,0.111605719102992,118,0.659409002729305,"Lung","PD-L1",0.941637339456544
"PFS","CYP26B1","ICB_Ravi__Lung__PD-L1",0.0749640239160309,0.111585116042987,118,0.501704507047284,"Lung","PD-L1",0.941637339456544
"PFS","ICA1","ICB_Ravi__Lung__PD-L1",-0.100653178335071,0.0872473427024956,118,0.248642367588002,"Lung","PD-L1",0.941637339456544
"PFS","DBNDD1","ICB_Ravi__Lung__PD-L1",0.181126648156508,0.108734223970284,118,0.0957584274711099,"Lung","PD-L1",0.941637339456544
"PFS","ALS2","ICB_Ravi__Lung__PD-L1",-0.0349371916325336,0.103135311587177,118,0.734797304860379,"Lung","PD-L1",0.941637339456544
"PFS","CASP10","ICB_Ravi__Lung__PD-L1",-0.00923373927561034,0.10097911618046,118,0.927141335787653,"Lung","PD-L1",0.963111014544493
"PFS","CFLAR","ICB_Ravi__Lung__PD-L1",-0.182157651723344,0.0895918535003126,118,0.0420328901065907,"Lung","PD-L1",0.941637339456544
"PFS","TFPI","ICB_Ravi__Lung__PD-L1",0.0300726299192073,0.098152049253605,118,0.759309089955061,"Lung","PD-L1",0.941637339456544
"PFS","NDUFAF7","ICB_Ravi__Lung__PD-L1",-0.105454214275367,0.098072842319199,118,0.282256468882136,"Lung","PD-L1",0.941637339456544
