"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR8","OS","IMS_Cui","ICB_small_Hugo",2.669,1.006,26,0.00795687356384818,"Melanoma","PD-1/PD-L1",0.198921839096205
"HR2","OS","COX-IS_Bonavita","ICB_small_Hugo",0.462,0.32,26,0.1481952903118,"Melanoma","PD-1/PD-L1",0.926220564448752
"HR17","OS","PassON_Du","ICB_small_Hugo",-2.954,1.923,26,0.124467272425676,"Melanoma","PD-1/PD-L1",0.926220564448752
"HR23","OS","TUMOR-VASCULATURE-UP_Lu","ICB_small_Hugo",2.567,1.458,26,0.0783045066795953,"Melanoma","PD-1/PD-L1",0.926220564448752
"HR11","OS","IPS_Charoentong","ICB_small_Hugo",-0.418,0.345,26,0.225633573017001,"Melanoma","PD-1/PD-L1",0.940139887570837
"HR15","OS","MHC-I_Liu","ICB_small_Hugo",-1.586,1.282,26,0.215910078657317,"Melanoma","PD-1/PD-L1",0.940139887570837
"HR","OS","CCL5-CXCL9_Dangaj","ICB_small_Hugo",0.243,0.645,26,0.706773579748633,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR1","OS","Chemokine_Messina","ICB_small_Hugo",0.597,0.807,26,0.45950658479694,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR3","OS","CYT_Davoli","ICB_small_Hugo",-0.307,0.572,26,0.590953280255838,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR4","OS","CYT_Rooney","ICB_small_Hugo",0.091,0.603,26,0.880043761403197,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR5","OS","EMT_Thompson","ICB_small_Hugo",0.572,0.649,26,0.378065959095011,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR6","OS","EMTstroma_Wang","ICB_small_Hugo",0.09,0.741,26,0.903678501823298,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR7","OS","IFN_Ayers","ICB_small_Hugo",0.206,0.339,26,0.542877166514005,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR9","OS","Inflammatory_Thompson","ICB_small_Hugo",-0.095,0.655,26,0.884236128492194,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR10","OS","IPRES_Hugo","ICB_small_Hugo",1.496,2.149,26,0.486361752337252,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR12","OS","IPSOV_Shen","ICB_small_Hugo",-2.183,6.237,26,0.726334836317618,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR13","OS","IRG_Ayers","ICB_small_Hugo",0.22,0.34,26,0.516661319025348,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR14","OS","M1_Hwang","ICB_small_Hugo",0.181,1.382,26,0.895983554708648,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR16","OS","MHC-II_Liu","ICB_small_Hugo",-0.318,1.145,26,0.78088042683327,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR18","OS","PDL1_Nishino","ICB_small_Hugo",0.223,0.579,26,0.700479714547334,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR19","OS","PredictIO_Bareche","ICB_small_Hugo",-0.158,0.56,26,0.778426090333545,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR20","OS","Teff_McDermott","ICB_small_Hugo",-0.582,0.65,26,0.370842680222249,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR21","OS","Teff-IFNG_Fehrenbacher","ICB_small_Hugo",-0.262,0.609,26,0.666792342996606,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR22","OS","TIS_Damotte","ICB_small_Hugo",-0.074,0.606,26,0.902785769322591,"Melanoma","PD-1/PD-L1",0.941331772732602
"HR24","OS","VIGex_Hernando-Calvo","ICB_small_Hugo",0.005,0.741,26,0.995028534898101,"Melanoma","PD-1/PD-L1",0.995028534898101
