"","P8","P9","P10","P11","P15","P16","P18","P19","P22","P28","P30","P32","P33","P36","P38","P40","P42","P43","P45","P47","P51","P54","P61","P65","P68","P72","P73","P76","P89","P90","P91","P98","P99","P100","P101","P102","P106","P113","P114","P116","P117","P120","P123","P127","P128"
"CCL5-CXCL9_Dangaj",0.347824996460909,-0.664350955140577,0.118891717825558,0.286427753117627,-0.578294279873417,0.282251265517224,-0.00171722953635126,0.779477971122833,0.362096216114624,-0.15741270749857,0.00801373783628667,-0.749449445042709,0.535983933276024,-0.225645650210865,-0.4740613304516,-0.429876235896712,-0.436674224981861,-0.380331941680598,0.0750423236083098,0.100951596879144,-0.542138178970214,-0.40461153566553,-0.575279927308077,-0.287949559277623,-0.56648825078596,-0.741038800758898,0.180424292385862,0.184533091210555,0.711115417223809,0.00744132799083938,0.112964986957507,-0.384186398524707,-0.0990269032627336,0.785835258084845,0.504959055647747,0.633031427052002,0.298166342435305,0.400838120402198,0.481854455965662,0.332103834376153,0.402276116483295,0.689637248518951,0.195064714611523,0.484853281770138,-0.702547789352983
"Chemokine_Messina",0.173852331063752,-0.53872541279467,-0.282941173956119,0.0431180037755509,-0.254345928945214,0.391672994705041,0.0454581161774716,0.756199677785544,0.348739271804929,-0.400770411180734,-0.349746330268581,-0.563992085534462,-0.516332553781574,-0.126073715820273,-0.00144078517679383,-0.550015470305901,-0.386873427869406,-0.23617909476286,-0.388839021395859,0.509381444448757,0.117445838084374,0.263592982876647,-0.160049212793376,-0.228326668892932,-0.52671438000627,-0.650821198284722,0.543082717096385,0.228905518520947,0.558273342989782,0.255303393809682,0.526484275432662,-0.211309850077604,-0.292818907825752,0.374190811644698,0.437060988999376,0.255108504823439,-0.564275221629802,-0.0689851767388858,0.342756802977373,0.566766524354093,0.176764224473569,0.62710608833944,0.494868871151656,0.338586754120125,-0.564050923715482
"COX-IS_Bonavita",-0.0715370437651019,-0.364276381248388,-0.0469293180937065,-0.0732471188077533,-1.95189504449832,-0.0656413543719746,0.11229528703814,-0.105692024670179,-0.0520055499203629,3.18863547045665,-3.22539360840217,-0.177912758825845,-0.0885497001789161,-0.0598873041969555,0.0516089145774034,-0.0630944993274759,-0.0409990484774916,1.14158919699621,-0.24859490290867,-0.0757458804035377,0.0137049691263523,-0.346387223779925,-0.226280522355853,-0.0572864420795161,-0.178694574307782,0.11535628455851,-0.0690593051721287,-0.104704359567815,-0.0849071558675802,-0.0216954478005754,-0.0871887019808305,-0.00253751604534612,-0.0652833300845168,-0.10700572869489,-0.0433076067837703,-0.0812178624162533,0.00142392445088532,-0.113544272884967,-0.12815390223374,-0.0568295485783136,-0.0923666123581371,-0.104342901238719,-0.0685353759713208,-0.0790229307464818,4.20513881184115
"CYT_Davoli",-0.520640761288674,-0.578099692235188,-0.0489470688673857,0.472839724130197,-0.821855435401305,0.423016334029967,0.0529311326124154,0.776323278315311,0.0230916428348914,-0.23626070497312,0.3456117492132,-0.890722822993801,0.615863750170193,-0.331437984326414,-0.0261809903244094,-0.407347568252342,0.169038133181566,-0.650530965272033,0.448144877218568,0.302634025796615,-0.549076607038327,-0.760387023335279,-0.814865857357629,0.111377216264602,-0.453068710111691,-0.830392714854921,-0.42735121543898,0.457598178713719,0.660216277746153,-0.435995096157037,-0.242090461682667,-0.394454485429056,-0.432207239440115,0.871371656232209,0.669514336539511,0.71542401821286,0.513709025606639,0.441229799113406,0.640419401384393,-0.162470781261845,0.567444507683541,0.780307342060326,0.216221029966053,0.501422879908937,-0.780876494023947
"CYT_Rooney",-0.813403379073084,-0.386563248833426,0.257910197639229,0.55724348110024,-0.93700340522138,0.385655323537524,-0.321793416572103,0.800227014755955,-0.492975306447159,-0.16628830874009,0.469920544835408,-0.87627695800231,0.595346197502834,-0.67273735234834,-0.357548240635668,-0.146424517593665,0.0198637911464128,-0.612372304199806,0.40295119182746,0.418823022368629,-0.644154370034086,-0.944381384790053,-0.949489216799133,-0.308784391868355,-0.291146424517619,-0.783200908059061,-0.422294740824853,0.272985244040851,0.587968217934162,-0.610170685754472,-0.427355278093105,-0.0374574347332708,-0.299958181492351,0.91827468785471,0.816118047673096,0.645289443813845,0.522701475595908,0.497162315550505,0.706015891032916,-0.0266742338252124,0.488649262202037,0.87854710556186,0.364358683314406,0.459137343927348,0.121245495718687
"EMT_Thompson",0.0557436661167263,0.341402850879708,0.00598119109978279,0.188691695851432,-0.401373247185015,-0.0812702663532758,-0.151166649230939,-0.23633817176612,-0.119008745157801,-0.252263315512131,-0.128579748699794,0.0954769216569892,0.0638261689616801,0.193962524200858,0.452267822425492,-0.198973798565771,0.0837158134015453,0.112148165257068,-0.284913129982284,-0.0644866125766036,-0.719667460170868,-0.31571594910486,-0.1725576673305,0.0144621003951309,0.431967850808148,-0.170865150198991,0.155654202296008,-0.0752756379364465,0.535098816320852,-0.0914502900270053,0.0279034272085022,0.255705161081567,-0.249843802607674,0.464743284187233,0.237232287732793,-0.249668028640395,0.0497956156260129,-0.186436917925337,-0.039036060127902,0.0396855607939557,-0.100307738096004,0.524750435511113,-0.178648854920961,0.459166410652323,-0.321534730348241
"EMTstroma_Wang",-0.114724472306547,-0.276641818930754,0.433784858487314,-0.0835240274599545,0.49395324226931,0.230513826052021,-0.112066147377437,0.511181217741221,0.319825564558712,0.446792319742784,-0.194735709794386,0.394954659028882,0.10491229687512,-0.514449796024906,-0.363823908807332,0.732186016604571,-0.332756081955176,-0.149783787733357,-0.326322919283774,0.0861867181682504,0.555984809341171,0.645751334858874,0.387242433984868,0.406465395065212,-0.267790886571644,0.324939720636774,-0.522656381247796,-0.299130311974248,-0.498687261054079,-0.52272901904384,0.16885547980162,-0.386310117545855,0.660777853813991,-0.310777687691546,-0.386005851610265,-0.293902656734344,-0.369371880574438,-0.518178801582643,-0.337719803592495,-0.201916918956684,-0.268931603159619,-0.28902844362531,-0.218905327018266,-0.308255772589976,0.673883050809797
"IFN_Ayers",0.821208700569645,-1.36699752067444,0.130179429738579,0.135689784455287,-0.246289197240145,0.554276731260679,-0.29208876070436,2.1990516841128,0.315231057896353,-0.818358024530339,-0.919410910377833,-1.50527625205793,-0.0761602757859743,0.382943254942295,-0.236549068707898,0.0394259696803844,-0.863826038608862,-0.594108047943518,-0.750949580097214,0.899685205485378,-0.699217978734465,0.0669302561434036,-1.31633271523715,-0.0527428953830655,-1.07450773717805,-0.503859806452223,0.997459883070893,0.269163455681787,0.672610372395327,0.137440309388564,0.982891938525165,-0.379090660073899,0.385480775735921,0.645176362920245,-0.280376680733912,0.0951440814416189,-0.357146905976944,-0.829299543770063,0.0300322387210723,0.911634048709548,0.1165994936985,1.88142919987762,0.223363649063812,0.758987481794645,-0.489446765041251
"IMS_Cui",0.464860827299224,-0.480022984350541,0.561129509999001,-0.364548789762723,0.483398271396001,0.407931606004704,0.502854986297295,0.641426196466964,0.400239852470116,0.180472166101573,-0.22672707073483,0.190826219753744,-0.0335282543547594,-0.469978836948438,0.19875581503036,0.545554054045194,-0.320307638266626,0.318849254982285,-0.534531266053136,0.506580663171836,0.427442051196833,0.650134816863723,0.339607339792287,0.34452190131441,-0.201366215799602,0.232375305612228,0.140319495074259,-0.520466373387259,-0.492744166962152,-0.0324572191600943,0.204730355887888,-0.379980335993545,0.374954095825528,-0.39598811919839,-0.311962442693614,-0.362671774263576,-0.144713473442865,-0.411082528503132,-0.391916031937384,-0.00586610366720619,-0.539441494106201,-0.285313207926878,-0.393854704241724,0.0574663096919186,0.378256966851972
"Inflammatory_Thompson",0.17374627259813,-0.557898400089046,0.0819451516888994,0.453176906152915,-0.429919339648645,0.281178959548862,-0.10733078951207,0.732857865147086,0.0992790026678184,-0.327875959320044,-0.238468965965415,-0.660513747827998,0.278102335550027,0.182163213297366,-0.0603771810606101,-0.432427117056752,-0.277109610982033,-0.557640471122545,0.0915101496811064,0.430234577726395,-0.465694150118668,-0.438516521453198,-0.620463637216957,0.0707710011507473,-0.519823402721458,-0.685944723449366,0.217798673512187,0.38150620767821,0.641804079179665,-0.358162710202299,0.252229769949171,-0.368868043706231,-0.283008154614178,0.700540551226159,0.410256713592809,0.447174302273484,0.0662207152206175,0.00354197977109319,0.43832450582335,0.469141199199885,0.434514197458283,0.680302036374837,0.284090909090914,0.52429678135124,-0.66720099010824
