"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR19","OS","20","ICB_small_Van_Allen",-1.349,0.353,42,0.000132995278988582,"Pancreas","PD-1/PD-L1",0.00332488197471454
"HR3","OS","4","ICB_small_Van_Allen",-1.1,0.379,42,0.00374755190635805,"Pancreas","PD-1/PD-L1",0.0120754803648112
"HR4","OS","5","ICB_small_Van_Allen",-1.022,0.358,42,0.00429067929156438,"Pancreas","PD-1/PD-L1",0.0120754803648112
"HR9","OS","10","ICB_small_Van_Allen",-1.327,0.465,42,0.00434717293133204,"Pancreas","PD-1/PD-L1",0.0120754803648112
"HR13","OS","14","ICB_small_Van_Allen",-0.657,0.212,42,0.00193618256115204,"Pancreas","PD-1/PD-L1",0.0120754803648112
"HR16","OS","17","ICB_small_Van_Allen",-2.753,0.954,42,0.00391469141787081,"Pancreas","PD-1/PD-L1",0.0120754803648112
"HR17","OS","18","ICB_small_Van_Allen",-4.889,1.53,42,0.00139654253834959,"Pancreas","PD-1/PD-L1",0.0120754803648112
"HR22","OS","23","ICB_small_Van_Allen",-1.516,0.497,42,0.00228205300155469,"Pancreas","PD-1/PD-L1",0.0120754803648112
"HR23","OS","24","ICB_small_Van_Allen",3.149,1.065,42,0.00311974904207285,"Pancreas","PD-1/PD-L1",0.0120754803648112
"HR","OS","1","ICB_small_Van_Allen",-1.213,0.442,42,0.00609470754554874,"Pancreas","PD-1/PD-L1",0.0142555232453367
"HR7","OS","8","ICB_small_Van_Allen",-0.598,0.219,42,0.00627243022794816,"Pancreas","PD-1/PD-L1",0.0142555232453367
"HR10","OS","11","ICB_small_Van_Allen",3.907,1.449,42,0.00700485657126123,"Pancreas","PD-1/PD-L1",0.0145934511901276
"HR18","OS","19","ICB_small_Van_Allen",-1.065,0.441,42,0.0156596957733515,"Pancreas","PD-1/PD-L1",0.0279637424524134
"HR20","OS","21","ICB_small_Van_Allen",-0.911,0.375,42,0.0152558647881557,"Pancreas","PD-1/PD-L1",0.0279637424524134
"HR21","OS","22","ICB_small_Van_Allen",-0.864,0.364,42,0.0176748725510296,"Pancreas","PD-1/PD-L1",0.0294581209183827
"HR15","OS","16","ICB_small_Van_Allen",-1.641,0.73,42,0.0246457948849845,"Pancreas","PD-1/PD-L1",0.0385090545077883
"HR24","OS","25","ICB_small_Van_Allen",-0.793,0.384,42,0.039001721660531,"Pancreas","PD-1/PD-L1",0.0573554730301927
"HR1","OS","2","ICB_small_Van_Allen",-0.851,0.42,42,0.0425803291610431,"Pancreas","PD-1/PD-L1",0.0591393460570043
"HR2","OS","3","ICB_small_Van_Allen",-0.676,0.339,42,0.0461026489608599,"Pancreas","PD-1/PD-L1",0.0606613802116578
"HR14","OS","15","ICB_small_Van_Allen",-1.309,0.873,42,0.133566056044895,"Pancreas","PD-1/PD-L1",0.166957570056118
"HR12","OS","13","ICB_small_Van_Allen",-2.089,2.105,42,0.320948042080269,"Pancreas","PD-1/PD-L1",0.382081002476511
"HR6","OS","7","ICB_small_Van_Allen",0.348,0.537,42,0.516466397549841,"Pancreas","PD-1/PD-L1",0.561376519075914
"HR8","OS","9","ICB_small_Van_Allen",0.389,0.58,42,0.502501010109614,"Pancreas","PD-1/PD-L1",0.561376519075914
"HR5","OS","6","ICB_small_Van_Allen",-0.034,0.554,42,0.951455534529615,"Pancreas","PD-1/PD-L1",0.959031068534067
"HR11","OS","12","ICB_small_Van_Allen",-0.01,0.188,42,0.959031068534067,"Pancreas","PD-1/PD-L1",0.959031068534067
