"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"R vs NR","NUB1","ICB_small_Mariathasan",-0.481,0.21,133,0.0221194022705024,"Bladder","PD-1/PD-L1"
"R vs NR","LAG3","ICB_small_Mariathasan",-0.464,0.209,133,0.0265102511312662,"Bladder","PD-1/PD-L1"
"R vs NR","CA2","ICB_small_Mariathasan",0.502,0.212,133,0.0180007300751367,"Bladder","PD-1/PD-L1"
"R vs NR","MAST1","ICB_small_Mariathasan",-0.663,0.239,133,0.00552659690339559,"Bladder","PD-1/PD-L1"
"R vs NR","GNLY","ICB_small_Mariathasan",-0.515,0.197,133,0.00899434607322119,"Bladder","PD-1/PD-L1"
"R vs NR","PLA2G2D","ICB_small_Mariathasan",-0.475,0.225,133,0.034187799492783,"Bladder","PD-1/PD-L1"
"R vs NR","GBP1","ICB_small_Mariathasan",-0.417,0.195,133,0.0324147755939895,"Bladder","PD-1/PD-L1"
"R vs NR","FASLG","ICB_small_Mariathasan",-0.505,0.237,133,0.0329764292083148,"Bladder","PD-1/PD-L1"
"R vs NR","KLHDC7B","ICB_small_Mariathasan",-0.45,0.209,133,0.0310939769635031,"Bladder","PD-1/PD-L1"
"R vs NR","TRAFD1","ICB_small_Mariathasan",-0.436,0.193,133,0.0234425107539633,"Bladder","PD-1/PD-L1"
"R vs NR","RCBTB2","ICB_small_Mariathasan",0.406,0.186,133,0.0291703942829086,"Bladder","PD-1/PD-L1"
"R vs NR","CXCL9","ICB_small_Mariathasan",-0.746,0.234,133,0.00145652866446847,"Bladder","PD-1/PD-L1"
"R vs NR","ANP32E","ICB_small_Mariathasan",-0.418,0.194,133,0.0306461200651268,"Bladder","PD-1/PD-L1"
"R vs NR","GZMA","ICB_small_Mariathasan",-0.456,0.213,133,0.0323841747330746,"Bladder","PD-1/PD-L1"
"R vs NR","CD8A","ICB_small_Mariathasan",-0.542,0.219,133,0.0134337534180372,"Bladder","PD-1/PD-L1"
"R vs NR","CXCL13","ICB_small_Mariathasan",-0.547,0.208,133,0.00840555598759397,"Bladder","PD-1/PD-L1"
"R vs NR","GBP4","ICB_small_Mariathasan",-0.446,0.196,133,0.0227351357055124,"Bladder","PD-1/PD-L1"
"R vs NR","VSNL1","ICB_small_Mariathasan",0.459,0.193,133,0.0173911954270704,"Bladder","PD-1/PD-L1"
