"Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"PredictIO_Bareche",-1.35014049597191,0.286804513289442,-1.91226701262276,-0.788013979321068,2.50737909295621e-06,0.309189364800397,0.181159683100157,6.26844773239053e-05
"CCL5-CXCL9_Dangaj",-0.858306712641204,0.315895037970403,-1.47744960995811,-0.239163815324301,0.00658640736198641,0.106489606572797,0.347544024151834,0.0823300920248301
"CYT_Davoli",-0.578190866615367,0.286218462632441,-1.13916874508538,-0.0172129881453588,0.0433726715618376,0.254105721191783,0.226202584042535,0.0896738927661309
"CYT_Rooney",-0.500492879011826,0.257355221167672,-1.0048998437338,0.00391408571015028,0.0518044603755702,0.148628637226437,0.313423516532338,0.0896738927661309
"Inflammatory_Thompson",-0.634687368906511,0.280663366448862,-1.18477745892605,-0.0845972788869738,0.0237355498146219,0.167133338869552,0.29826264539393,0.0896738927661309
"IPRES_Hugo",2.83744596475586,1.402108203674,0.0893643831266751,5.58552754638505,0.0430010584837763,0.351262665101864,0.148036210237505,0.0896738927661309
"IPSOV_Shen",-2.91060021546785,1.52160982350844,-5.89290066806673,0.0717002371310307,0.0557681952148184,0,0.887874482515884,0.0896738927661309
"IRG_Ayers",-0.279265800182391,0.146957339673107,-0.567296893205499,0.00876529284071725,0.0573912913703238,0,0.5839427715667,0.0896738927661309
"M1_Hwang",-1.10540625651813,0.505629130963417,-2.09642114274071,-0.114391370295549,0.0288009979119458,0,0.710004412785026,0.0896738927661309
"PassON_Du",-2.92022245566197,1.53438483151536,-5.92756146385663,0.0871165525326991,0.0570160475762591,0.587784169906577,0.0175165433034608,0.0896738927661309
"PDL1_Nishino",-0.526719093643724,0.252914241016809,-1.02242189721395,-0.0310162900734963,0.0372877369883656,0.00575767952910616,0.424671394065942,0.0896738927661309
"Teff_McDermott",-0.672000357956006,0.340659809216246,-1.33968131500013,-0.00431940091187732,0.0485361934230548,0.457378221905976,0.0745743917508949,0.0896738927661309
"Teff-IFNG_Fehrenbacher",-0.766548783422772,0.332038475193401,-1.41733223628343,-0.115765330562109,0.0209649917956368,0.415384508630946,0.101427677981849,0.0896738927661309
"TIS_Damotte",-0.678030032757375,0.325484717335411,-1.31596835625298,-0.0400917092617704,0.0372385206158251,0.366882651031376,0.136177639565949,0.0896738927661309
"TUMOR-VASCULATURE-UP_Lu",1.65932220315311,0.755508808535805,0.178552148420165,3.14009225788606,0.0280706474979153,0.363138595047933,0.138994482246502,0.0896738927661309
"VIGex_Hernando-Calvo",-0.663908636450471,0.303197357170048,-1.25816453671149,-0.0696527361894501,0.0285466273766317,0.26385316829945,0.218148154396872,0.0896738927661309
"MHC-I_Liu",-1.03942766972152,0.562923510018231,-2.14273747540812,0.0638821359650854,0.0648223688565548,0.369949065943136,0.133883316436718,0.0953270130243453
"IFN_Ayers",-0.306771505561546,0.183951363678121,-0.667309553277693,0.0537665421546014,0.0953798125822308,0.263613206475258,0.218346140594486,0.132471961919765
"Chemokine_Messina",-0.723586649389671,0.458707106862219,-1.62263605829219,0.175462759512844,0.114692457593624,0.34600291373939,0.176898094683592,0.147417863469233
"MHC-II_Liu",-0.837368847694236,0.535572209915034,-1.88707109024823,0.212333394859755,0.117934290775386,0,0.443503704690083,0.147417863469233
"EMTstroma_Wang",0.579308807955598,0.563211508829403,-0.524565465028494,1.68318308093969,0.303676484007317,0.521723234046817,0.0409607295050774,0.361519623818234
"IPS_Charoentong",-0.121336036213602,0.128615990461858,-0.37341874535479,0.130746672927587,0.345477492826388,0,0.465031354709139,0.392588060029987
"COX-IS_Bonavita",-0.0993843333608825,0.163522842479292,-0.419883215269911,0.221114548548146,0.543339804321274,0,0.491886899049705,0.590586743827472
"IMS_Cui",0.395042132029488,0.69114113096799,-0.959569592902054,1.74965385696103,0.567606857562611,0.560845797367965,0.0256727240195513,0.591257143294386
"EMT_Thompson",0.050365475699531,0.413327044343172,-0.759740645049476,0.860471596448538,0.903014796120991,0.21898628197036,0.2553443714928,0.903014796120991
