"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"1","PFS","1","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"2","PFS","2","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"3","PFS","3","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"4","PFS","4","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"5","PFS","5","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"6","PFS","6","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"7","PFS","7","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"8","PFS","8","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"9","PFS","9","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"10","PFS","10","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"11","PFS","11","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"12","PFS","12","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"13","PFS","13","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"14","PFS","14","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"15","PFS","15","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"16","PFS","16","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"17","PFS","17","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"18","PFS","18","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"19","PFS","19","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"20","PFS","20","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"21","PFS","21","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"22","PFS","22","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"23","PFS","23","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
"24","PFS","24","ICB_small_Mariathasan",NA,NA,NA,NA,NA,NA,NA
