"Cancer_type","Gene","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"Melanoma","PredictIO_Bareche",-1.29611234863512,0.351154128745434,-1.98436179399871,-0.60786290327153,0.000223367986229882,0.0631582399737922,0.370739142236152,0.00558419965574706
"Melanoma","PassON_Du",-3.1606574018273,1.16273786587109,-5.4395817423956,-0.88173306125901,0.00656205196738921,0.159187785435611,0.313117902261957,0.0546837663949101
"Melanoma","TUMOR-VASCULATURE-UP_Lu",2.32437407307391,0.822140103416095,0.713009080132333,3.93573906601549,0.0046953499392586,0,0.613706104828025,0.0546837663949101
"Melanoma","IPRES_Hugo",3.18589223571697,1.37264067305737,0.495565952809707,5.87621851862423,0.0202871099017566,0,0.887521026254248,0.126794436885979
"Melanoma","MHC-II_Liu",-1.1397474810942,0.58023921923877,-2.27699545321982,-0.00249950896856599,0.0494985910558366,0,0.686255699752111,0.247492955279183
"Melanoma","IPSOV_Shen",-3.88383563221323,2.22006253777068,-8.23507824967036,0.467406985243888,0.0802173703997989,0,0.85710355158234,0.305192078157134
"Melanoma","Teff-IFNG_Fehrenbacher",-0.553508486921472,0.321829224376024,-1.18428217587094,0.077265202027995,0.0854537818839975,0,0.546806038311218,0.305192078157134
"Melanoma","MHC-I_Liu",-0.923927943916236,0.580858379148878,-2.06238944716635,0.214533559333876,0.111693961976014,0.247525241501935,0.256402137199956,0.349043631175042
"Melanoma","Inflammatory_Thompson",-0.503046560192139,0.340767291823585,-1.17093817927562,0.164845058891339,0.139885575621805,0,0.670567924335365,0.349713939054512
"Melanoma","TIS_Damotte",-0.510770396874175,0.341977722157173,-1.18103441581728,0.15949362206893,0.135285957324837,0,0.53932631975705,0.349713939054512
"Melanoma","EMTstroma_Wang",0.997553849060033,0.789784722352957,-0.550395762291728,2.54550346041179,0.206563815045363,0.548604550978739,0.064658486865004,0.368863955438148
"Melanoma","PDL1_Nishino",-0.414574696175061,0.317307712548687,-1.03648638478727,0.207336992437153,0.191369545207461,0,0.630343180913811,0.368863955438148
"Melanoma","Teff_McDermott",-0.414405959328387,0.320002084456485,-1.04159851984084,0.212786601184069,0.195316715214038,0.0145904427670187,0.398049830612722,0.368863955438148
