"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"1","R vs NR","CCL5-CXCL9_Dangaj","ICB_small_Padron",-4.513,2.764,23,0.102448187109521,"Pancreas","PD-1/PD-L1",0.333072614663203
"2","R vs NR","Chemokine_Messina","ICB_small_Padron",-2.459,2.068,23,0.234339103121714,"Pancreas","PD-1/PD-L1",0.418462684145918
"3","R vs NR","COX-IS_Bonavita","ICB_small_Padron",-0.382,1.042,23,0.714286776799252,"Pancreas","PD-1/PD-L1",0.714286776799252
"4","R vs NR","CYT_Davoli","ICB_small_Padron",-8.474,5.305,23,0.110201618560359,"Pancreas","PD-1/PD-L1",0.333072614663203
"5","R vs NR","CYT_Rooney","ICB_small_Padron",-5.865,3.999,23,0.142492621153809,"Pancreas","PD-1/PD-L1",0.333072614663203
"6","R vs NR","EMT_Thompson","ICB_small_Padron",1.308,2.886,23,0.65022796148712,"Pancreas","PD-1/PD-L1",0.67732079321575
"7","R vs NR","EMTstroma_Wang","ICB_small_Padron",2.11,2.366,23,0.372497942642341,"Pancreas","PD-1/PD-L1",0.51923538754988
"8","R vs NR","IFN_Ayers","ICB_small_Padron",-1.359,1.276,23,0.287028440477474,"Pancreas","PD-1/PD-L1",0.478380734129123
"9","R vs NR","IMS_Cui","ICB_small_Padron",8.513,6.287,23,0.175705110417731,"Pancreas","PD-1/PD-L1",0.366052313370274
"10","R vs NR","Inflammatory_Thompson","ICB_small_Padron",-9.547,6.554,23,0.14518424154364,"Pancreas","PD-1/PD-L1",0.333072614663203
"11","R vs NR","IPRES_Hugo","ICB_small_Padron",32.233,25.317,23,0.202956589097508,"Pancreas","PD-1/PD-L1",0.390301132879824
"12","R vs NR","IPS_Charoentong","ICB_small_Padron",-0.654,0.735,23,0.373849479035913,"Pancreas","PD-1/PD-L1",0.51923538754988
"13","R vs NR","IPSOV_Shen","ICB_small_Padron",6.058,9.146,23,0.507756535608489,"Pancreas","PD-1/PD-L1",0.615142569536071
"14","R vs NR","IRG_Ayers","ICB_small_Padron",-0.894,1.001,23,0.372032604253968,"Pancreas","PD-1/PD-L1",0.51923538754988
"15","R vs NR","M1_Hwang","ICB_small_Padron",-1.876,3.449,23,0.586613909034324,"Pancreas","PD-1/PD-L1",0.637623814167744
"16","R vs NR","MHC-I_Liu","ICB_small_Padron",-1.512,2.333,23,0.516719758410299,"Pancreas","PD-1/PD-L1",0.615142569536071
"17","R vs NR","MHC-II_Liu","ICB_small_Padron",-1.945,2.581,23,0.451142681934302,"Pancreas","PD-1/PD-L1",0.593608792018818
"18","R vs NR","PassON_Du","ICB_small_Padron",-14.384,9.079,23,0.113102401694672,"Pancreas","PD-1/PD-L1",0.333072614663203
"19","R vs NR","PDL1_Nishino","ICB_small_Padron",-0.822,1.436,23,0.566990274055858,"Pancreas","PD-1/PD-L1",0.637623814167744
"20","R vs NR","PredictIO_Bareche","ICB_small_Padron",-6.489,3.451,23,0.060074880660767,"Pancreas","PD-1/PD-L1",0.333072614663203
"21","R vs NR","Teff_McDermott","ICB_small_Padron",-8.041,5.418,23,0.137744612454651,"Pancreas","PD-1/PD-L1",0.333072614663203
"22","R vs NR","Teff-IFNG_Fehrenbacher","ICB_small_Padron",-10.235,7.05,23,0.146551950451809,"Pancreas","PD-1/PD-L1",0.333072614663203
"23","R vs NR","TIS_Damotte","ICB_small_Padron",-3.741,2.317,23,0.106437624715834,"Pancreas","PD-1/PD-L1",0.333072614663203
"24","R vs NR","TUMOR-VASCULATURE-UP_Lu","ICB_small_Padron",6.175,3.299,23,0.0612526903861006,"Pancreas","PD-1/PD-L1",0.333072614663203
"25","R vs NR","VIGex_Hernando-Calvo","ICB_small_Padron",-4.855,2.837,23,0.0870606650894306,"Pancreas","PD-1/PD-L1",0.333072614663203
