"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","PFS","CCL5-CXCL9_Dangaj","ICB_small_Miao",-0.461,0.937,33,0.62267502839501,"Kidney","PD-1/PD-L1",0.980198869130179
"HR1","PFS","Chemokine_Messina","ICB_small_Miao",0.129,0.701,33,0.853955790874718,"Kidney","PD-1/PD-L1",0.980198869130179
"HR2","PFS","COX-IS_Bonavita","ICB_small_Miao",2.533,2.588,33,0.327627529428598,"Kidney","PD-1/PD-L1",0.980198869130179
"HR3","PFS","CYT_Davoli","ICB_small_Miao",-0.612,0.847,33,0.469768094183925,"Kidney","PD-1/PD-L1",0.980198869130179
"HR4","PFS","CYT_Rooney","ICB_small_Miao",-0.216,0.836,33,0.796329314282565,"Kidney","PD-1/PD-L1",0.980198869130179
"HR5","PFS","EMT_Thompson","ICB_small_Miao",-0.446,1.197,33,0.709716455826947,"Kidney","PD-1/PD-L1",0.980198869130179
"HR6","PFS","EMTstroma_Wang","ICB_small_Miao",1.794,1.293,33,0.165257953899185,"Kidney","PD-1/PD-L1",0.980198869130179
"HR7","PFS","IFN_Ayers","ICB_small_Miao",-0.033,0.588,33,0.955020059616144,"Kidney","PD-1/PD-L1",0.980198869130179
"HR8","PFS","IMS_Cui","ICB_small_Miao",0.796,1.405,33,0.570957724259242,"Kidney","PD-1/PD-L1",0.980198869130179
"HR9","PFS","Inflammatory_Thompson","ICB_small_Miao",-0.04,0.896,33,0.96412171015576,"Kidney","PD-1/PD-L1",0.980198869130179
"HR10","PFS","IPRES_Hugo","ICB_small_Miao",5.229,3.973,33,0.18812331932448,"Kidney","PD-1/PD-L1",0.980198869130179
"HR11","PFS","IPS_Charoentong","ICB_small_Miao",-0.095,0.646,33,0.882640075261548,"Kidney","PD-1/PD-L1",0.980198869130179
"HR12","PFS","IPSOV_Shen","ICB_small_Miao",-8.265,6.375,33,0.19479259083671,"Kidney","PD-1/PD-L1",0.980198869130179
"HR13","PFS","IRG_Ayers","ICB_small_Miao",-0.209,0.634,33,0.741823159843121,"Kidney","PD-1/PD-L1",0.980198869130179
"HR14","PFS","M1_Hwang","ICB_small_Miao",-1.285,1.768,33,0.467221608677677,"Kidney","PD-1/PD-L1",0.980198869130179
"HR15","PFS","MHC-I_Liu","ICB_small_Miao",-0.654,1.415,33,0.644078657473137,"Kidney","PD-1/PD-L1",0.980198869130179
"HR16","PFS","MHC-II_Liu","ICB_small_Miao",-1.415,1.555,33,0.362767348754222,"Kidney","PD-1/PD-L1",0.980198869130179
"HR17","PFS","PassON_Du","ICB_small_Miao",-2.354,2.213,33,0.287390835275049,"Kidney","PD-1/PD-L1",0.980198869130179
"HR18","PFS","PDL1_Nishino","ICB_small_Miao",0.474,0.884,33,0.591648491575406,"Kidney","PD-1/PD-L1",0.980198869130179
"HR19","PFS","PredictIO_Bareche","ICB_small_Miao",-0.181,0.825,33,0.826589581756693,"Kidney","PD-1/PD-L1",0.980198869130179
"HR20","PFS","Teff_McDermott","ICB_small_Miao",0.205,0.797,33,0.796730578411221,"Kidney","PD-1/PD-L1",0.980198869130179
"HR21","PFS","Teff-IFNG_Fehrenbacher","ICB_small_Miao",0.02,0.802,33,0.980198869130179,"Kidney","PD-1/PD-L1",0.980198869130179
"HR22","PFS","TIS_Damotte","ICB_small_Miao",-0.337,0.977,33,0.730136256791628,"Kidney","PD-1/PD-L1",0.980198869130179
"HR23","PFS","TUMOR-VASCULATURE-UP_Lu","ICB_small_Miao",5.932,3.105,33,0.0560337895676241,"Kidney","PD-1/PD-L1",0.980198869130179
"HR24","PFS","VIGex_Hernando-Calvo","ICB_small_Miao",0.568,0.834,33,0.495936069189093,"Kidney","PD-1/PD-L1",0.980198869130179
