"Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment"
"OS","CXCL9","ICB_small_Mariathasan",-0.347388789111072,0.0832177997946628,195,2.9870295276887e-05,"Bladder","PD-1/PD-L1"
"OS","ERI1","ICB_small_Mariathasan",-0.344023568842231,0.090892354314908,195,0.000153735728199006,"Bladder","PD-1/PD-L1"
"OS","CXCL13","ICB_small_Mariathasan",-0.329360081697655,0.0856422245006254,195,0.000120175687115525,"Bladder","PD-1/PD-L1"
"OS","CD3G","ICB_small_Mariathasan",-0.291272680853873,0.0859318588323847,195,0.000700004617307585,"Bladder","PD-1/PD-L1"
"OS","APOL6","ICB_small_Mariathasan",-0.287041257726639,0.0854108678509555,195,0.000777420761222732,"Bladder","PD-1/PD-L1"
"OS","CD8A","ICB_small_Mariathasan",-0.275688765543212,0.0838719849689667,195,0.00101254184549074,"Bladder","PD-1/PD-L1"
"OS","LAG3","ICB_small_Mariathasan",-0.274781017560231,0.0867366445574922,195,0.0015349561338133,"Bladder","PD-1/PD-L1"
"OS","PLA2G2D","ICB_small_Mariathasan",-0.253212260679015,0.0791381218157814,195,0.00137606817230055,"Bladder","PD-1/PD-L1"
"OS","SLAMF7","ICB_small_Mariathasan",-0.261195798967089,0.0864252053697306,195,0.00250929882797419,"Bladder","PD-1/PD-L1"
"OS","CD83","ICB_small_Mariathasan",-0.271770776429053,0.090895796174248,195,0.00279054365249033,"Bladder","PD-1/PD-L1"
"OS","GBP1","ICB_small_Mariathasan",-0.262805230669377,0.0873292315618693,195,0.00261797377737646,"Bladder","PD-1/PD-L1"
"OS","GBP4","ICB_small_Mariathasan",-0.273668790833878,0.0894498390977542,195,0.00221731545471493,"Bladder","PD-1/PD-L1"
"OS","CXCL10","ICB_small_Mariathasan",-0.254651905056743,0.0821911278445947,195,0.00194641215818966,"Bladder","PD-1/PD-L1"
"OS","LCK","ICB_small_Mariathasan",-0.268759844743528,0.0890396151309126,195,0.00254088101170169,"Bladder","PD-1/PD-L1"
"OS","TXNDC11","ICB_small_Mariathasan",-0.295526400077048,0.0997861128648278,195,0.00306046604484476,"Bladder","PD-1/PD-L1"
"OS","GBP5","ICB_small_Mariathasan",-0.248916432631719,0.0859882196716402,195,0.00379432024117692,"Bladder","PD-1/PD-L1"
"OS","XPC","ICB_small_Mariathasan",-0.253139776416446,0.0877196323560015,195,0.00390441929825729,"Bladder","PD-1/PD-L1"
"OS","EOMES","ICB_small_Mariathasan",-0.215280125862683,0.0743583752000082,195,0.00378953426537768,"Bladder","PD-1/PD-L1"
"OS","B2M","ICB_small_Mariathasan",-0.243260858594679,0.0842228615631141,195,0.00387330734215781,"Bladder","PD-1/PD-L1"
"OS","CTSW","ICB_small_Mariathasan",-0.249248626375935,0.0866375140757603,195,0.00401585771448948,"Bladder","PD-1/PD-L1"
"OS","JAKMIP1","ICB_small_Mariathasan",-0.221245491012634,0.0778443619168058,195,0.00448101541515703,"Bladder","PD-1/PD-L1"
"OS","CD3E","ICB_small_Mariathasan",-0.233600164422206,0.0833062931033378,195,0.00504553968958265,"Bladder","PD-1/PD-L1"
"OS","DOCK8","ICB_small_Mariathasan",-0.240688896191171,0.0888096223525903,195,0.00672493652209396,"Bladder","PD-1/PD-L1"
"OS","FASLG","ICB_small_Mariathasan",-0.21008597506833,0.0771915565543396,195,0.00649630724362234,"Bladder","PD-1/PD-L1"
"OS","TRAFD1","ICB_small_Mariathasan",-0.251998881586719,0.0923948089765395,195,0.0063832923821676,"Bladder","PD-1/PD-L1"
"OS","GNLY","ICB_small_Mariathasan",-0.241311866962915,0.0910399565061436,195,0.00803453888064642,"Bladder","PD-1/PD-L1"
"OS","GZMA","ICB_small_Mariathasan",-0.223312673189665,0.0853033916922004,195,0.00884820773349608,"Bladder","PD-1/PD-L1"
"OS","MS4A1","ICB_small_Mariathasan",-0.243120785298679,0.09211165856337,195,0.00830495338760294,"Bladder","PD-1/PD-L1"
"OS","IKZF3","ICB_small_Mariathasan",-0.242944253898802,0.0920448837502391,195,0.00830502925978823,"Bladder","PD-1/PD-L1"
"OS","CXCR6","ICB_small_Mariathasan",-0.189181621170862,0.0722813496391472,195,0.00886296853217563,"Bladder","PD-1/PD-L1"
"OS","ABCD2","ICB_small_Mariathasan",-0.212110381010307,0.0810578848772306,195,0.00887643997588356,"Bladder","PD-1/PD-L1"
"OS","PDCD1","ICB_small_Mariathasan",-0.210047066813103,0.0784041359714908,195,0.0073835681451202,"Bladder","PD-1/PD-L1"
"OS","SLAMF1","ICB_small_Mariathasan",-0.214666770513937,0.0827622630190726,195,0.00949283155667696,"Bladder","PD-1/PD-L1"
"OS","GZMK","ICB_small_Mariathasan",-0.216576518027131,0.0840591277131061,195,0.00998124718859228,"Bladder","PD-1/PD-L1"
"OS","P2RY10","ICB_small_Mariathasan",-0.196607796489717,0.0778412749012474,195,0.0115450776312317,"Bladder","PD-1/PD-L1"
"OS","FHL3","ICB_small_Mariathasan",0.223594621702919,0.0883428971871188,195,0.0113742440825883,"Bladder","PD-1/PD-L1"
"OS","VSNL1","ICB_small_Mariathasan",0.225744768754839,0.0905991041022665,195,0.0127137393747669,"Bladder","PD-1/PD-L1"
"OS","KLRD1","ICB_small_Mariathasan",-0.195881760881182,0.0810231626978964,195,0.0156231542544663,"Bladder","PD-1/PD-L1"
"OS","EPB41","ICB_small_Mariathasan",-0.219926962952468,0.0923592115777953,195,0.0172557272252507,"Bladder","PD-1/PD-L1"
"OS","EAF1","ICB_small_Mariathasan",-0.213155421793167,0.0905700974077755,195,0.0185983272465843,"Bladder","PD-1/PD-L1"
"OS","PSME1","ICB_small_Mariathasan",-0.200152031271454,0.0877184575334759,195,0.0225038074251279,"Bladder","PD-1/PD-L1"
"OS","DAPK1","ICB_small_Mariathasan",-0.20200393827321,0.0885360725543558,195,0.0225129432740396,"Bladder","PD-1/PD-L1"
"OS","TBX21","ICB_small_Mariathasan",-0.17186341996597,0.0765677593804566,195,0.0247943034039064,"Bladder","PD-1/PD-L1"
"OS","CA2","ICB_small_Mariathasan",0.202856857184282,0.0918281592098154,195,0.0271682384459674,"Bladder","PD-1/PD-L1"
"OS","GZMB","ICB_small_Mariathasan",-0.184623233474049,0.0851960054052872,195,0.0302317309351138,"Bladder","PD-1/PD-L1"
"OS","LY9","ICB_small_Mariathasan",-0.184787345061308,0.0865042210792122,195,0.0326659147620473,"Bladder","PD-1/PD-L1"
