"","Outcome","Gene","Study","Coef","SE","N","Pval","Cancer_type","Treatment","FDR"
"HR","OS","CCL5-CXCL9_Dangaj","ICB_small_Miao",-0.56,0.518,33,0.279697969444978,"Kidney","PD-1/PD-L1",0.999512384057124
"HR1","OS","Chemokine_Messina","ICB_small_Miao",0.179,0.368,33,0.627484741449839,"Kidney","PD-1/PD-L1",0.999512384057124
"HR2","OS","COX-IS_Bonavita","ICB_small_Miao",0.739,0.895,33,0.409143189493556,"Kidney","PD-1/PD-L1",0.999512384057124
"HR3","OS","CYT_Davoli","ICB_small_Miao",0.014,0.379,33,0.970137236658343,"Kidney","PD-1/PD-L1",0.999512384057124
"HR4","OS","CYT_Rooney","ICB_small_Miao",0.065,0.351,33,0.853265800007014,"Kidney","PD-1/PD-L1",0.999512384057124
"HR5","OS","EMT_Thompson","ICB_small_Miao",-0.251,0.615,33,0.683624565685704,"Kidney","PD-1/PD-L1",0.999512384057124
"HR6","OS","EMTstroma_Wang","ICB_small_Miao",-0.208,0.549,33,0.704956765626887,"Kidney","PD-1/PD-L1",0.999512384057124
"HR7","OS","IFN_Ayers","ICB_small_Miao",-0.273,0.346,33,0.429561267736584,"Kidney","PD-1/PD-L1",0.999512384057124
"HR8","OS","IMS_Cui","ICB_small_Miao",-0.424,0.755,33,0.574359708228172,"Kidney","PD-1/PD-L1",0.999512384057124
"HR9","OS","Inflammatory_Thompson","ICB_small_Miao",0,0.441,33,0.999512384057124,"Kidney","PD-1/PD-L1",0.999512384057124
"HR10","OS","IPRES_Hugo","ICB_small_Miao",0.667,1.786,33,0.708614633675388,"Kidney","PD-1/PD-L1",0.999512384057124
"HR11","OS","IPS_Charoentong","ICB_small_Miao",0.469,0.26,33,0.0706576742161868,"Kidney","PD-1/PD-L1",0.999512384057124
"HR12","OS","IPSOV_Shen","ICB_small_Miao",-1.904,4.013,33,0.635167564509193,"Kidney","PD-1/PD-L1",0.999512384057124
"HR13","OS","IRG_Ayers","ICB_small_Miao",-0.145,0.332,33,0.663030142574587,"Kidney","PD-1/PD-L1",0.999512384057124
"HR14","OS","M1_Hwang","ICB_small_Miao",-0.148,0.686,33,0.82937601241073,"Kidney","PD-1/PD-L1",0.999512384057124
"HR15","OS","MHC-I_Liu","ICB_small_Miao",0.116,0.765,33,0.879160879717413,"Kidney","PD-1/PD-L1",0.999512384057124
"HR16","OS","MHC-II_Liu","ICB_small_Miao",-0.121,0.786,33,0.877832376686132,"Kidney","PD-1/PD-L1",0.999512384057124
"HR17","OS","PassON_Du","ICB_small_Miao",0.398,1.293,33,0.758408894492787,"Kidney","PD-1/PD-L1",0.999512384057124
"HR18","OS","PDL1_Nishino","ICB_small_Miao",-0.025,0.47,33,0.957572094818642,"Kidney","PD-1/PD-L1",0.999512384057124
"HR19","OS","PredictIO_Bareche","ICB_small_Miao",-0.303,0.408,33,0.45680231707022,"Kidney","PD-1/PD-L1",0.999512384057124
"HR20","OS","Teff_McDermott","ICB_small_Miao",-0.033,0.427,33,0.937485036933265,"Kidney","PD-1/PD-L1",0.999512384057124
"HR21","OS","Teff-IFNG_Fehrenbacher","ICB_small_Miao",0.13,0.373,33,0.727773282699761,"Kidney","PD-1/PD-L1",0.999512384057124
"HR22","OS","TIS_Damotte","ICB_small_Miao",0.075,0.461,33,0.871056836260549,"Kidney","PD-1/PD-L1",0.999512384057124
"HR23","OS","TUMOR-VASCULATURE-UP_Lu","ICB_small_Miao",0.351,1.082,33,0.746028099874843,"Kidney","PD-1/PD-L1",0.999512384057124
"HR24","OS","VIGex_Hernando-Calvo","ICB_small_Miao",0.23,0.401,33,0.566406045612053,"Kidney","PD-1/PD-L1",0.999512384057124
