"","source","type","score","phase","gene_id","gene_type","gene_name","level","havana_gene","tag","gene_id_no_ver","length"
"TSPAN6","HAVANA","gene",NA,NA,"ENSG00000000003.10","protein_coding","TSPAN6","2","OTTHUMG00000022002.1",NA,"ENSG00000000003",NA
"TNMD","HAVANA","gene",NA,NA,"ENSG00000000005.5","protein_coding","TNMD","2","OTTHUMG00000022001.1",NA,"ENSG00000000005",NA
"DPM1","HAVANA","gene",NA,NA,"ENSG00000000419.8","protein_coding","DPM1","2","OTTHUMG00000032742.2",NA,"ENSG00000000419",NA
"SCYL3","HAVANA","gene",NA,NA,"ENSG00000000457.9","protein_coding","SCYL3","2","OTTHUMG00000035941.4",NA,"ENSG00000000457",NA
"C1orf112","HAVANA","gene",NA,NA,"ENSG00000000460.12","protein_coding","C1orf112","2","OTTHUMG00000035821.6",NA,"ENSG00000000460",NA
"FGR","HAVANA","gene",NA,NA,"ENSG00000000938.8","protein_coding","FGR","2","OTTHUMG00000003516.1",NA,"ENSG00000000938",NA
"CFH","HAVANA","gene",NA,NA,"ENSG00000000971.11","protein_coding","CFH","1","OTTHUMG00000035607.4",NA,"ENSG00000000971",NA
"FUCA2","HAVANA","gene",NA,NA,"ENSG00000001036.9","protein_coding","FUCA2","2","OTTHUMG00000015728.2",NA,"ENSG00000001036",NA
"GCLC","HAVANA","gene",NA,NA,"ENSG00000001084.6","protein_coding","GCLC","2","OTTHUMG00000160220.4",NA,"ENSG00000001084",NA
"NFYA","HAVANA","gene",NA,NA,"ENSG00000001167.10","protein_coding","NFYA","2","OTTHUMG00000014669.1",NA,"ENSG00000001167",NA
"STPG1","HAVANA","gene",NA,NA,"ENSG00000001460.13","protein_coding","STPG1","2","OTTHUMG00000003297.2",NA,"ENSG00000001460",NA
"NIPAL3","HAVANA","gene",NA,NA,"ENSG00000001461.12","protein_coding","NIPAL3","2","OTTHUMG00000003299.3",NA,"ENSG00000001461",NA
"LAS1L","HAVANA","gene",NA,NA,"ENSG00000001497.12","protein_coding","LAS1L","2","OTTHUMG00000021720.2",NA,"ENSG00000001497",NA
"ENPP4","HAVANA","gene",NA,NA,"ENSG00000001561.6","protein_coding","ENPP4","2","OTTHUMG00000014779.2",NA,"ENSG00000001561",NA
"SEMA3F","HAVANA","gene",NA,NA,"ENSG00000001617.7","protein_coding","SEMA3F","2","OTTHUMG00000156806.7","ncRNA_host","ENSG00000001617",NA
"CFTR","HAVANA","gene",NA,NA,"ENSG00000001626.10","protein_coding","CFTR","1","OTTHUMG00000023076.10",NA,"ENSG00000001626",NA
"ANKIB1","HAVANA","gene",NA,NA,"ENSG00000001629.5","protein_coding","ANKIB1","2","OTTHUMG00000155859.1",NA,"ENSG00000001629",NA
"CYP51A1","HAVANA","gene",NA,NA,"ENSG00000001630.11","protein_coding","CYP51A1","1","OTTHUMG00000131131.5",NA,"ENSG00000001630",NA
"KRIT1","HAVANA","gene",NA,NA,"ENSG00000001631.10","protein_coding","KRIT1","2","OTTHUMG00000131187.7","ncRNA_host","ENSG00000001631",NA
"RAD52","HAVANA","gene",NA,NA,"ENSG00000002016.12","protein_coding","RAD52","2","OTTHUMG00000090361.4",NA,"ENSG00000002016",NA
"BAD","HAVANA","gene",NA,NA,"ENSG00000002330.9","protein_coding","BAD","1","OTTHUMG00000134302.3",NA,"ENSG00000002330",NA
"LAP3","HAVANA","gene",NA,NA,"ENSG00000002549.8","protein_coding","LAP3","2","OTTHUMG00000048214.6",NA,"ENSG00000002549",NA
"CD99","HAVANA","gene",NA,NA,"ENSG00000002586.13","protein_coding","CD99","2","OTTHUMG00000021073.5",NA,"ENSG00000002586",NA
"HS3ST1","HAVANA","gene",NA,NA,"ENSG00000002587.5","protein_coding","HS3ST1","2","OTTHUMG00000090547.4","ncRNA_host","ENSG00000002587",NA
"AOC1","HAVANA","gene",NA,NA,"ENSG00000002726.15","protein_coding","AOC1","2","OTTHUMG00000158306.1",NA,"ENSG00000002726",NA
"WNT16","HAVANA","gene",NA,NA,"ENSG00000002745.8","protein_coding","WNT16","2","OTTHUMG00000156963.1",NA,"ENSG00000002745",NA
"HECW1","HAVANA","gene",NA,NA,"ENSG00000002746.10","protein_coding","HECW1","1","OTTHUMG00000128917.4","ncRNA_host","ENSG00000002746",NA
"MAD1L1","HAVANA","gene",NA,NA,"ENSG00000002822.11","protein_coding","MAD1L1","1","OTTHUMG00000151493.3","ncRNA_host","ENSG00000002822",NA
"LASP1","HAVANA","gene",NA,NA,"ENSG00000002834.13","protein_coding","LASP1","1","OTTHUMG00000133182.6",NA,"ENSG00000002834",NA
"SNX11","HAVANA","gene",NA,NA,"ENSG00000002919.10","protein_coding","SNX11","2","OTTHUMG00000178822.1",NA,"ENSG00000002919",NA
"TMEM176A","HAVANA","gene",NA,NA,"ENSG00000002933.3","protein_coding","TMEM176A","2","OTTHUMG00000158114.2",NA,"ENSG00000002933",NA
"M6PR","HAVANA","gene",NA,NA,"ENSG00000003056.3","protein_coding","M6PR","1","OTTHUMG00000168276.1",NA,"ENSG00000003056",NA
"KLHL13","HAVANA","gene",NA,NA,"ENSG00000003096.9","protein_coding","KLHL13","2","OTTHUMG00000022252.2","ncRNA_host","ENSG00000003096",NA
